Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.008034,7.025935,[23  8] ; [40 46],[16.69230769 14.30769231] ; [46.30769231 39.69230769],0
p11,1,0.067255,3.348787,[11 20] ; [47 39],[15.36752137 15.63247863] ; [42.63247863 43.36752137],0
d4,1,0.071415,3.250195,[24  7] ; [51 35],[19.87179487 11.12820513] ; [55.12820513 30.87179487],0
s1,1,0.078208,3.101754,[ 5 26] ; [ 5 81],[ 2.64957265 28.35042735] ; [ 7.35042735 78.64957265],0
r3,1,0.133297,2.253682,[13 18] ; [49 36],[16.56896552 14.43103448] ; [45.43103448 39.56896552],0
s7,1,0.157296,2.000035,[10 17] ; [19 63],[ 7.18348624 19.81651376] ; [21.81651376 60.18348624],0
n5,1,0.181666,1.783946,[17 14] ; [58 27],[20.04310345 10.95689655] ; [54.95689655 30.04310345],0
a7,1,0.184777,1.758779,[18 13] ; [38 48],[14.83760684 16.16239316] ; [41.16239316 44.83760684],0
a2,1,0.204333,1.611131,[ 6 25] ; [ 9 77],[ 3.97435897 27.02564103] ; [11.02564103 74.97435897],0
v3,1,0.205031,1.60617,[10 21] ; [18 68],[ 7.41880342 23.58119658] ; [20.58119658 65.41880342],0
p1,1,0.276356,1.184921,[ 1 30] ; [ 8 78],[ 2.38461538 28.61538462] ; [ 6.61538462 79.38461538],0
p3,1,0.292237,1.109287,[ 5 25] ; [22 62],[ 7.10526316 22.89473684] ; [19.89473684 64.10526316],0
p5,1,0.297096,1.087185,[ 3 27] ; [ 4 81],[ 1.82608696 28.17391304] ; [ 5.17391304 79.82608696],0
a3,1,0.298708,1.079951,[20 10] ; [48 38],[17.5862069 12.4137931] ; [50.4137931 35.5862069],0
p7,1,0.308096,1.038818,[ 8 20] ; [33 51],[10.25 17.75] ; [30.75 53.25],0
p10,1,0.31907,0.992753,[18 12] ; [41 42],[15.66371681 14.33628319] ; [43.33628319 39.66371681],0
p4,1,0.329477,0.950954,[ 8 22] ; [31 54],[10.17391304 19.82608696] ; [28.82608696 56.17391304],0
a4,1,0.341705,0.904026,[12 19] ; [25 60],[ 9.88793103 21.11206897] ; [27.11206897 57.88793103],0
s8,1,0.3439,0.895839,[ 7 24] ; [13 73],[ 5.2991453 25.7008547] ; [14.7008547 71.2991453],0
d3,1,0.392971,0.72973,[17 14] ; [39 46],[14.96551724 16.03448276] ; [41.03448276 43.96551724],0
d1,1,0.413682,0.668195,[13 18] ; [29 57],[11.12820513 19.87179487] ; [30.87179487 55.12820513],0
p9,1,0.419967,0.650407,[15 15] ; [48 34],[16.875 13.125] ; [46.125 35.875],0
v1,1,0.456758,0.553828,[12 19] ; [26 57],[10.33333333 20.66666667] ; [27.66666667 55.33333333],0
d5,1,0.464372,0.535337,[20 11] ; [49 37],[18.28205128 12.71794872] ; [50.71794872 35.28205128],0
b1,1,0.476992,0.505734,[15 16] ; [48 38],[16.69230769 14.30769231] ; [46.30769231 39.69230769],0
n3,1,0.47912,0.500866,[11 11] ; [22 15],[12.30508475  9.69491525] ; [20.69491525 16.30508475],0
s3,1,0.484928,0.487759,[11 19] ; [25 59],[ 9.47368421 20.52631579] ; [26.52631579 57.47368421],0
p8,1,0.512281,0.429405,[ 8 23] ; [27 57],[ 9.43478261 21.56521739] ; [25.56521739 58.43478261],0
v4,1,0.579149,0.307613,[20 11] ; [50 35],[18.70689655 12.29310345] ; [51.29310345 33.70689655],0
d2,1,0.593048,0.28561,[10 21] ; [32 53],[11.22413793 19.77586207] ; [30.77586207 54.22413793],0
a6,1,0.644007,0.21354,[14 17] ; [43 43],[15.1025641 15.8974359] ; [41.8974359 44.1025641],0
u2,1,0.650165,0.205693,[5 6] ; [14 23],[4.35416667 6.64583333] ; [14.64583333 22.35416667],0
a8,1,0.653063,0.20206,[ 1 26] ; [ 5 79],[ 1.45945946 25.54054054] ; [ 4.54054054 79.45945946],0
s4,1,0.65514,0.199482,[ 4 27] ; [14 72],[ 4.76923077 26.23076923] ; [13.23076923 72.76923077],0
n2,1,0.706294,0.142006,[13  9] ; [20 17],[12.30508475  9.69491525] ; [20.69491525 16.30508475],0
a5,1,0.725393,0.123384,[17 14] ; [44 42],[16.16239316 14.83760684] ; [44.83760684 41.16239316],0
n4,1,0.72766,0.121271,[18 13] ; [53 33],[18.81196581 12.18803419] ; [52.18803419 33.81196581],0
n6,1,0.736805,0.112954,[18 12] ; [48 37],[17.2173913 12.7826087] ; [48.7826087 36.2173913],0
b2,1,0.766279,0.088355,[ 5 11] ; [18 33],[ 5.49253731 10.50746269] ; [17.50746269 33.49253731],0
b3,1,0.766279,0.088355,[ 5 11] ; [18 33],[ 5.49253731 10.50746269] ; [17.50746269 33.49253731],0
a1,1,0.767029,0.087772,[ 3 28] ; [10 76],[ 3.44444444 27.55555556] ; [ 9.55555556 76.44444444],0
p2,1,0.77015,0.085369,[17 13] ; [45 39],[16.31578947 13.68421053] ; [45.68421053 38.31578947],0
p6,1,0.788022,0.072296,[ 5 26] ; [15 67],[ 5.48672566 25.51327434] ; [14.51327434 67.48672566],0
p12,1,0.80087,0.063615,[ 1 30] ; [ 2 82],[ 0.80869565 30.19130435] ; [ 2.19130435 81.80869565],0
s2,1,0.806578,0.059948,[ 7 23] ; [22 64],[ 7.5 22.5] ; [21.5 64.5],0
u3,1,0.874925,0.024776,[3 8] ; [11 26],[3.20833333 7.79166667] ; [10.79166667 26.20833333],0
r2,1,0.884419,0.021132,[16 14] ; [45 37],[16.33928571 13.66071429] ; [44.66071429 37.33928571],0
u1,1,0.897879,0.016471,[ 2 29] ; [ 5 81],[ 1.85470085 29.14529915] ; [ 5.14529915 80.85470085],0
s6,1,0.900418,0.015658,[ 9 22] ; [26 60],[ 9.27350427 21.72649573] ; [25.72649573 60.27350427],0
v2,1,0.91006,0.012761,[10 19] ; [28 56],[ 9.75221239 19.24778761] ; [28.24778761 55.75221239],0
n1,1,0.924073,0.009083,[ 8 14] ; [13 24],[ 7.83050847 14.16949153] ; [13.16949153 23.83050847],0
b5,1,0.985651,0.000323,[17 14] ; [47 39],[16.95726496 14.04273504] ; [47.04273504 38.95726496],0
