Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,102.434546,[293 132] ; [ 44 137],[236.34488449 188.65511551] ; [100.65511551  80.34488449],1
s3,1,0.0,100.648097,[302 120] ; [ 50 131],[246.34162521 175.65837479] ; [105.65837479  75.34162521],1
s8,1,0.0,62.072615,[251 174] ; [ 44 138],[206.54859967 218.45140033] ; [88.45140033 93.54859967],1
s7,1,0.0,59.059921,[256 154] ; [ 49 127],[213.39590444 196.60409556] ; [91.60409556 84.39590444],1
s5,1,0.0,54.098975,[198 215] ; [ 28 149],[158.2 254.8] ; [ 67.8 109.2],1
p6,1,1.3e-05,19.006139,[186 234] ; [ 46 135],[162.12978369 257.87021631] ; [ 69.87021631 111.12978369],1
p4,1,1.6e-05,18.607837,[294 132] ; [91 89],[270.64356436 155.35643564] ; [114.35643564  65.64356436],1
r4,1,7.9e-05,15.578087,[403  24] ; [154  28],[390.54022989  36.45977011] ; [166.45977011  15.54022989],1
s4,1,0.000124,14.726788,[ 89 333] ; [ 15 167],[ 72.66225166 349.33774834] ; [ 31.33774834 150.66225166],1
p12,1,0.000263,13.31571,[ 52 374] ; [  5 176],[ 40.00329489 385.99670511] ; [ 16.99670511 164.00329489],1
v1,1,0.003471,8.541584,[252 163] ; [85 93],[235.84317032 179.15682968] ; [101.15682968  76.84317032],0
p7,1,0.004538,8.054848,[293 119] ; [106  73],[278.15228426 133.84771574] ; [120.84771574  58.15228426],0
p3,1,0.00915,6.793258,[241 185] ; [ 82 100],[226.3125 199.6875] ; [96.6875 85.3125],0
p2,1,0.010878,6.485189,[377  47] ; [147  34],[367.23305785  56.76694215] ; [156.76694215  24.23305785],0
r3,1,0.014142,6.020303,[413  12] ; [169  13],[407.49588138  17.50411862] ; [174.50411862   7.49588138],0
u1,1,0.015065,5.908821,[ 98 329] ; [ 26 156],[ 86.94252874 340.05747126] ; [ 37.05747126 144.94252874],0
a2,1,0.01747,5.648511,[124 303] ; [ 36 146],[112.18390805 314.81609195] ; [ 47.81609195 134.18390805],0
n6,1,0.017486,5.646963,[377  47] ; [148  33],[367.9338843  56.0661157] ; [157.0661157  23.9338843],0
v4,1,0.017886,5.607258,[414  11] ; [170  12],[408.89621087  16.10378913] ; [175.10378913   6.89621087],0
p5,1,0.019849,5.425143,[ 62 361] ; [ 14 166],[ 53.31343284 369.68656716] ; [ 22.68656716 157.31343284],0
p9,1,0.035745,4.409215,[407  19] ; [166  16],[401.47697368  24.52302632] ; [171.52302632  10.47697368],0
n5,1,0.047928,3.912509,[339  87] ; [130  50],[329.69306931  96.30693069] ; [139.30693069  40.69306931],0
a5,1,0.055703,3.660923,[342  85] ; [133  49],[333.04597701  93.95402299] ; [141.95402299  40.04597701],0
a4,1,0.067839,3.334548,[217 209] ; [ 78 104],[206.69407895 219.30592105] ; [88.30592105 93.69407895],0
r2,1,0.075809,3.152527,[404  18] ; [165  14],[399.53078203  22.46921797] ; [169.46921797   9.53078203],0
u4,1,0.077229,3.122281,[ 12 415] ; [  1 181],[  9.11494253 417.88505747] ; [  3.88505747 178.11494253],0
n4,1,0.079569,3.073686,[346  81] ; [136  46],[337.95402299  89.04597701] ; [144.04597701  37.95402299],0
r1,1,0.123802,2.368544,[359  67] ; [144  38],[352.43092105  73.56907895] ; [150.56907895  31.43092105],0
d2,1,0.148984,2.082626,[232 194] ; [87 94],[223.87808896 202.12191104] ; [95.12191104 85.87808896],0
a3,1,0.162925,1.94687,[333  93] ; [132  49],[326.34266886  99.65733114] ; [138.65733114  42.34266886],0
p8,1,0.170725,1.876563,[240 180] ; [93 89],[232.3255814 187.6744186] ; [100.6744186  81.3255814],0
b5,1,0.182211,1.779495,[264 163] ; [102  80],[256.62068966 170.37931034] ; [109.37931034  72.62068966],0
d1,1,0.211192,1.563234,[310 117] ; [123  59],[303.59770115 123.40229885] ; [129.40229885  52.59770115],0
a1,1,0.222937,1.485363,[ 27 400] ; [  7 175],[ 23.83908046 403.16091954] ; [ 10.16091954 171.83908046],0
n2,1,0.23979,1.38183,[66 19] ; [25 12],[63.40163934 21.59836066] ; [27.59836066  9.40163934],0
u2,1,0.265215,1.241328,[62 30] ; [29 21],[58.95774648 33.04225352] ; [32.04225352 17.95774648],0
b3,1,0.278321,1.17527,[102 156] ; [48 57],[106.61157025 151.38842975] ; [43.38842975 61.61157025],0
b2,1,0.278321,1.17527,[102 156] ; [48 57],[106.61157025 151.38842975] ; [43.38842975 61.61157025],0
u3,1,0.342143,0.902385,[59 33] ; [28 22],[56.36619718 35.63380282] ; [30.63380282 19.36619718],0
v3,1,0.38369,0.758845,[176 237] ; [ 67 106],[171.26109215 241.73890785] ; [ 71.73890785 101.26109215],0
v2,1,0.39729,0.716513,[250 159] ; [101  75],[245.4 163.6] ; [105.6  70.4],0
d3,1,0.406783,0.688184,[339  88] ; [139  43],[335.14942529  91.85057471] ; [142.85057471  39.14942529],0
p1,1,0.483371,0.491249,[ 35 389] ; [ 12 170],[ 32.88448845 391.11551155] ; [ 14.11551155 167.88448845],0
b4,1,0.541275,0.373183,[260 167] ; [106  76],[256.62068966 170.37931034] ; [109.37931034  72.62068966],0
s1,1,0.550996,0.355536,[ 13 408] ; [  4 177],[ 11.88870432 409.11129568] ; [  5.11129568 175.88870432],0
d5,1,0.551706,0.354269,[378  49] ; [158  24],[375.81609195  51.18390805] ; [160.18390805  21.81609195],0
n1,1,0.581383,0.304004,[32 53] ; [12 25],[30.6557377 54.3442623] ; [13.3442623 23.6557377],0
a8,1,0.608673,0.262112,[ 56 336] ; [ 21 145],[ 54.09318996 337.90681004] ; [ 22.90681004 143.09318996],0
a7,1,0.806449,0.06003,[320 106] ; [135  47],[318.79934211 107.20065789] ; [136.20065789  45.79934211],0
a6,1,0.813735,0.055512,[299 127] ; [126  56],[297.77960526 128.22039474] ; [127.22039474  54.77960526],0
p11,1,0.863687,0.029475,[359  68] ; [152  30],[358.28735632  68.71264368] ; [152.71264368  29.28735632],0
b1,1,0.918935,0.010358,[153 274] ; [ 66 116],[153.55172414 273.44827586] ; [ 65.44827586 116.55172414],0
n3,1,0.997154,1.3e-05,[59 25] ; [26 11],[59.00826446 24.99173554] ; [25.99173554 11.00826446],0
