Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,24.415466,[47  3] ; [55 47],[33.55263158 16.44736842] ; [68.44736842 33.55263158],1
s2,1,8e-06,19.89,[38 13] ; [37 65],[25. 26.] ; [50. 52.],1
p10,1,0.00036,12.728609,[39 10] ; [49 51],[28.93959732 20.06040268] ; [59.06040268 40.93959732],1
s8,1,0.000444,12.33871,[30 21] ; [30 72],[20. 31.] ; [40. 62.],1
s7,1,0.001825,9.718101,[30 15] ; [37 59],[21.38297872 23.61702128] ; [45.61702128 50.38297872],0
a5,1,0.004092,8.242424,[41 10] ; [58 44],[33. 18.] ; [66. 36.],0
r4,1,0.00497,7.890429,[48  3] ; [77 25],[41.66666667  9.33333333] ; [83.33333333 18.66666667],0
d2,1,0.007098,7.24809,[33 18] ; [42 59],[25.16447368 25.83552632] ; [49.83552632 51.16447368],0
p9,1,0.007207,7.22074,[40 10] ; [56 41],[32.65306122 17.34693878] ; [63.34693878 33.65306122],0
s4,1,0.00757,7.132361,[17 34] ; [15 87],[10.66666667 40.33333333] ; [21.33333333 80.66666667],0
s3,1,0.011637,6.365421,[33 18] ; [43 57],[25.66887417 25.33112583] ; [50.33112583 49.66887417],0
a4,1,0.013539,6.097327,[28 23] ; [34 66],[20.94039735 30.05960265] ; [41.05960265 58.94039735],0
a8,1,0.020392,5.378001,[ 8 36] ; [ 5 85],[ 4.26865672 39.73134328] ; [ 8.73134328 81.26865672],0
p1,1,0.0474,3.931141,[ 8 43] ; [ 6 96],[ 4.66666667 46.33333333] ; [ 9.33333333 92.66666667],0
p4,1,0.049627,3.854018,[31 19] ; [45 55],[25.33333333 24.66666667] ; [50.66666667 49.33333333],0
r3,1,0.050567,3.822572,[47  3] ; [84 18],[43.09210526  6.90789474] ; [87.90789474 14.09210526],0
a3,1,0.052253,3.767661,[38 12] ; [60 40],[32.66666667 17.33333333] ; [65.33333333 34.66666667],0
v4,1,0.076655,3.134443,[50  1] ; [92 10],[47.33333333  3.66666667] ; [94.66666667  7.33333333],0
v3,1,0.089966,2.87498,[22 29] ; [29 70],[17.34 33.66] ; [33.66 65.34],0
p6,1,0.095168,2.784707,[20 31] ; [26 74],[15.53642384 35.46357616] ; [30.46357616 69.53642384],0
n3,1,0.110912,2.541176,[14  4] ; [20 16],[11.33333333  6.66666667] ; [22.66666667 13.33333333],0
p3,1,0.138376,2.195932,[24 27] ; [35 66],[19.79605263 31.20394737] ; [39.20394737 61.79605263],0
v2,1,0.146759,2.105615,[28 23] ; [42 57],[23.8 27.2] ; [46.2 52.8],0
d5,1,0.16007,1.973561,[43  8] ; [75 26],[39.59210526 11.40789474] ; [78.40789474 22.59210526],0
b4,1,0.168009,1.900621,[32 19] ; [52 50],[28. 23.] ; [56. 46.],0
d4,1,0.181857,1.782386,[42  9] ; [74 28],[38.66666667 12.33333333] ; [77.33333333 24.66666667],0
u3,1,0.197565,1.660281,[4 9] ; [21 20],[6.01851852 6.98148148] ; [18.98148148 22.01851852],0
n2,1,0.218005,1.517455,[15  3] ; [25 12],[13.09090909  4.90909091] ; [26.90909091 10.09090909],0
v1,1,0.222546,1.487875,[24 26] ; [38 63],[20.52980132 29.47019868] ; [41.47019868 59.52980132],0
u1,1,0.236915,1.398857,[12 39] ; [16 86],[ 9.33333333 41.66666667] ; [18.66666667 83.33333333],0
d3,1,0.263014,1.252821,[36 15] ; [62 39],[32.88157895 18.11842105] ; [65.11842105 35.88157895],0
a1,1,0.273792,1.197652,[ 1 50] ; [ 6 96],[ 2.33333333 48.66666667] ; [ 4.66666667 97.33333333],0
b1,1,0.303391,1.059231,[29 22] ; [49 53],[26. 25.] ; [52. 50.],0
r1,1,0.316526,1.003248,[39 11] ; [71 30],[36.42384106 13.57615894] ; [73.57615894 27.42384106],0
a2,1,0.325153,0.968104,[13 38] ; [19 83],[10.66666667 40.33333333] ; [21.33333333 80.66666667],0
p2,1,0.369674,0.80476,[37 14] ; [66 35],[34.55921053 16.44078947] ; [68.44078947 32.55921053],0
d1,1,0.423036,0.641866,[29 22] ; [51 51],[26.66666667 24.33333333] ; [53.33333333 48.66666667],0
b5,1,0.459781,0.546429,[33 18] ; [72 30],[35. 16.] ; [70. 32.],0
p12,1,0.473661,0.513423,[ 2 49] ; [  2 100],[ 1.33333333 49.66666667] ; [ 2.66666667 99.33333333],0
a6,1,0.490625,0.475155,[30 21] ; [54 48],[28. 23.] ; [56. 46.],0
p7,1,0.492629,0.470779,[28 23] ; [49 51],[26.00662252 24.99337748] ; [50.99337748 49.00662252],0
n4,1,0.495433,0.464706,[37 13] ; [70 32],[35.19736842 14.80263158] ; [71.80263158 30.19736842],0
b3,1,0.497436,0.460403,[ 6 18] ; [17 35],[ 7.26315789 16.73684211] ; [15.73684211 36.26315789],0
b2,1,0.497436,0.460403,[ 6 18] ; [17 35],[ 7.26315789 16.73684211] ; [15.73684211 36.26315789],0
s1,1,0.499146,0.456751,[ 2 47] ; [ 7 95],[ 2.9205298 46.0794702] ; [ 6.0794702 95.9205298],0
u4,1,0.720143,0.128356,[ 1 50] ; [ 3 99],[ 1.33333333 49.66666667] ; [ 2.66666667 99.33333333],0
u2,1,0.779611,0.078303,[4 9] ; [14 26],[4.41509434 8.58490566] ; [13.58490566 26.41509434],0
p8,1,0.871315,0.02624,[17 34] ; [35 66],[17.44736842 33.55263158] ; [34.55263158 66.44736842],0
n5,1,0.900785,0.015542,[36 15] ; [71 31],[35.66666667 15.33333333] ; [71.33333333 30.66666667],0
a7,1,0.931796,0.007325,[35 16] ; [70 31],[35.23026316 15.76973684] ; [69.76973684 31.23026316],0
p5,1,0.986625,0.000281,[ 4 47] ; [ 8 93],[ 4.02631579 46.97368421] ; [ 7.97368421 93.02631579],0
n1,1,0.991125,0.000124,[8 9] ; [17 19],[8.01886792 8.98113208] ; [16.98113208 19.01886792],0
