Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.904605,[11 32] ; [61 25],[24. 19.] ; [48. 38.],1
v3,1,0.020262,5.389205,[ 7 36] ; [30 53],[12.62698413 30.37301587] ; [24.37301587 58.62698413],0
p3,1,0.02305,5.164696,[ 5 37] ; [26 60],[10.171875 31.828125] ; [20.828125 65.171875],0
a5,1,0.034017,4.493852,[17 26] ; [51 35],[22.66666667 20.33333333] ; [45.33333333 40.66666667],0
b3,1,0.048403,3.895921,[ 5 21] ; [24 34],[ 8.97619048 17.02380952] ; [20.02380952 37.97619048],0
b2,1,0.048403,3.895921,[ 5 21] ; [24 34],[ 8.97619048 17.02380952] ; [20.02380952 37.97619048],0
u3,1,0.065899,3.382336,[12  6] ; [14 21],[8.83018868 9.16981132] ; [17.16981132 17.83018868],0
v1,1,0.086001,2.947674,[10 33] ; [33 53],[14.33333333 28.66666667] ; [28.66666667 57.33333333],0
n1,1,0.117331,2.452593,[ 6 21] ; [11 15],[ 8.66037736 18.33962264] ; [ 8.33962264 17.66037736],0
d1,1,0.162676,1.949176,[21 22] ; [31 55],[17.33333333 25.66666667] ; [34.66666667 51.33333333],0
s3,1,0.16664,1.912912,[13 30] ; [36 48],[16.59055118 26.40944882] ; [32.40944882 51.59055118],0
p11,1,0.169235,1.889709,[16 27] ; [43 43],[19.66666667 23.33333333] ; [39.33333333 46.66666667],0
r2,1,0.195553,1.675278,[33 10] ; [73 12],[35.609375  7.390625] ; [70.390625 14.609375],0
r1,1,0.222455,1.488462,[27 16] ; [63 23],[30. 13.] ; [60. 26.],0
p2,1,0.261281,1.261957,[17 26] ; [43 43],[20. 23.] ; [40. 46.],0
d3,1,0.262316,1.256494,[18 25] ; [45 41],[21. 22.] ; [42. 44.],0
s6,1,0.284925,1.143448,[13 29] ; [35 51],[15.75 26.25] ; [32.25 53.75],0
d2,1,0.313222,1.017042,[23 20] ; [37 47],[20.31496063 22.68503937] ; [39.68503937 44.31496063],0
a6,1,0.316724,1.002428,[21 22] ; [50 36],[23.66666667 19.33333333] ; [47.33333333 38.66666667],0
s2,1,0.339101,0.913826,[ 9 33] ; [25 60],[11.24409449 30.75590551] ; [22.75590551 62.24409449],0
a1,1,0.351724,0.867227,[ 2 41] ; [ 8 78],[ 3.33333333 39.66666667] ; [ 6.66666667 79.33333333],0
r4,1,0.357955,0.845053,[26 17] ; [59 27],[28.33333333 14.66666667] ; [56.66666667 29.33333333],0
s7,1,0.408326,0.683671,[ 8 32] ; [21 57],[ 9.83050847 30.16949153] ; [19.16949153 58.83050847],0
a8,1,0.413347,0.669154,[ 2 40] ; [ 7 72],[ 3.12396694 38.87603306] ; [ 5.87603306 73.12396694],0
a2,1,0.416065,0.661403,[ 6 37] ; [17 69],[ 7.66666667 35.33333333] ; [15.33333333 70.66666667],0
s8,1,0.44817,0.575275,[ 6 36] ; [17 69],[ 7.546875 34.453125] ; [15.453125 70.546875],0
n6,1,0.521284,0.411352,[25 18] ; [55 31],[26.66666667 16.33333333] ; [53.33333333 32.66666667],0
s1,1,0.54806,0.360804,[ 5 38] ; [ 7 77],[ 4.06299213 38.93700787] ; [ 7.93700787 76.06299213],0
u1,1,0.560133,0.339474,[ 4 39] ; [11 75],[ 5. 38.] ; [10. 76.],0
a7,1,0.564677,0.33167,[23 20] ; [50 35],[24.5234375 18.4765625] ; [48.4765625 36.5234375],0
p6,1,0.574524,0.315171,[ 4 38] ; [11 74],[ 4.96062992 37.03937008] ; [10.03937008 74.96062992],0
p4,1,0.601995,0.271998,[13 30] ; [22 63],[11.7578125 31.2421875] ; [23.2421875 61.7578125],0
b1,1,0.61716,0.249879,[22 21] ; [48 38],[23.33333333 19.66666667] ; [46.66666667 39.33333333],0
d4,1,0.617939,0.248774,[30 12] ; [57 28],[28.77165354 13.22834646] ; [58.22834646 26.77165354],0
a4,1,0.626395,0.236982,[17 26] ; [37 47],[18.28346457 24.71653543] ; [35.71653543 48.28346457],0
r3,1,0.633871,0.226847,[34  9] ; [64 21],[32.921875 10.078125] ; [65.078125 19.921875],0
v4,1,0.682482,0.167346,[33  9] ; [64 21],[32.07874016  9.92125984] ; [64.92125984 20.07874016],0
n3,1,0.694925,0.153806,[17 10] ; [15 11],[16.30188679 10.69811321] ; [15.69811321 10.30188679],0
s4,1,0.745286,0.105535,[ 7 36] ; [12 73],[ 6.3828125 36.6171875] ; [12.6171875 72.3828125],0
v2,1,0.762923,0.09099,[14 27] ; [31 53],[14.76 26.24] ; [30.24 53.76],0
p1,1,0.802125,0.0628,[ 3 40] ; [ 7 78],[ 3.359375 39.640625] ; [ 6.640625 78.359375],0
a3,1,0.839585,0.040975,[25 18] ; [51 34],[25.53125 17.46875] ; [50.46875 34.53125],0
n2,1,0.87361,0.025305,[16 11] ; [16 12],[15.70909091 11.29090909] ; [16.29090909 11.70909091],0
u2,1,0.889286,0.019379,[ 8 10] ; [14 19],[ 7.76470588 10.23529412] ; [14.23529412 18.76470588],0
d5,1,0.892926,0.018118,[30 13] ; [59 27],[29.66666667 13.33333333] ; [59.33333333 26.66666667],0
b4,1,0.897933,0.016454,[27 16] ; [53 33],[26.66666667 16.33333333] ; [53.33333333 32.66666667],0
b5,1,0.900834,0.015527,[22 21] ; [45 41],[22.33333333 20.66666667] ; [44.66666667 41.33333333],0
p7,1,0.923521,0.009216,[13 30] ; [25 60],[12.765625 30.234375] ; [25.234375 59.765625],0
p10,1,0.951883,0.003641,[ 8 35] ; [16 68],[ 8.12598425 34.87401575] ; [15.87401575 68.12598425],0
s5,1,0.975789,0.000921,[ 8 34] ; [16 69],[ 7.93700787 34.06299213] ; [16.06299213 68.93700787],0
