Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,4e-06,21.425147,[33 70] ; [22  5],[43.57692308 59.42307692] ; [11.42307692 15.57692308],1
p5,1,0.000123,14.743615,[  4 103] ; [ 8 23],[ 9.30434783 97.69565217] ; [ 2.69565217 28.30434783],1
s6,1,0.00075,11.361137,[51 56] ; [24  5],[59.00735294 47.99264706] ; [15.99264706 13.00735294],1
s2,1,0.002249,9.334681,[30 76] ; [18 13],[37.13868613 68.86131387] ; [10.86131387 20.13868613],0
s8,1,0.017459,5.64963,[32 75] ; [16 14],[37.48905109 69.51094891] ; [10.51094891 19.48905109],0
b3,1,0.028777,4.780931,[13 53] ; [7 8],[16.2962963 49.7037037] ; [ 3.7037037 11.2962963],0
b2,1,0.028777,4.780931,[13 53] ; [7 8],[16.2962963 49.7037037] ; [ 3.7037037 11.2962963],0
u1,1,0.040502,4.196735,[  2 105] ; [ 3 28],[  3.87681159 103.12318841] ; [ 1.12318841 29.87681159],0
n5,1,0.044355,4.043011,[73 33] ; [27  4],[77.37226277 28.62773723] ; [22.62773723  8.37226277],0
r1,1,0.057522,3.607421,[65 41] ; [24  6],[69.36764706 36.63235294] ; [19.63235294 10.36764706],0
p6,1,0.06027,3.529949,[29 77] ; [14 17],[33.27007299 72.72992701] ; [ 9.72992701 21.27007299],0
v1,1,0.060613,3.520545,[50 54] ; [ 9 22],[45.45185185 58.54814815] ; [13.54814815 17.45185185],0
b5,1,0.066343,3.371253,[68 39] ; [14 17],[63.57971014 43.42028986] ; [18.42028986 12.57971014],0
p8,1,0.072715,3.220638,[47 58] ; [19 11],[51.33333333 53.66666667] ; [14.66666667 15.33333333],0
s4,1,0.077176,3.123388,[16 90] ; [ 9 22],[19.34306569 86.65693431] ; [ 5.65693431 25.34306569],0
p7,1,0.08163,3.032147,[64 42] ; [24  7],[68.08759124 37.91240876] ; [19.91240876 11.08759124],0
r2,1,0.095719,2.77547,[91 15] ; [30  1],[93.62043796 12.37956204] ; [27.37956204  3.62043796],0
n4,1,0.105081,2.626687,[73 34] ; [25  5],[76.54014599 30.45985401] ; [21.45985401  8.54014599],0
v3,1,0.120824,2.406612,[26 80] ; [12 19],[29.40145985 76.59854015] ; [ 8.59854015 22.40145985],0
v2,1,0.123727,2.369492,[40 62] ; [17 14],[43.71428571 58.28571429] ; [13.28571429 17.71428571],0
n1,1,0.129219,2.301857,[ 9 22] ; [6 5],[11.07142857 19.92857143] ; [3.92857143 7.07142857],0
n2,1,0.182178,1.779765,[22  9] ; [10  1],[23.61904762  7.38095238] ; [8.38095238 2.61904762],0
p10,1,0.19811,1.65625,[76 30] ; [25  5],[78.72058824 27.27941176] ; [22.27941176  7.72058824],0
p4,1,0.229963,1.44109,[56 51] ; [20 11],[58.92753623 48.07246377] ; [17.07246377 13.92753623],0
r4,1,0.245483,1.34883,[83 24] ; [27  4],[85.28985507 21.71014493] ; [24.71014493  6.28985507],0
a6,1,0.257503,1.282133,[64 43] ; [15 16],[61.25362319 45.74637681] ; [17.74637681 13.25362319],0
n6,1,0.288298,1.127552,[84 23] ; [27  4],[86.06521739 20.93478261] ; [24.93478261  6.06521739],0
d2,1,0.31965,0.990378,[22 85] ; [ 9 22],[24.03623188 82.96376812] ; [ 6.96376812 24.03623188],0
a1,1,0.347253,0.88347,[  1 106] ; [ 1 30],[  1.55072464 105.44927536] ; [ 0.44927536 30.55072464],0
p9,1,0.377259,0.779615,[81 26] ; [25  5],[82.78832117 24.21167883] ; [23.21167883  6.78832117],0
v4,1,0.387268,0.747504,[97  8] ; [30  1],[98.05147059  6.94852941] ; [28.94852941  2.05147059],0
b4,1,0.402635,0.700444,[53 54] ; [18 13],[55.05072464 51.94927536] ; [15.94927536 15.05072464],0
u3,1,0.421404,0.646397,[21 34] ; [7 7],[22.31884058 32.68115942] ; [5.68115942 8.31884058],0
s3,1,0.47989,0.499114,[50 55] ; [17 14],[51.72794118 53.27205882] ; [15.27205882 15.72794118],0
a8,1,0.494583,0.466541,[ 9 87] ; [ 4 25],[ 9.984 86.016] ; [ 3.016 25.984],0
a5,1,0.512856,0.428235,[55 52] ; [18 13],[56.60144928 50.39855072] ; [16.39855072 14.60144928],0
p12,1,0.514208,0.425494,[  4 103] ; [ 2 29],[  4.65217391 102.34782609] ; [ 1.34782609 29.65217391],0
d1,1,0.514208,0.425494,[  4 103] ; [ 2 29],[  4.65217391 102.34782609] ; [ 1.34782609 29.65217391],0
a3,1,0.540597,0.374435,[52 55] ; [17 14],[53.5 53.5] ; [15.5 15.5],0
a2,1,0.614562,0.253585,[10 97] ; [ 2 29],[ 9.30434783 97.69565217] ; [ 2.69565217 28.30434783],0
a4,1,0.63061,0.231235,[23 83] ; [ 8 23],[23.98540146 82.01459854] ; [ 7.01459854 23.98540146],0
r3,1,0.693248,0.155591,[93 13] ; [28  3],[93.62043796 12.37956204] ; [27.37956204  3.62043796],0
a7,1,0.747088,0.103994,[65 41] ; [20 11],[65.76642336 40.23357664] ; [19.23357664 11.76642336],0
u2,1,0.760755,0.092713,[25 30] ; [7 7],[25.50724638 29.49275362] ; [6.49275362 7.50724638],0
b1,1,0.774334,0.082203,[41 66] ; [11 20],[40.31884058 66.68115942] ; [11.68115942 19.31884058],0
p3,1,0.78879,0.071761,[45 61] ; [14 17],[45.64963504 60.35036496] ; [13.35036496 17.64963504],0
d3,1,0.799691,0.064387,[33 72] ; [ 9 22],[32.42647059 72.57352941] ; [ 9.57352941 21.42647059],0
d5,1,0.802281,0.062698,[54 52] ; [15 16],[53.38686131 52.61313869] ; [15.61313869 15.38686131],0
