Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.3e-05,17.237894,[2 5] ; [54  6],[5.85074627 1.14925373] ; [50.14925373  9.85074627],1
r2,1,0.001248,10.417848,[5 2] ; [58  1],[6.68181818 0.31818182] ; [56.31818182  2.68181818],0
p10,1,0.005232,7.797503,[3 4] ; [50  8],[5.70769231 1.29230769] ; [47.29230769 10.70769231],0
p9,1,0.01268,6.213259,[3 4] ; [50 10],[5.53731343 1.46268657] ; [47.46268657 12.53731343],0
d5,1,0.018506,5.547647,[1 6] ; [36 23],[3.92424242 3.07575758] ; [33.07575758 25.92424242],0
s1,1,0.057931,3.595642,[2 5] ; [ 4 55],[0.63636364 6.36363636] ; [ 5.36363636 53.63636364],0
v4,1,0.061285,3.502268,[5 2] ; [54  4],[6.35384615 0.64615385] ; [52.64615385  5.35384615],0
a7,1,0.066565,3.365766,[2 5] ; [38 21],[4.24242424 2.75757576] ; [35.75757576 23.24242424],0
n3,1,0.083709,2.991369,[3 2] ; [13  1],[4.21052632 0.78947368] ; [11.78947368  2.21052632],0
v2,1,0.094538,2.795344,[1 6] ; [28 31],[3.07575758 3.92424242] ; [25.92424242 33.07575758],0
r1,1,0.102201,2.67085,[3 4] ; [43 16],[4.87878788 2.12121212] ; [41.12121212 17.87878788],0
s6,1,0.109489,2.561576,[4 3] ; [48 10],[5.6 1.4] ; [46.4 11.6],0
s8,1,0.112249,2.522271,[2 5] ; [36 24],[3.97014925 3.02985075] ; [34.02985075 25.97014925],0
b3,1,0.179094,1.805128,[2 3] ; [ 6 33],[0.90909091 4.09090909] ; [ 7.09090909 31.90909091],0
b2,1,0.179094,1.805128,[2 3] ; [ 6 33],[0.90909091 4.09090909] ; [ 7.09090909 31.90909091],0
p7,1,0.202486,1.624354,[3 4] ; [39 19],[4.52307692 2.47692308] ; [37.47692308 20.52307692],0
b4,1,0.247431,1.337754,[5 2] ; [29 31],[3.55223881 3.44776119] ; [30.44776119 29.55223881],0
n4,1,0.292188,1.109512,[6 1] ; [39 20],[4.77272727 2.22727273] ; [40.22727273 18.77272727],0
p1,1,0.294935,1.096956,[2 5] ; [ 8 51],[1.06060606 5.93939394] ; [ 8.93939394 50.06060606],0
b5,1,0.321034,0.984731,[5 2] ; [31 29],[3.76119403 3.23880597] ; [32.23880597 27.76119403],0
a3,1,0.362244,0.830099,[5 2] ; [32 28],[3.86567164 3.13432836] ; [33.13432836 26.86567164],0
a6,1,0.384175,0.7573,[3 4] ; [36 24],[4.07462687 2.92537313] ; [34.92537313 25.07462687],0
b1,1,0.384175,0.7573,[4 3] ; [24 36],[2.92537313 4.07462687] ; [25.07462687 34.92537313],0
n2,1,0.421317,0.646639,[4 1] ; [13  1],[4.47368421 0.52631579] ; [12.52631579  1.47368421],0
p8,1,0.453638,0.561547,[2 5] ; [26 34],[2.92537313 4.07462687] ; [25.07462687 34.92537313],0
p11,1,0.487724,0.481544,[4 3] ; [42 18],[4.80597015 2.19402985] ; [41.19402985 18.80597015],0
n5,1,0.515599,0.422688,[6 1] ; [44 15],[5.3030303 1.6969697] ; [44.6969697 14.3030303],0
v3,1,0.571841,0.319613,[3 4] ; [19 40],[2.33333333 4.66666667] ; [19.66666667 39.33333333],0
s5,1,0.591328,0.288275,[2 5] ; [23 36],[2.65151515 4.34848485] ; [22.34848485 36.65151515],0
p3,1,0.650345,0.205465,[2 5] ; [22 37],[2.54545455 4.45454545] ; [21.45454545 37.54545455],0
p4,1,0.659081,0.194642,[3 4] ; [31 29],[3.55223881 3.44776119] ; [30.44776119 29.55223881],0
p6,1,0.681596,0.168335,[3 4] ; [21 39],[2.50746269 4.49253731] ; [21.49253731 38.50746269],0
p5,1,0.738075,0.111826,[1 6] ; [ 6 53],[0.74242424 6.25757576] ; [ 6.25757576 52.74242424],0
a4,1,0.758385,0.09462,[2 5] ; [14 46],[1.67164179 5.32835821] ; [14.32835821 45.67164179],0
d2,1,0.837188,0.042227,[2 5] ; [15 45],[1.7761194 5.2238806] ; [15.2238806 44.7761194],0
p2,1,0.857105,0.032422,[5 2] ; [44 15],[5.1969697 1.8030303] ; [43.8030303 15.1969697],0
s7,1,0.871298,0.026247,[5 2] ; [39 18],[4.8125 2.1875] ; [39.1875 17.8125],0
v1,1,0.91408,0.011641,[3 4] ; [27 33],[3.13432836 3.86567164] ; [26.86567164 33.13432836],0
d3,1,0.916029,0.011117,[2 5] ; [18 41],[2.12121212 4.87878788] ; [17.87878788 41.12121212],0
s4,1,0.916029,0.011117,[2 5] ; [18 41],[2.12121212 4.87878788] ; [17.87878788 41.12121212],0
u3,1,0.922085,0.009566,[1 1] ; [13 15],[0.93333333 1.06666667] ; [13.06666667 14.93333333],0
a5,1,0.951811,0.003652,[4 3] ; [35 25],[4.07462687 2.92537313] ; [34.92537313 25.07462687],0
n1,1,0.95218,0.003596,[2 3] ; [5 8],[1.94444444 3.05555556] ; [5.05555556 7.94444444],0
n6,1,0.959973,0.002519,[6 1] ; [51  9],[5.95522388 1.04477612] ; [51.04477612  8.95522388],0
