Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,53.593888,[186  38] ; [81 87],[152.57142857  71.42857143] ; [114.42857143  53.57142857],1
p8,1,0.0,28.993272,[162  59] ; [76 88],[136.61818182  84.38181818] ; [101.38181818  62.61818182],1
p7,1,0.0,27.289171,[180  41] ; [91 69],[157.19422572  63.80577428] ; [113.80577428  46.19422572],1
p6,1,3.9e-05,16.942736,[116 102] ; [ 53 112],[ 96.19321149 121.80678851] ; [72.80678851 92.19321149],1
p10,1,7.8e-05,15.607284,[210  12] ; [137  30],[198.03084833  23.96915167] ; [148.96915167  18.03084833],1
s7,1,0.000408,12.494918,[128  85] ; [68 95],[111.03191489 101.96808511] ; [84.96808511 78.03191489],1
p5,1,0.000461,12.267725,[ 46 177] ; [ 13 154],[ 33.73589744 189.26410256] ; [ 25.26410256 141.73589744],1
n5,1,0.005292,7.776992,[196  28] ; [129  39],[185.71428571  38.28571429] ; [139.28571429  28.71428571],0
n4,1,0.005773,7.619975,[196  28] ; [130  39],[185.81170483  38.18829517] ; [140.18829517  28.81170483],0
d5,1,0.00622,7.485297,[196  27] ; [131  38],[186.02295918  36.97704082] ; [140.97704082  28.02295918],0
s8,1,0.008211,6.98691,[127  96] ; [73 95],[114.06649616 108.93350384] ; [85.93350384 82.06649616],0
p2,1,0.00976,6.678264,[204  19] ; [140  29],[195.69387755  27.30612245] ; [148.30612245  20.69387755],0
u1,1,0.011236,6.427641,[ 55 169] ; [ 24 145],[ 45.02798982 178.97201018] ; [ 33.97201018 135.02798982],0
p9,1,0.011543,6.379792,[211  12] ; [146  21],[204.13076923  18.86923077] ; [152.86923077  14.13076923],0
s5,1,0.012011,6.309187,[ 94 122] ; [ 51 114],[ 82.20472441 133.79527559] ; [ 62.79527559 102.20472441],0
v3,1,0.015815,5.823294,[124  95] ; [71 90],[112.38157895 106.61842105] ; [82.61842105 78.38157895],0
b1,1,0.021681,5.271218,[ 90 134] ; [ 49 120],[ 79.2264631 144.7735369] ; [ 59.7735369 109.2264631],0
d1,1,0.023131,5.158604,[151  73] ; [95 74],[140.21374046  83.78625954] ; [105.78625954  63.21374046],0
p12,1,0.035719,4.41049,[ 29 193] ; [ 11 157],[ 22.76923077 199.23076923] ; [ 17.23076923 150.76923077],0
v2,1,0.03606,4.394284,[162  57] ; [103  58],[152.72368421  66.27631579] ; [112.27631579  48.72368421],0
n6,1,0.046221,3.973528,[204  20] ; [142  26],[197.71428571  26.28571429] ; [148.28571429  19.71428571],0
r4,1,0.049491,3.858608,[213  11] ; [152  17],[208.04071247  15.95928753] ; [156.95928753  12.04071247],0
p1,1,0.084121,2.983428,[ 26 197] ; [ 11 158],[ 21.04846939 201.95153061] ; [ 15.95153061 153.04846939],0
a5,1,0.087368,2.922215,[183  41] ; [126  43],[176.1221374  47.8778626] ; [132.8778626  36.1221374],0
d4,1,0.145978,2.113786,[194  29] ; [138  31],[188.86734694  34.13265306] ; [143.13265306  25.86734694],0
d2,1,0.170466,1.878842,[117 107] ; [76 92],[110.28571429 113.71428571] ; [82.71428571 85.28571429],0
r2,1,0.172206,1.863636,[214   8] ; [155  11],[211.12886598  10.87113402] ; [157.87113402   8.12886598],0
s4,1,0.189172,1.724058,[ 37 184] ; [ 20 147],[ 32.46649485 188.53350515] ; [ 24.53350515 142.46649485],0
s2,1,0.197339,1.661961,[125  97] ; [82 83],[118.74418605 103.25581395] ; [88.25581395 76.74418605],0
b5,1,0.202119,1.626996,[133  91] ; [111  58],[139.07379135  84.92620865] ; [104.92620865  64.07379135],0
a3,1,0.207401,1.589474,[177  46] ; [125  44],[171.80102041  51.19897959] ; [130.19897959  38.80102041],0
a6,1,0.22431,1.476582,[158  65] ; [110  59],[152.45918367  70.54081633] ; [115.54081633  53.45918367],0
a1,1,0.227964,1.453519,[ 14 210] ; [  6 163],[ 11.39949109 212.60050891] ; [  8.60050891 160.39949109],0
n2,1,0.240149,1.379717,[23  3] ; [30  9],[21.2  4.8] ; [31.8  7.2],0
r3,1,0.271199,1.210673,[219   5] ; [161   7],[217.14285714   6.85714286] ; [162.85714286   5.14285714],0
a2,1,0.283176,1.151785,[ 61 163] ; [ 38 131],[ 56.42748092 167.57251908] ; [ 42.57251908 126.42748092],0
u2,1,0.301875,1.065894,[26 21] ; [29 15],[28.40659341 18.59340659] ; [26.59340659 17.40659341],0
n1,1,0.309749,1.031746,[14 12] ; [16 23],[12. 14.] ; [18. 21.],0
a7,1,0.348041,0.880586,[164  59] ; [117  52],[159.85459184  63.14540816] ; [121.14540816  47.85459184],0
b2,1,0.379956,0.770843,[71 83] ; [46 67],[67.48314607 86.51685393] ; [49.51685393 63.48314607],0
b3,1,0.379956,0.770843,[71 83] ; [46 67],[67.48314607 86.51685393] ; [49.51685393 63.48314607],0
v4,1,0.408962,0.681817,[219   5] ; [159   6],[217.66580977   6.33419023] ; [160.33419023   4.66580977],0
s1,1,0.416946,0.658906,[  7 216] ; [  3 162],[  5.74742268 217.25257732] ; [  4.25257732 160.74742268],0
s3,1,0.459725,0.546564,[129  93] ; [88 74],[125.453125  96.546875] ; [91.546875 70.453125],0
r1,1,0.471995,0.517302,[186  38] ; [144  24],[188.57142857  35.42857143] ; [141.42857143  26.57142857],0
d3,1,0.54934,0.358501,[160  64] ; [116  53],[157.3129771  66.6870229] ; [118.6870229  50.3129771],0
s6,1,0.568372,0.325415,[158  64] ; [113  52],[155.45736434  66.54263566] ; [115.54263566  49.45736434],0
u4,1,0.65191,0.203501,[  7 217] ; [  4 165],[  6.2697201 217.7302799] ; [  4.7302799 164.2697201],0
b4,1,0.664298,0.188344,[133  91] ; [104  65],[135.08396947  88.91603053] ; [101.91603053  67.08396947],0
a4,1,0.694776,0.153964,[108 115] ; [78 90],[106.08184143 116.91815857] ; [79.91815857 88.08184143],0
n3,1,0.738379,0.111556,[19  7] ; [27 12],[18.4  7.6] ; [27.6 11.4],0
u3,1,0.816746,0.0537,[31 16] ; [28 16],[30.47252747 16.52747253] ; [28.52747253 15.47252747],0
a8,1,0.879491,0.022987,[ 30 170] ; [ 24 130],[ 30.50847458 169.49152542] ; [ 23.49152542 130.50847458],0
