Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.002771,8.952546,[ 5 13] ; [21  8],[9.95744681 8.04255319] ; [16.04255319 12.95744681],0
a4,1,0.046991,3.945701,[11  6] ; [10 19],[7.76086957 9.23913043] ; [13.23913043 15.76086957],0
b4,1,0.098025,2.737379,[11  7] ; [24  5],[13.40425532  4.59574468] ; [21.59574468  7.40425532],0
b3,1,0.100752,2.693603,[7 7] ; [ 4 14],[4.8125 9.1875] ; [ 6.1875 11.8125],0
b2,1,0.100752,2.693603,[7 7] ; [ 4 14],[4.8125 9.1875] ; [ 6.1875 11.8125],0
b1,1,0.106509,2.605275,[13  5] ; [14 15],[10.34042553  7.65957447] ; [16.65957447 12.34042553],0
p11,1,0.106509,2.605275,[13  5] ; [14 15],[10.34042553  7.65957447] ; [16.65957447 12.34042553],0
s4,1,0.125891,2.34246,[ 4 14] ; [ 2 27],[ 2.29787234 15.70212766] ; [ 3.70212766 25.29787234],0
p3,1,0.146565,2.107647,[ 8 10] ; [ 7 22],[ 5.74468085 12.25531915] ; [ 9.25531915 19.74468085],0
d2,1,0.148595,2.086616,[13  4] ; [16 13],[10.7173913  6.2826087] ; [18.2826087 10.7173913],0
n1,1,0.152338,2.048677,[4 2] ; [3 7],[2.625 3.375] ; [4.375 5.625],0
d1,1,0.16392,1.937685,[13  5] ; [15 14],[10.72340426  7.27659574] ; [17.27659574 11.72340426],0
p5,1,0.290957,1.115189,[ 3 15] ; [ 2 27],[ 1.91489362 16.08510638] ; [ 3.08510638 25.91489362],0
n2,1,0.3017,1.066667,[2 4] ; [6 4],[3. 3.] ; [5. 5.],0
r3,1,0.333871,0.933826,[12  6] ; [23  6],[13.40425532  4.59574468] ; [21.59574468  7.40425532],0
d3,1,0.352323,0.865074,[10  8] ; [20  9],[11.4893617  6.5106383] ; [18.5106383 10.4893617],0
s8,1,0.39007,0.738723,[ 3 15] ; [ 8 21],[ 4.21276596 13.78723404] ; [ 6.78723404 22.21276596],0
a2,1,0.395665,0.721461,[ 2 16] ; [ 6 23],[ 3.06382979 14.93617021] ; [ 4.93617021 24.06382979],0
p10,1,0.400098,0.708033,[10  8] ; [12 16],[8.60869565 9.39130435] ; [13.39130435 14.60869565],0
p7,1,0.419054,0.652965,[ 7 11] ; [ 8 21],[ 5.74468085 12.25531915] ; [ 9.25531915 19.74468085],0
r4,1,0.435058,0.609282,[ 6 12] ; [13 16],[ 7.27659574 10.72340426] ; [11.72340426 17.27659574],0
v3,1,0.445572,0.581892,[ 3 14] ; [ 8 21],[ 4.06521739 12.93478261] ; [ 6.93478261 22.06521739],0
p8,1,0.503657,0.447222,[ 3 15] ; [ 7 21],[ 3.91304348 14.08695652] ; [ 6.08695652 21.91304348],0
n6,1,0.518321,0.417234,[12  6] ; [16 12],[10.95652174  7.04347826] ; [17.04347826 10.95652174],0
s5,1,0.545739,0.365007,[ 5 12] ; [ 6 22],[ 4.15555556 12.84444444] ; [ 6.84444444 21.15555556],0
