Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,3e-06,22.12561,[ 10 147] ; [4 3],[ 13.40243902 143.59756098] ; [0.59756098 6.40243902],1
a1,1,0.001286,10.362956,[  1 156] ; [1 6],[  1.91463415 155.08536585] ; [0.08536585 6.91463415],0
a4,1,0.002602,9.067285,[ 34 122] ; [5 2],[ 37.32515337 118.67484663] ; [1.67484663 5.32515337],0
s7,1,0.023937,5.099161,[55 92] ; [5 1],[57.64705882 89.35294118] ; [2.35294118 3.64705882],0
s2,1,0.05794,3.595394,[55 98] ; [5 2],[57.375 95.625] ; [2.625 4.375],0
u1,1,0.077165,3.123622,[  4 153] ; [1 6],[  4.78658537 152.21341463] ; [0.21341463 6.78658537],0
p6,1,0.116362,2.465619,[ 45 109] ; [4 3],[ 46.86956522 107.13043478] ; [2.13043478 4.86956522],0
a8,1,0.141326,2.163462,[ 18 126] ; [2 4],[ 19.2 124.8] ; [0.8 5.2],0
b5,1,0.143878,2.13599,[91 66] ; [6 1],[92.8597561 64.1402439] ; [4.1402439 2.8597561],0
a6,1,0.161114,1.963738,[93 64] ; [6 1],[94.77439024 62.22560976] ; [4.22560976 2.77439024],0
p1,1,0.182158,1.779929,[ 18 137] ; [2 5],[ 19.13580247 135.86419753] ; [0.86419753 6.13580247],0
p8,1,0.183109,1.772212,[70 83] ; [5 2],[71.71875 81.28125] ; [3.28125 3.71875],0
a7,1,0.1858,1.750614,[95 61] ; [6 1],[96.66257669 59.33742331] ; [4.33742331 2.66257669],0
s8,1,0.223265,1.483262,[ 54 102] ; [4 3],[ 55.50920245 100.49079755] ; [2.49079755 4.50920245],0
b4,1,0.233277,1.420771,[81 76] ; [2 5],[79.45731707 77.54268293] ; [3.54268293 3.45731707],0
p3,1,0.278417,1.174803,[69 87] ; [4 2],[70.2962963 85.7037037] ; [2.7037037 3.2962963],0
v4,1,0.30585,1.048511,[146   8] ; [6 1],[145.39130435   8.60869565] ; [6.60869565 0.39130435],0
p4,1,0.311887,1.022669,[81 75] ; [5 2],[82.30674847 73.69325153] ; [3.69325153 3.30674847],0
r1,1,0.331674,0.942352,[106  49] ; [6 1],[107.16049383  47.83950617] ; [4.83950617 2.16049383],0
n5,1,0.420303,0.649468,[112  44] ; [6 1],[112.93251534  43.06748466] ; [5.06748466 1.93251534],0
b2,1,0.473106,0.514712,[19 72] ; [2 4],[19.70103093 71.29896907] ; [1.29896907 4.70103093],0
b3,1,0.473106,0.514712,[19 72] ; [2 4],[19.70103093 71.29896907] ; [1.29896907 4.70103093],0
p10,1,0.492359,0.471368,[112  39] ; [6 1],[112.7721519  38.2278481] ; [5.2278481 1.7721519],0
p11,1,0.524602,0.404837,[118  39] ; [6 1],[118.70731707  38.29268293] ; [5.29268293 1.70731707],0
s5,1,0.536501,0.382064,[ 34 117] ; [2 4],[ 34.62420382 116.37579618] ; [1.37579618 4.62420382],0
p7,1,0.563106,0.334355,[92 60] ; [5 2],[92.72955975 59.27044025] ; [4.27044025 2.72955975],0
n1,1,0.587734,0.293897,[12 26] ; [1 1],[12.35 25.65] ; [0.65 1.35],0
p9,1,0.600104,0.274838,[119  35] ; [6 1],[119.56521739  34.43478261] ; [5.43478261 1.56521739],0
p5,1,0.643755,0.213865,[ 14 140] ; [1 6],[ 14.34782609 139.65217391] ; [0.65217391 6.34782609],0
s6,1,0.666994,0.185139,[90 63] ; [3 3],[89.49056604 63.50943396] ; [3.50943396 2.49056604],0
s3,1,0.736788,0.11297,[78 76] ; [4 3],[78.43478261 75.56521739] ; [3.56521739 3.43478261],0
s4,1,0.738761,0.111219,[ 30 125] ; [1 6],[ 29.66049383 125.33950617] ; [1.33950617 5.66049383],0
v3,1,0.875755,0.024446,[ 48 105] ; [2 5],[ 47.8125 105.1875] ; [2.1875 4.8125],0
b1,1,0.885423,0.020764,[63 94] ; [3 4],[63.18292683 93.81707317] ; [2.81707317 4.18292683],0
v2,1,0.900237,0.015716,[67 81] ; [3 4],[66.83870968 81.16129032] ; [3.16129032 3.83870968],0
v1,1,0.907226,0.013581,[69 84] ; [3 4],[68.85 84.15] ; [3.15 3.85],0
