Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,25.673471,[12  3] ; [13 65],[ 4.03225806 10.96774194] ; [20.96774194 57.03225806],1
s2,1,0.000152,14.343229,[10  5] ; [17 69],[ 4.00990099 10.99009901] ; [22.99009901 63.00990099],1
p6,1,0.00091,11.0022,[6 9] ; [ 7 76],[ 1.98979592 13.01020408] ; [11.01020408 71.98979592],1
s6,1,0.000957,10.909077,[11  4] ; [25 61],[5.34653465 9.65346535] ; [30.65346535 55.34653465],1
p2,1,0.004044,8.263792,[13  2] ; [39 45],[7.87878788 7.12121212] ; [44.12121212 39.87878788],0
p9,1,0.005233,7.79724,[13  2] ; [39 43],[8.04123711 6.95876289] ; [43.95876289 38.04123711],0
s3,1,0.008082,7.015306,[10  5] ; [26 58],[5.45454545 9.54545455] ; [30.54545455 53.45454545],0
v3,1,0.012369,6.257142,[7 8] ; [15 70],[ 3.3 11.7] ; [18.7 66.3],0
p10,1,0.021231,5.307695,[11  4] ; [35 50],[6.9 8.1] ; [39.1 45.9],0
p4,1,0.023907,5.101391,[7 8] ; [17 69],[ 3.56435644 11.43564356] ; [20.43564356 65.56435644],0
p11,1,0.03268,4.562444,[10  5] ; [32 54],[6.23762376 8.76237624] ; [35.76237624 50.23762376],0
n6,1,0.035151,4.437848,[12  3] ; [42 41],[8.26530612 6.73469388] ; [45.73469388 37.26530612],0
n1,1,0.041623,4.150474,[5 3] ; [10 29],[2.55319149 5.44680851] ; [12.44680851 26.55319149],0
v4,1,0.04287,4.100528,[12  3] ; [43 40],[8.41836735 6.58163265] ; [46.58163265 36.41836735],0
d5,1,0.060046,3.536102,[13  2] ; [53 33],[9.8019802 5.1980198] ; [56.1980198 29.8019802],0
r3,1,0.066304,3.372231,[11  4] ; [39 43],[7.73195876 7.26804124] ; [42.26804124 39.73195876],0
u3,1,0.081873,3.027318,[3 2] ; [ 8 27],[1.375 3.625] ; [ 9.625 25.375],0
a5,1,0.111608,2.531298,[11  4] ; [44 42],[8.16831683 6.83168317] ; [46.83168317 39.16831683],0
n5,1,0.131063,2.279873,[12  3] ; [50 34],[9.39393939 5.60606061] ; [52.60606061 31.39393939],0
n2,1,0.137075,2.210493,[6 2] ; [18 21],[4.08510638 3.91489362] ; [19.91489362 19.08510638],0
n4,1,0.139099,2.187902,[12  3] ; [51 34],[9.45 5.55] ; [53.55 31.45],0
v2,1,0.167903,1.901564,[8 7] ; [28 53],[5.625 9.375] ; [30.375 50.625],0
p7,1,0.189336,1.722776,[6 9] ; [20 64],[ 3.93939394 11.06060606] ; [22.06060606 61.93939394],0
s5,1,0.276707,1.183193,[ 4 10] ; [14 71],[ 2.54545455 11.45454545] ; [15.45454545 69.54545455],0
d4,1,0.31773,0.998267,[12  3] ; [57 28],[10.35  4.65] ; [58.65 26.35],0
v1,1,0.321078,0.984551,[6 7] ; [27 57],[4.42268041 8.57731959] ; [28.57731959 55.42268041],0
d1,1,0.361094,0.834085,[8 7] ; [35 51],[6.38613861 8.61386139] ; [36.61386139 49.38613861],0
s4,1,0.382165,0.763726,[ 1 14] ; [13 73],[ 2.07920792 12.92079208] ; [11.92079208 74.07920792],0
u1,1,0.400242,0.707598,[ 2 13] ; [ 6 80],[ 1.18811881 13.81188119] ; [ 6.81188119 79.18811881],0
a4,1,0.453214,0.562602,[7 8] ; [31 54],[5.7 9.3] ; [32.3 52.7],0
p3,1,0.498419,0.4583,[ 4 11] ; [16 68],[ 3.03030303 11.96969697] ; [16.96969697 67.03030303],0
a1,1,0.498783,0.457525,[ 1 14] ; [11 75],[ 1.78217822 13.21782178] ; [10.21782178 75.78217822],0
b1,1,0.511548,0.430899,[7 8] ; [48 38],[8.16831683 6.83168317] ; [46.83168317 39.16831683],0
