Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,23.592452,[366  64] ; [59 34],[349.42638623  80.57361377] ; [75.57361377 17.42638623],1
p8,1,2e-06,22.759882,[230 199] ; [26 71],[208.79087452 220.20912548] ; [47.20912548 49.79087452],1
p7,1,2e-06,22.623984,[275 149] ; [36 58],[254.56370656 169.43629344] ; [56.43629344 37.56370656],1
p4,1,7e-06,20.17745,[258 175] ; [33 63],[238.19092628 194.80907372] ; [52.80907372 43.19092628],1
p11,1,9e-06,19.776142,[344  90] ; [56 41],[326.93032015 107.06967985] ; [73.06967985 23.93032015],1
p10,1,8.4e-05,15.467521,[343  86] ; [58 37],[328.29961832 100.70038168] ; [72.70038168 22.29961832],1
n4,1,0.000692,11.510601,[316 116] ; [54 43],[302.15500945 129.84499055] ; [67.84499055 29.15500945],1
b1,1,0.001064,10.713474,[159 275] ; [53 44],[173.27306968 260.72693032] ; [38.72693032 58.27306968],0
p6,1,0.003326,8.619207,[163 266] ; [21 74],[150.64122137 278.35877863] ; [33.35877863 61.64122137],0
a7,1,0.003983,8.291712,[322 111] ; [58 39],[310.45283019 122.54716981] ; [69.54716981 27.45283019],0
r3,1,0.004306,8.150197,[409  23] ; [84 13],[402.60113422  29.39886578] ; [90.39886578  6.60113422],0
s6,1,0.006801,7.324717,[287 142] ; [49 45],[275.60994264 153.39005736] ; [60.39005736 33.60994264],0
s7,1,0.011321,6.414225,[187 230] ; [28 64],[176.13948919 240.86051081] ; [38.86051081 53.13948919],0
n6,1,0.012513,6.236625,[360  73] ; [70 27],[351.30188679  81.69811321] ; [78.69811321 18.30188679],0
d3,1,0.015495,5.859262,[292 140] ; [53 44],[281.73913043 150.26086957] ; [63.26086957 33.73913043],0
a6,1,0.021277,5.303946,[299 135] ; [55 42],[289.33333333 144.66666667] ; [64.66666667 32.33333333],0
r1,1,0.035307,4.430284,[332  98] ; [65 32],[323.92789374 106.07210626] ; [73.07210626 23.92789374],0
n5,1,0.0392,4.252191,[306 124] ; [58 38],[297.56653992 132.43346008] ; [66.43346008 29.56653992],0
p3,1,0.042457,4.11688,[198 235] ; [33 63],[189.07939509 243.92060491] ; [41.92060491 54.07939509],0
d5,1,0.045591,3.99664,[344  89] ; [68 29],[336.59622642  96.40377358] ; [75.40377358 21.59622642],0
p5,1,0.06457,3.41594,[ 38 396] ; [ 3 92],[ 33.63705104 400.36294896] ; [ 7.36294896 87.63705104],0
a1,1,0.092375,2.832489,[ 12 422] ; [ 6 91],[ 14.71186441 419.28813559] ; [ 3.28813559 93.71186441],0
a3,1,0.100043,2.70486,[295 138] ; [57 39],[288.12098299 144.87901701] ; [63.87901701 32.12098299],0
a5,1,0.116268,2.46689,[304 130] ; [60 37],[297.50659134 136.49340866] ; [66.49340866 30.50659134],0
s5,1,0.159736,1.976726,[136 285] ; [22 67],[130.42745098 290.57254902] ; [27.57254902 61.42745098],0
r4,1,0.179453,1.802144,[384  50] ; [81 16],[380.05649718  53.94350282] ; [84.94350282 12.05649718],0
a8,1,0.186383,1.745979,[ 54 345] ; [ 8 86],[ 50.17849899 348.82150101] ; [11.82150101 82.17849899],0
s3,1,0.203207,1.619173,[234 199] ; [45 51],[228.36862004 204.63137996] ; [50.63137996 45.36862004],0
u4,1,0.206369,1.596721,[  3 431] ; [ 2 95],[  4.086629 429.913371] ; [ 0.913371 96.086629],0
r2,1,0.21193,1.558194,[404  25] ; [88  9],[401.26996198  27.73003802] ; [90.73003802  6.26996198],0
s1,1,0.227645,1.455515,[ 12 417] ; [ 5 91],[ 13.89142857 415.10857143] ; [ 3.10857143 92.89142857],0
a4,1,0.245349,1.349597,[175 258] ; [45 51],[180.07561437 252.92438563] ; [39.92438563 56.07561437],0
v1,1,0.283749,1.149045,[188 234] ; [37 59],[183.3011583 238.6988417] ; [41.6988417 54.3011583],0
n1,1,0.307015,1.043475,[39 68] ; [17 20],[41.61111111 65.38888889] ; [14.38888889 22.61111111],0
s4,1,0.341285,0.9056,[ 84 344] ; [23 73],[ 87.39694656 340.60305344] ; [19.60305344 76.39694656],0
v2,1,0.356772,0.849222,[162 259] ; [41 53],[165.94757282 255.05242718] ; [37.05242718 56.94757282],0
d4,1,0.35685,0.848948,[345  89] ; [73 24],[341.64218456  92.35781544] ; [76.35781544 20.64218456],0
s8,1,0.359369,0.840098,[166 267] ; [32 64],[162.06805293 270.93194707] ; [35.93194707 60.06805293],0
s2,1,0.376701,0.781439,[206 226] ; [41 55],[202.09090909 229.90909091] ; [44.90909091 51.09090909],0
d1,1,0.394895,0.723815,[231 203] ; [47 50],[227.2165725 206.7834275] ; [50.7834275 46.2165725],0
p12,1,0.411611,0.674142,[ 22 410] ; [ 3 93],[ 20.45454545 411.54545455] ; [ 4.54545455 91.45454545],0
u1,1,0.442909,0.588735,[ 67 367] ; [12 85],[ 64.56873823 369.43126177] ; [14.43126177 82.56873823],0
n2,1,0.445303,0.582579,[77 29] ; [30  8],[78.76388889 27.23611111] ; [28.23611111  9.76388889],0
b5,1,0.47616,0.507645,[265 169] ; [63 34],[268.08286252 165.91713748] ; [59.91713748 37.08286252],0
u2,1,0.48224,0.493792,[76 62] ; [19 20],[74.06779661 63.93220339] ; [20.93220339 18.06779661],0
a2,1,0.529438,0.39547,[ 93 341] ; [18 79],[ 90.72316384 343.27683616] ; [20.27683616 76.72316384],0
d2,1,0.616528,0.250777,[193 241] ; [40 56],[190.79622642 243.20377358] ; [42.20377358 53.79622642],0
n3,1,0.639982,0.218766,[76 30] ; [28  9],[77.09090909 28.90909091] ; [26.90909091 10.09090909],0
b4,1,0.745027,0.105757,[245 189] ; [53 44],[243.56308851 190.43691149] ; [54.43691149 42.56308851],0
p1,1,0.788548,0.071929,[ 30 402] ; [ 6 91],[ 29.39886578 402.60113422] ; [ 6.60113422 90.39886578],0
