Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,28.364032,[ 24 134] ; [22 18],[ 36.70707071 121.29292929] ; [ 9.29292929 30.70707071],1
s6,1,0.0,26.518807,[ 48 115] ; [30 11],[ 62.32352941 100.67647059] ; [15.67647059 25.32352941],1
u2,1,0.002072,9.484786,[30 40] ; [13  2],[35.41176471 34.58823529] ; [7.58823529 7.41176471],0
p7,1,0.006346,7.44947,[69 95] ; [27 14],[76.8 87.2] ; [19.2 21.8],0
r1,1,0.009063,6.810305,[92 73] ; [32  9],[99.32038835 65.67961165] ; [24.67961165 16.32038835],0
a6,1,0.012924,6.179422,[108  58] ; [18 23],[101.04347826  64.95652174] ; [24.95652174 16.04347826],0
p10,1,0.017999,5.596289,[99 64] ; [33  8],[105.47058824  57.52941176] ; [26.52941176 14.47058824],0
r4,1,0.019965,5.414917,[116  50] ; [36  5],[121.89371981  44.10628019] ; [30.10628019 10.89371981],0
p4,1,0.026792,4.904143,[ 65 100] ; [24 17],[71.28640777 93.71359223] ; [17.71359223 23.28640777],0
v3,1,0.027613,4.852071,[ 24 140] ; [12 29],[ 28.8 135.2] ; [ 7.2 33.8],0
p6,1,0.033112,4.539995,[ 37 126] ; [16 25],[ 42.34803922 120.65196078] ; [10.65196078 30.34803922],0
p9,1,0.042491,4.115537,[108  54] ; [34  7],[113.32019704  48.67980296] ; [28.67980296 12.32019704],0
p8,1,0.052982,3.744481,[ 65 100] ; [23 18],[70.48543689 94.51456311] ; [17.51456311 23.48543689],0
r3,1,0.055637,3.662879,[132  33] ; [38  3],[136.16504854  28.83495146] ; [33.83495146  7.16504854],0
s5,1,0.057655,3.603591,[ 24 138] ; [11 29],[ 28.06930693 133.93069307] ; [ 6.93069307 33.06930693],0
b3,1,0.059346,3.555556,[32 64] ; [13 11],[36. 60.] ; [ 9. 15.],0
b2,1,0.059346,3.555556,[32 64] ; [13 11],[36. 60.] ; [ 9. 15.],0
u3,1,0.073015,3.213913,[33 36] ; [11  4],[36.14285714 32.85714286] ; [7.85714286 7.14285714],0
p3,1,0.073818,3.196018,[ 52 113] ; [19 22],[ 56.86893204 108.13106796] ; [14.13106796 26.86893204],0
n4,1,0.103626,2.64883,[103  63] ; [31 10],[107.4589372  58.5410628] ; [26.5410628 14.4589372],0
v4,1,0.107319,2.593262,[137  29] ; [38  3],[140.33816425  25.66183575] ; [34.66183575  6.33816425],0
p11,1,0.118717,2.434161,[104  62] ; [31 10],[108.26086957  57.73913043] ; [26.73913043 14.26086957],0
p12,1,0.121724,2.394993,[  4 161] ; [ 3 38],[  5.60679612 159.39320388] ; [ 1.39320388 39.60679612],0
u1,1,0.13182,2.270937,[ 12 154] ; [ 6 35],[ 14.43478261 151.56521739] ; [ 3.56521739 37.43478261],0
p1,1,0.135209,2.231659,[ 12 153] ; [ 6 35],[ 14.41747573 150.58252427] ; [ 3.58252427 37.41747573],0
b4,1,0.157376,1.999259,[89 77] ; [27 14],[93.02415459 72.97584541] ; [22.97584541 18.02415459],0
a5,1,0.161903,1.956361,[102  64] ; [30 11],[105.85507246  60.14492754] ; [26.14492754 14.85507246],0
a8,1,0.188793,1.727009,[ 13 142] ; [ 6 33],[ 15.18041237 139.81958763] ; [ 3.81958763 35.18041237],0
d1,1,0.234896,1.410968,[68 98] ; [21 20],[71.37198068 94.62801932] ; [17.62801932 23.37198068],0
v1,1,0.238948,1.386791,[ 50 115] ; [16 24],[ 53.12195122 111.87804878] ; [12.87804878 27.12195122],0
s2,1,0.285887,1.138889,[ 18 146] ; [ 7 34],[ 20. 144.] ; [ 5. 36.],0
d4,1,0.299426,1.076748,[116  50] ; [32  9],[118.68599034  47.31400966] ; [29.31400966 11.68599034],0
d2,1,0.317286,1.0001,[ 62 102] ; [19 22],[64.8 99.2] ; [16.2 24.8],0
p2,1,0.325137,0.96817,[111  53] ; [31 10],[113.6  50.4] ; [28.4 12.6],0
b5,1,0.358632,0.842679,[106  60] ; [23 18],[103.44927536  62.55072464] ; [25.55072464 15.44927536],0
a1,1,0.359435,0.839865,[ 10 156] ; [ 1 40],[  8.82125604 157.17874396] ; [ 2.17874396 38.82125604],0
