Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.001841,9.701654,[24 10] ; [ 7 17],[18.17241379 15.82758621] ; [12.82758621 11.17241379],0
v2,1,0.003516,8.518285,[ 6 28] ; [13 11],[11.13793103 22.86206897] ; [ 7.86206897 16.13793103],0
p2,1,0.016798,5.717377,[ 8 26] ; [13 11],[12.31034483 21.68965517] ; [ 8.68965517 15.31034483],0
s6,1,0.020199,5.394618,[ 6 28] ; [11 13],[ 9.96551724 24.03448276] ; [ 7.03448276 16.96551724],0
v4,1,0.032938,4.54902,[13 21] ; [16  8],[17. 17.] ; [12. 12.],0
d4,1,0.040679,4.189328,[18 16] ; [19  5],[21.68965517 12.31034483] ; [15.31034483  8.68965517],0
a7,1,0.040778,4.18522,[12 22] ; [15  9],[15.82758621 18.17241379] ; [11.17241379 12.82758621],0
n4,1,0.040778,4.18522,[22 12] ; [ 9 15],[18.17241379 15.82758621] ; [12.82758621 11.17241379],0
p11,1,0.043824,4.063317,[ 6 28] ; [10 14],[ 9.37931034 24.62068966] ; [ 6.62068966 17.37931034],0
s2,1,0.045719,3.991931,[ 5 29] ; [ 9 15],[ 8.20689655 25.79310345] ; [ 5.79310345 18.20689655],0
p8,1,0.052953,3.745413,[ 5 28] ; [ 9 15],[ 8.10526316 24.89473684] ; [ 5.89473684 18.10526316],0
p6,1,0.080931,3.046113,[ 2 31] ; [ 5 18],[ 4.125 28.875] ; [ 2.875 20.125],0
a4,1,0.087772,2.914773,[14 19] ; [ 5 19],[11. 22.] ; [ 8. 16.],0
v1,1,0.093844,2.807173,[ 5 29] ; [ 8 16],[ 7.62068966 26.37931034] ; [ 5.37931034 18.62068966],0
n2,1,0.100524,2.697214,[ 7 13] ; [10  6],[ 9.44444444 10.55555556] ; [7.55555556 8.44444444],0
d3,1,0.130713,2.284021,[13 21] ; [14 10],[15.82758621 18.17241379] ; [11.17241379 12.82758621],0
n6,1,0.157387,1.999158,[13 20] ; [14 10],[15.63157895 17.36842105] ; [11.36842105 12.63157895],0
s7,1,0.159614,1.977881,[ 5 27] ; [ 7 15],[ 7.11111111 24.88888889] ; [ 4.88888889 17.11111111],0
d1,1,0.17602,1.83091,[11 23] ; [12 12],[13.48275862 20.51724138] ; [ 9.51724138 14.48275862],0
p4,1,0.189496,1.721534,[ 6 27] ; [ 8 16],[ 8.10526316 24.89473684] ; [ 5.89473684 18.10526316],0
b5,1,0.197806,1.658497,[14 20] ; [14 10],[16.4137931 17.5862069] ; [11.5862069 12.4137931],0
b2,1,0.26012,1.268116,[10 15] ; [2 8],[ 8.57142857 16.42857143] ; [3.42857143 6.57142857],0
b3,1,0.26012,1.268116,[10 15] ; [2 8],[ 8.57142857 16.42857143] ; [3.42857143 6.57142857],0
s3,1,0.280047,1.166862,[ 8 25] ; [ 9 15],[ 9.84210526 23.15789474] ; [ 7.15789474 16.84210526],0
p3,1,0.285434,1.141031,[ 5 29] ; [ 6 17],[ 6.56140351 27.43859649] ; [ 4.43859649 18.56140351],0
d2,1,0.294228,1.100172,[17 16] ; [ 9 15],[15.05263158 17.94736842] ; [10.94736842 13.05263158],0
d5,1,0.295883,1.092657,[18 16] ; [16  8],[19.93103448 14.06896552] ; [14.06896552  9.93103448],0
p1,1,0.309915,1.03104,[ 4 30] ; [ 1 23],[ 2.93103448 31.06896552] ; [ 2.06896552 21.93103448],0
