Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,67.712639,[ 38 202] ; [131 127],[ 81.44578313 158.55421687] ; [ 87.55421687 170.44578313],1
s3,1,0.0,61.617763,[ 58 182] ; [150 104],[101.05263158 138.94736842] ; [106.94736842 147.05263158],1
s5,1,0.0,45.981836,[ 25 212] ; [ 93 160],[ 57.07346939 179.92653061] ; [ 60.92653061 192.07346939],1
s7,1,1e-06,24.65602,[ 35 191] ; [ 89 162],[ 58.75052411 167.24947589] ; [ 65.24947589 185.75052411],1
p4,1,6e-06,20.465004,[ 96 141] ; [157 101],[121.13333333 115.86666667] ; [131.86666667 126.13333333],1
s4,1,1e-05,19.430979,[ 17 224] ; [ 53 201],[ 34.08080808 206.91919192] ; [ 35.91919192 218.08080808],1
p12,1,0.000375,12.650969,[  3 234] ; [ 21 237],[ 11.49090909 225.50909091] ; [ 12.50909091 245.49090909],1
n5,1,0.002336,9.265116,[144  96] ; [188  70],[160.  80.] ; [172.  86.],0
p5,1,0.002983,8.818101,[  8 231] ; [ 26 232],[ 16.3501006 222.6498994] ; [ 17.6498994 240.3501006],0
p9,1,0.003757,8.397764,[170  67] ; [210  44],[183.42158859  53.57841141] ; [196.57841141  57.42158859],0
p3,1,0.004697,7.992644,[ 82 155] ; [122 137],[ 97.47580645 139.52419355] ; [106.52419355 152.47580645],0
p10,1,0.0063,7.462563,[160  77] ; [200  55],[173.41463415  63.58536585] ; [186.58536585  68.41463415],0
d3,1,0.009195,6.784593,[148  91] ; [188  70],[161.57746479  77.42253521] ; [174.42253521  83.57746479],0
p6,1,0.01285,6.189628,[ 52 182] ; [ 82 172],[ 64.25409836 169.74590164] ; [ 69.74590164 184.25409836],0
n6,1,0.015434,5.866265,[179  61] ; [216  43],[189.97995992  50.02004008] ; [205.02004008  53.97995992],0
p2,1,0.017111,5.684979,[179  58] ; [217  41],[189.6  47.4] ; [206.4  51.6],0
p7,1,0.027794,4.840792,[122 115] ; [154  97],[134.04098361 102.95901639] ; [141.95901639 109.04098361],0
v1,1,0.032515,4.57113,[ 94 141] ; [127 129],[105.77393075 129.22606925] ; [115.22606925 140.77393075],0
u1,1,0.040499,4.196867,[ 24 217] ; [ 42 218],[ 31.74850299 209.25149701] ; [ 34.25149701 225.74850299],0
r4,1,0.04723,3.937163,[206  35] ; [237  23],[213.0998004  27.9001996] ; [229.9001996  30.0998004],0
a7,1,0.053096,3.740888,[168  72] ; [201  58],[177.4749499  62.5250501] ; [191.5250501  67.4749499],0
r1,1,0.065706,3.387153,[173  67] ; [205  54],[181.80360721  58.19639279] ; [196.19639279  62.80360721],0
r2,1,0.067715,3.337556,[216  22] ; [245  13],[221.20564516  16.79435484] ; [239.79435484  18.20564516],0
v2,1,0.08122,3.040324,[111 119] ; [140 109],[120.52192067 109.47807933] ; [130.47807933 118.52192067],0
d4,1,0.081343,3.037858,[183  57] ; [213  45],[190.84337349  49.15662651] ; [205.15662651  52.84337349],0
a5,1,0.087283,2.923775,[151  90] ; [181  78],[160.024  80.976] ; [171.976  87.024],0
b4,1,0.105558,2.619493,[133 108] ; [162  98],[141.90618762  99.09381238] ; [153.09381238 106.90618762],0
p8,1,0.110365,2.548987,[ 96 140] ; [122 133],[104.78207739 131.21792261] ; [113.21792261 141.78207739],0
a2,1,0.112014,2.525567,[ 41 200] ; [ 59 201],[ 48.10379242 192.89620758] ; [ 51.89620758 208.10379242],0
v3,1,0.113312,2.507407,[ 64 166] ; [ 87 165],[ 72.05394191 157.94605809] ; [ 78.94605809 173.05394191],0
u3,1,0.120263,2.413889,[41 48] ; [53 39],[46.22099448 42.77900552] ; [47.77900552 44.22099448],0
n2,1,0.126872,2.330366,[44 19] ; [49 11],[47.63414634 15.36585366] ; [45.36585366 14.63414634],0
a1,1,0.141622,2.160251,[  6 235] ; [ 13 247],[  9.13972056 231.86027944] ; [  9.86027944 250.13972056],0
b1,1,0.141651,2.159928,[ 93 148] ; [ 84 176],[ 85.14371257 155.85628743] ; [ 91.85628743 168.14371257],0
v4,1,0.178671,1.808647,[219  19] ; [246  13],[222.67605634  15.32394366] ; [242.32394366  16.67605634],0
n4,1,0.180695,1.791896,[161  80] ; [188  72],[167.88223553  73.11776447] ; [181.11776447  78.88223553],0
u2,1,0.212347,1.555354,[42 46] ; [53 40],[46.1878453 41.8121547] ; [48.8121547 44.1878453],0
d5,1,0.225801,1.467117,[178  62] ; [204  55],[183.72745491  56.27254509] ; [198.27254509  60.72745491],0
p1,1,0.345193,0.891051,[ 18 221] ; [ 14 243],[ 15.41935484 223.58064516] ; [ 16.58064516 240.41935484],0
u4,1,0.353132,0.86217,[  1 240] ; [  3 257],[  1.9241517 239.0758483] ; [  2.0758483 257.9241517],0
d1,1,0.353871,0.859529,[117 124] ; [137 123],[122.18363273 118.81636727] ; [131.81636727 128.18363273],0
n1,1,0.405918,0.690726,[18 45] ; [21 38],[20.13934426 42.86065574] ; [18.86065574 40.13934426],0
a8,1,0.428045,0.628122,[ 22 200] ; [ 29 208],[ 24.66666667 197.33333333] ; [ 26.33333333 210.66666667],0
b2,1,0.544187,0.367835,[42 87] ; [39 95],[39.73003802 89.26996198] ; [41.26996198 92.73003802],0
b3,1,0.544187,0.367835,[42 87] ; [39 95],[39.73003802 89.26996198] ; [41.26996198 92.73003802],0
d2,1,0.624157,0.240067,[101 139] ; [103 155],[ 98.31325301 141.68674699] ; [105.68674699 152.31325301],0
b5,1,0.691498,0.157469,[146  95] ; [162  98],[148.15968064  92.84031936] ; [159.84031936 100.15968064],0
s1,1,0.70006,0.148409,[  7 233] ; [  9 246],[  7.75757576 232.24242424] ; [  8.24242424 246.75757576],0
a4,1,0.770869,0.08482,[ 95 146] ; [105 153],[ 96.59318637 144.40681363] ; [103.40681363 154.59318637],0
a6,1,0.795268,0.067328,[167  74] ; [176  82],[165.65731463  75.34268537] ; [177.34268537  80.65731463],0
p11,1,0.868183,0.027545,[182  59] ; [198  62],[182.79441118  58.20558882] ; [197.20558882  62.79441118],0
n3,1,0.870058,0.02676,[46 16] ; [43 16],[45.60330579 16.39669421] ; [43.39669421 15.60330579],0
a3,1,0.979985,0.000629,[152  87] ; [165  94],[152.13453815  86.86546185] ; [164.86546185  94.13453815],0
