Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,151.779619,[ 79 199] ; [221  53],[151.08695652 126.91304348] ; [148.91304348 125.08695652],1
s2,1,0.0,80.712568,[106 185] ; [210  75],[159.64583333 131.35416667] ; [156.35416667 128.64583333],1
s3,1,0.0,71.087907,[120 170] ; [216  68],[169.75609756 120.24390244] ; [166.24390244 117.75609756],1
s6,1,0.0,57.606765,[160 125] ; [241  42],[201.20598592  83.79401408] ; [199.79401408  83.20598592],1
s5,1,0.0,27.085535,[ 76 210] ; [131 143],[105.71785714 180.28214286] ; [101.28214286 172.71785714],1
a3,1,2.5e-05,17.744265,[196  97] ; [235  51],[218.10535406  74.89464594] ; [212.89464594  73.10535406],1
p6,1,2.6e-05,17.657435,[ 93 197] ; [140 144],[117.71777003 172.28222997] ; [115.28222997 168.71777003],1
d2,1,0.000301,13.061514,[123 169] ; [164 123],[144.73920553 147.26079447] ; [142.26079447 144.73920553],1
d1,1,0.000335,12.862597,[157 137] ; [195  92],[178.12048193 115.87951807] ; [173.87951807 113.12048193],1
p12,1,0.000595,11.791798,[ 17 276] ; [ 41 244],[ 29.40138408 263.59861592] ; [ 28.59861592 256.40138408],1
v3,1,0.001077,10.689629,[106 179] ; [140 135],[125.19642857 159.80357143] ; [120.80357143 154.19642857],0
v1,1,0.001089,10.669934,[155 131] ; [188  90],[173.93262411 112.06737589] ; [169.06737589 108.93262411],0
p7,1,0.001187,10.510451,[178 108] ; [209  70],[195.89734513  90.10265487] ; [191.10265487  87.89734513],0
u4,1,0.001787,9.756368,[  1 292] ; [ 12 275],[  6.56724138 286.43275862] ; [  6.43275862 280.56724138],0
p3,1,0.003622,8.464426,[145 147] ; [177 110],[162.39032815 129.60967185] ; [159.60967185 127.39032815],0
r1,1,0.004719,7.98411,[224  69] ; [245  41],[237.33506045  55.66493955] ; [231.66493955  54.33506045],0
p4,1,0.009024,6.818095,[180 113] ; [205  81],[194.82728843  98.17271157] ; [190.17271157  95.82728843],0
b2,1,0.009278,6.768583,[ 51 106] ; [ 90 105],[62.88920455 94.11079545] ; [ 78.11079545 116.88920455],0
b3,1,0.009278,6.768583,[ 51 106] ; [ 90 105],[62.88920455 94.11079545] ; [ 78.11079545 116.88920455],0
a5,1,0.013226,6.138623,[212  82] ; [232  55],[224.6746988  69.3253012] ; [219.3253012  67.6746988],0
p5,1,0.021589,5.278619,[ 33 260] ; [ 51 232],[ 42.72916667 250.27083333] ; [ 41.27083333 241.72916667],0
p8,1,0.025973,4.957792,[157 134] ; [178 104],[170.13089005 120.86910995] ; [164.86910995 117.13089005],0
n1,1,0.034677,4.460986,[18 37] ; [28 25],[23.42592593 31.57407407] ; [22.57407407 30.42592593],0
r4,1,0.034925,4.448828,[261  33] ; [269  18],[268.19277108  25.80722892] ; [261.80722892  25.19277108],0
d5,1,0.034977,4.446291,[231  63] ; [244  42],[240.77586207  53.22413793] ; [234.22413793  51.77586207],0
u1,1,0.041838,4.141744,[ 47 247] ; [ 65 222],[ 56.6746988 237.3253012] ; [ 55.3253012 231.6746988],0
d4,1,0.056107,3.648873,[233  61] ; [244  42],[241.78965517  52.21034483] ; [235.21034483  50.78965517],0
a2,1,0.058757,3.572141,[ 64 230] ; [ 82 205],[ 73.87951807 220.12048193] ; [ 72.12048193 214.87951807],0
a4,1,0.077248,3.121876,[125 169] ; [143 144],[135.61445783 158.38554217] ; [132.38554217 154.61445783],0
a6,1,0.07956,3.073877,[214  80] ; [189  97],[204.27931034  89.72068966] ; [198.72068966  87.27931034],0
a7,1,0.135222,2.231504,[217  77] ; [195  91],[208.84137931  85.15862069] ; [203.15862069  82.84137931],0
p9,1,0.146655,2.106706,[273  19] ; [276  11],[276.87046632  15.12953368] ; [272.12953368  14.87046632],0
r2,1,0.149417,2.078196,[271  19] ; [273  11],[274.84320557  15.15679443] ; [269.15679443  14.84320557],0
n4,1,0.171767,1.867457,[257  37] ; [261  26],[262.12048193  31.87951807] ; [255.87951807  31.12048193],0
