Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,53.597542,[292  93] ; [58 81],[257.15648855 127.84351145] ; [92.84351145 46.15648855],1
d3,1,0.0,31.556341,[300  86] ; [73 66],[274.24380952 111.75619048] ; [98.75619048 40.24380952],1
u1,1,1e-06,23.447386,[104 282] ; [ 10 129],[ 83.81714286 302.18285714] ; [ 30.18285714 108.81714286],1
a2,1,2e-06,22.497847,[121 265] ; [ 15 124],[ 99.99238095 286.00761905] ; [ 36.00761905 102.99238095],1
b5,1,0.000167,14.174722,[256 130] ; [67 72],[237.48190476 148.51809524] ; [85.51809524 53.48190476],1
r4,1,0.000298,13.080266,[370  16] ; [121  18],[361.00190476  24.99809524] ; [129.99809524   9.00190476],1
b1,1,0.000729,11.412907,[124 262] ; [67 72],[140.43047619 245.56952381] ; [50.56952381 88.43047619],1
r3,1,0.003271,8.649537,[376   9] ; [128  11],[370.30534351  14.69465649] ; [133.69465649   5.30534351],0
v4,1,0.008652,6.893239,[376   9] ; [129  10],[371.04007634  13.95992366] ; [133.95992366   5.04007634],0
r2,1,0.010873,6.485954,[371  11] ; [127  11],[365.83846154  16.16153846] ; [132.16153846   5.83846154],0
d1,1,0.011602,6.370706,[247 139] ; [72 67],[234.54095238 151.45904762] ; [84.45904762 54.54095238],0
v2,1,0.012553,6.231005,[226 147] ; [64 69],[213.77470356 159.22529644] ; [76.22529644 56.77470356],0
d4,1,0.013021,6.166223,[334  52] ; [107  31],[324.85877863  61.14122137] ; [116.14122137  21.85877863],0
r1,1,0.022684,5.192548,[328  56] ; [107  32],[319.38814532  64.61185468] ; [115.61185468  23.38814532],0
u3,1,0.03295,4.54836,[66 34] ; [17 20],[60.58394161 39.41605839] ; [22.41605839 14.58394161],0
b4,1,0.044623,4.032831,[243 143] ; [74 65],[233.07047619 152.92952381] ; [83.92952381 55.07047619],0
u2,1,0.049005,3.875174,[62 38] ; [16 21],[56.93430657 43.06569343] ; [21.06569343 15.93430657],0
s8,1,0.077024,3.1266,[207 177] ; [87 52],[215.8623327 168.1376673] ; [78.1376673 60.8623327],0
p2,1,0.090804,2.860066,[330  55] ; [109  28],[323.7835249  61.2164751] ; [115.2164751  21.7835249],0
n5,1,0.09576,2.774777,[311  74] ; [121  18],[317.40458015  67.59541985] ; [114.59541985  24.40458015],0
s7,1,0.141031,2.166678,[222 145] ; [92 44],[229.10139165 137.89860835] ; [84.89860835 51.10139165],0
n2,1,0.144019,2.134488,[60 17] ; [22 12],[56.88288288 20.11711712] ; [25.11711712  8.88288288],0
d5,1,0.243959,1.357569,[327  59] ; [111  27],[322.64885496  63.35114504] ; [115.35114504  22.64885496],0
p4,1,0.257593,1.281649,[258 126] ; [86 53],[252.57361377 131.42638623] ; [91.42638623 47.57361377],0
s4,1,0.289851,1.120315,[ 77 302] ; [ 34 104],[ 81.37137331 297.62862669] ; [ 29.62862669 108.37137331],0
b3,1,0.340206,0.909656,[ 82 147] ; [37 52],[ 85.69496855 143.30503145] ; [33.30503145 55.69496855],0
b2,1,0.340206,0.909656,[ 82 147] ; [37 52],[ 85.69496855 143.30503145] ; [33.30503145 55.69496855],0
a5,1,0.364473,0.822422,[298  88] ; [102  37],[294.0952381  91.9047619] ; [105.9047619  33.0952381],0
n4,1,0.375889,0.784104,[314  71] ; [118  21],[317.40458015  67.59541985] ; [114.59541985  24.40458015],0
n1,1,0.38025,0.769892,[29 47] ; [16 18],[31.09090909 44.90909091] ; [13.90909091 20.09090909],0
a1,1,0.380663,0.768561,[ 20 366] ; [ 10 129],[ 22.05714286 363.94285714] ; [  7.94285714 131.05714286],0
a8,1,0.422232,0.644094,[ 52 295] ; [ 16 116],[ 49.26096033 297.73903967] ; [ 18.73903967 113.26096033],0
s5,1,0.424483,0.63787,[165 212] ; [64 70],[168.94911937 208.05088063] ; [60.05088063 73.94911937],0
