Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000305,13.037037,[6 5] ; [ 2 31],[2. 9.] ; [ 6. 27.],1
s2,1,0.007528,7.142362,[6 5] ; [ 5 29],[2.68888889 8.31111111] ; [ 8.31111111 25.68888889],0
s7,1,0.020465,5.371806,[5 6] ; [ 4 28],[2.30232558 8.69767442] ; [ 6.69767442 25.30232558],0
p11,1,0.025199,5.010171,[7 4] ; [ 9 25],[3.91111111 7.08888889] ; [12.08888889 21.91111111],0
v4,1,0.029363,4.746228,[9 2] ; [15 19],[5.86666667 5.13333333] ; [18.13333333 15.86666667],0
u3,1,0.040374,4.202116,[3 1] ; [ 4 14],[1.27272727 2.72727273] ; [ 5.72727273 12.27272727],0
s8,1,0.049738,3.850267,[3 8] ; [ 2 32],[1.22222222 9.77777778] ; [ 3.77777778 30.22222222],0
v1,1,0.053427,3.730501,[6 5] ; [ 8 26],[3.42222222 7.57777778] ; [10.57777778 23.42222222],0
v3,1,0.063615,3.440526,[4 7] ; [ 4 30],[1.95555556 9.04444444] ; [ 6.04444444 27.95555556],0
n2,1,0.074982,3.170437,[3 1] ; [ 4 11],[1.47368421 2.52631579] ; [5.52631579 9.47368421],0
p4,1,0.085991,2.947861,[6 5] ; [ 9 25],[3.66666667 7.33333333] ; [11.33333333 22.66666667],0
d4,1,0.098947,2.722438,[8 3] ; [15 19],[5.62222222 5.37777778] ; [17.37777778 16.62222222],0
n6,1,0.11377,2.501053,[7 4] ; [12 21],[4.75 6.25] ; [14.25 18.75],0
p2,1,0.140562,2.171791,[7 4] ; [13 21],[4.88888889 6.11111111] ; [15.11111111 18.88888889],0
p7,1,0.147759,2.095238,[6 5] ; [10 23],[4. 7.] ; [12. 21.],0
s4,1,0.194329,1.684492,[4 7] ; [ 6 28],[2.44444444 8.55555556] ; [ 7.55555556 26.44444444],0
a7,1,0.257264,1.283422,[6 5] ; [12 22],[4.4 6.6] ; [13.6 20.4],0
b4,1,0.260298,1.267174,[7 4] ; [15 19],[5.37777778 5.62222222] ; [16.62222222 17.37777778],0
p8,1,0.314879,1.010101,[4 7] ; [ 7 26],[2.75 8.25] ; [ 8.25 24.75],0
a5,1,0.33904,0.914058,[7 4] ; [16 18],[5.62222222 5.37777778] ; [17.37777778 16.62222222],0
a3,1,0.33904,0.914058,[7 4] ; [16 18],[5.62222222 5.37777778] ; [17.37777778 16.62222222],0
a4,1,0.358565,0.842912,[5 6] ; [10 23],[3.75 7.25] ; [11.25 21.75],0
p6,1,0.366701,0.814815,[3 8] ; [ 5 28],[2. 9.] ; [ 6. 27.],0
v2,1,0.366701,0.814815,[3 8] ; [ 5 28],[2. 9.] ; [ 6. 27.],0
b1,1,0.437967,0.601604,[5 6] ; [20 14],[6.11111111 4.88888889] ; [18.88888889 15.11111111],0
s3,1,0.468541,0.525415,[4 7] ; [ 8 24],[3.06976744 7.93023256] ; [ 8.93023256 23.06976744],0
p10,1,0.469221,0.52381,[5 6] ; [11 22],[4. 7.] ; [12. 21.],0
p9,1,0.470358,0.521135,[6 5] ; [13 18],[4.97619048 6.02380952] ; [14.02380952 16.97619048],0
b2,1,0.474381,0.511753,[3 5] ; [12 11],[3.87096774 4.12903226] ; [11.12903226 11.87096774],0
b3,1,0.474381,0.511753,[3 5] ; [12 11],[3.87096774 4.12903226] ; [11.12903226 11.87096774],0
d2,1,0.484423,0.488889,[6 5] ; [14 19],[5. 6.] ; [15. 18.],0
r2,1,0.511939,0.430102,[6 5] ; [21 11],[6.90697674 4.09302326] ; [20.09302326 11.90697674],0
n5,1,0.529183,0.39596,[7 4] ; [25  9],[7.82222222 3.17777778] ; [24.17777778  9.82222222],0
a6,1,0.665908,0.186426,[5 6] ; [18 16],[5.62222222 5.37777778] ; [17.37777778 16.62222222],0
b5,1,0.665908,0.186426,[6 5] ; [16 18],[5.37777778 5.62222222] ; [16.62222222 17.37777778],0
p3,1,0.71077,0.13751,[2 9] ; [ 8 26],[2.44444444 8.55555556] ; [ 7.55555556 26.44444444],0
n3,1,0.718904,0.129545,[2 2] ; [6 9],[1.68421053 2.31578947] ; [6.31578947 8.68421053],0
n1,1,0.750042,0.101496,[1 3] ; [ 5 10],[1.26315789 2.73684211] ; [ 4.73684211 10.26315789],0
a1,1,0.782175,0.076444,[2 9] ; [ 5 29],[1.71111111 9.28888889] ; [ 5.28888889 28.71111111],0
d3,1,0.802816,0.062353,[5 6] ; [14 20],[4.64444444 6.35555556] ; [14.35555556 19.64444444],0
d1,1,0.891778,0.018511,[3 8] ; [10 24],[3.17777778 7.82222222] ; [ 9.82222222 24.17777778],0
d5,1,0.926137,0.008594,[6 5] ; [18 16],[5.86666667 5.13333333] ; [18.13333333 15.86666667],0
n4,1,0.948642,0.004149,[7 4] ; [22 12],[7.08888889 3.91111111] ; [21.91111111 12.08888889],0
a2,1,0.978391,0.000734,[ 1 10] ; [ 3 31],[ 0.97777778 10.02222222] ; [ 3.02222222 30.97777778],0
s1,1,0.978391,0.000734,[ 1 10] ; [ 3 31],[ 0.97777778 10.02222222] ; [ 3.02222222 30.97777778],0
