Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,30.021922,[108   8] ; [23 18],[96.78980892 19.21019108] ; [34.21019108  6.78980892],1
r2,1,0.001962,9.584953,[111   5] ; [32  8],[106.33333333   9.66666667] ; [36.66666667  3.33333333],0
d5,1,0.006394,7.435815,[90 25] ; [23 18],[83.30128205 31.69871795] ; [29.69871795 11.30128205],0
a3,1,0.006885,7.302742,[92 24] ; [23 17],[85.51282051 30.48717949] ; [29.48717949 10.51282051],0
b3,1,0.007294,7.199203,[41 38] ; [ 7 23],[34.78899083 44.21100917] ; [13.21100917 16.78899083],0
b2,1,0.007294,7.199203,[41 38] ; [ 7 23],[34.78899083 44.21100917] ; [13.21100917 16.78899083],0
d4,1,0.007954,7.043878,[93 21] ; [25 16],[86.78709677 27.21290323] ; [31.21290323  9.78709677],0
a5,1,0.00833,6.961194,[83 33] ; [20 21],[76.10191083 39.89808917] ; [26.89808917 14.10191083],0
p10,1,0.008687,6.88606,[92 21] ; [25 16],[85.85064935 27.14935065] ; [31.14935065  9.85064935],0
r3,1,0.0117,6.355705,[112   4] ; [35  6],[108.61146497   7.38853503] ; [38.38853503  2.61146497],0
p11,1,0.01553,5.85528,[95 21] ; [26 15],[89.40127389 26.59872611] ; [31.59872611  9.40127389],0
n4,1,0.017666,5.628931,[96 19] ; [27 14],[90.67307692 24.32692308] ; [32.32692308  8.67307692],0
s5,1,0.020888,5.336105,[55 56] ; [11 28],[48.84 62.16] ; [17.16 21.84],0
d1,1,0.02133,5.299641,[61 55] ; [13 28],[54.67515924 61.32484076] ; [19.32484076 21.67515924],0
d3,1,0.021698,5.269803,[58 58] ; [12 29],[51.71974522 64.28025478] ; [18.28025478 22.71974522],0
s6,1,0.021781,5.263186,[91 20] ; [25 14],[85.84 25.16] ; [30.16  8.84],0
s7,1,0.022989,5.16937,[79 29] ; [22 19],[73.20805369 34.79194631] ; [27.79194631 13.20805369],0
v4,1,0.054384,3.700885,[106   8] ; [33  7],[102.8961039  11.1038961] ; [36.1038961  3.8961039],0
u3,1,0.061369,3.5,[15  9] ; [ 6 12],[12. 12.] ; [9. 9.],0
v1,1,0.065736,3.386403,[69 45] ; [17 22],[64.07843137 49.92156863] ; [21.92156863 17.07843137],0
s8,1,0.11298,2.512031,[73 43] ; [20 21],[68.7133758 47.2866242] ; [24.2866242 16.7133758],0
p1,1,0.139729,2.18094,[  8 107] ; [ 6 35],[ 10.32051282 104.67948718] ; [ 3.67948718 37.32051282],0
v3,1,0.178746,1.808023,[49 65] ; [12 27],[45.45098039 68.54901961] ; [15.54901961 23.45098039],0
a8,1,0.205026,1.606206,[17 93] ; [ 3 37],[14.66666667 95.33333333] ; [ 5.33333333 34.66666667],0
p5,1,0.207382,1.589607,[17 96] ; [ 3 38],[14.67532468 98.32467532] ; [ 5.32467532 35.67532468],0
n6,1,0.211991,1.557779,[89 25] ; [28 13],[86.0516129 27.9483871] ; [30.9483871 10.0516129],0
u2,1,0.212317,1.555556,[14 10] ; [ 7 11],[12. 12.] ; [9. 9.],0
u1,1,0.230558,1.437413,[  9 107] ; [ 1 40],[  7.38853503 108.61146497] ; [ 2.61146497 38.38853503],0
p8,1,0.236146,1.403452,[58 56] ; [16 24],[54.77922078 59.22077922] ; [19.22077922 20.77922078],0
s2,1,0.258966,1.274275,[87 29] ; [27 14],[84.22929936 31.77070064] ; [29.77070064 11.22929936],0
a4,1,0.286176,1.137525,[56 59] ; [16 25],[53.07692308 61.92307692] ; [18.92307692 22.07692308],0
p9,1,0.312377,1.020598,[92 22] ; [30 11],[89.72903226 24.27096774] ; [32.27096774  8.72903226],0
p4,1,0.313904,1.014179,[66 48] ; [20 21],[63.2516129 50.7483871] ; [22.7483871 18.2516129],0
b5,1,0.330208,0.948083,[52 64] ; [22 19],[54.67515924 61.32484076] ; [19.32484076 21.67515924],0
p3,1,0.404767,0.694118,[62 53] ; [19 22],[59.71153846 55.28846154] ; [21.28846154 19.71153846],0
p7,1,0.406714,0.688386,[78 34] ; [25 15],[75.89473684 36.10526316] ; [27.10526316 12.89473684],0
a1,1,0.422281,0.64396,[  7 109] ; [ 4 37],[  8.12738854 107.87261146] ; [ 2.87261146 38.12738854],0
d2,1,0.443532,0.587128,[59 57] ; [18 23],[56.89171975 59.10828025] ; [20.10828025 20.89171975],0
p6,1,0.446686,0.579048,[44 68] ; [13 27],[42. 70.] ; [15. 25.],0
p12,1,0.503057,0.448481,[  9 103] ; [ 2 39],[  8.05228758 103.94771242] ; [ 2.94771242 38.05228758],0
n2,1,0.515599,0.422687,[22  6] ; [13  2],[22.79069767  5.20930233] ; [12.20930233  2.79069767],0
v2,1,0.52988,0.394623,[52 59] ; [16 23],[50.32 60.68] ; [17.68 21.32],0
a2,1,0.570786,0.321368,[ 12 104] ; [ 3 38],[ 11.08280255 104.91719745] ; [ 3.91719745 37.08280255],0
s1,1,0.579418,0.307177,[  5 109] ; [ 1 40],[  4.41290323 109.58709677] ; [ 1.58709677 39.41290323],0
n3,1,0.654293,0.200531,[18  9] ; [11  4],[18.64285714  8.35714286] ; [10.35714286  4.64285714],0
p2,1,0.657832,0.196168,[90 24] ; [31 10],[88.99354839 25.00645161] ; [32.00645161  8.99354839],0
s4,1,0.675713,0.174992,[29 86] ; [ 9 32],[28.01282051 86.98717949] ; [ 9.98717949 31.01282051],0
n5,1,0.708804,0.139474,[86 27] ; [30 11],[85.11688312 27.88311688] ; [30.88311688 10.11688312],0
n1,1,0.827066,0.047727,[15 13] ; [7 7],[14.66666667 13.33333333] ; [7.33333333 6.66666667],0
b4,1,0.843329,0.039061,[63 53] ; [23 18],[63.54140127 52.45859873] ; [22.45859873 18.54140127],0
b1,1,0.880297,0.022678,[55 61] ; [20 21],[55.41401274 60.58598726] ; [19.58598726 21.41401274],0
a6,1,0.94338,0.005044,[46 70] ; [16 25],[45.8089172 70.1910828] ; [16.1910828 24.8089172],0
