Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.021887,5.254747,[ 5 28] ; [3 2],[ 6.94736842 26.05263158] ; [1.05263158 3.94736842],0
p6,1,0.056733,3.630413,[ 3 30] ; [2 3],[ 4.34210526 28.65789474] ; [0.65789474 4.34210526],0
d3,1,0.057753,3.600767,[12 22] ; [4 1],[13.94871795 20.05128205] ; [2.05128205 2.94871795],0
r3,1,0.057753,3.600767,[12 22] ; [4 1],[13.94871795 20.05128205] ; [2.05128205 2.94871795],0
s6,1,0.059505,3.551136,[ 7 27] ; [3 2],[ 8.71794872 25.28205128] ; [1.28205128 3.71794872],0
p4,1,0.090628,2.863178,[ 8 26] ; [3 2],[ 9.58974359 24.41025641] ; [1.41025641 3.58974359],0
d1,1,0.090628,2.863178,[ 8 26] ; [3 2],[ 9.58974359 24.41025641] ; [1.41025641 3.58974359],0
a7,1,0.133924,2.246424,[15 19] ; [4 1],[16.56410256 17.43589744] ; [2.43589744 2.56410256],0
a5,1,0.168836,1.893251,[16 18] ; [4 1],[17.43589744 16.56410256] ; [2.56410256 2.43589744],0
s3,1,0.192104,1.701408,[10 23] ; [3 2],[11.28947368 21.71052632] ; [1.71052632 3.28947368],0
a3,1,0.232576,1.42504,[17 16] ; [4 1],[18.23684211 14.76315789] ; [2.76315789 2.23684211],0
b1,1,0.305982,1.047938,[19 15] ; [4 1],[20.05128205 13.94871795] ; [2.94871795 2.05128205],0
d4,1,0.305982,1.047938,[19 15] ; [4 1],[20.05128205 13.94871795] ; [2.94871795 2.05128205],0
r4,1,0.336089,0.925294,[ 7 27] ; [2 3],[ 7.84615385 26.15384615] ; [1.15384615 3.84615385],0
r1,1,0.355582,0.853437,[13 21] ; [3 2],[13.94871795 20.05128205] ; [2.05128205 2.94871795],0
d2,1,0.384478,0.756336,[13 20] ; [3 2],[13.89473684 19.10526316] ; [2.10526316 2.89473684],0
b3,1,0.396465,0.719022,[11 12] ; [1 3],[10.22222222 12.77777778] ; [1.77777778 2.22222222],0
b2,1,0.396465,0.719022,[11 12] ; [1 3],[10.22222222 12.77777778] ; [1.77777778 2.22222222],0
n2,1,0.413247,0.669439,[ 7 10] ; [2 1],[7.65 9.35] ; [1.35 1.65],0
n1,1,0.413247,0.669439,[ 7 10] ; [2 1],[7.65 9.35] ; [1.35 1.65],0
a6,1,0.428045,0.628122,[14 20] ; [3 2],[14.82051282 19.17948718] ; [2.17948718 2.82051282],0
p3,1,0.430972,0.620203,[ 8 26] ; [2 3],[ 8.71794872 25.28205128] ; [1.28205128 3.71794872],0
p2,1,0.430972,0.620203,[ 8 26] ; [2 3],[ 8.71794872 25.28205128] ; [1.28205128 3.71794872],0
a8,1,0.441819,0.591555,[ 3 31] ; [1 4],[ 3.48717949 30.51282051] ; [0.51282051 4.48717949],0
s7,1,0.515252,0.423387,[ 4 27] ; [1 3],[ 4.42857143 26.57142857] ; [0.57142857 3.42857143],0
p9,1,0.558697,0.341965,[ 9 24] ; [2 3],[ 9.55263158 23.44736842] ; [1.44736842 3.55263158],0
a4,1,0.558697,0.341965,[ 9 24] ; [2 3],[ 9.55263158 23.44736842] ; [1.44736842 3.55263158],0
n4,1,0.63196,0.229412,[24 10] ; [3 2],[23.53846154 10.46153846] ; [3.46153846 1.53846154],0
n6,1,0.635934,0.2241,[10 23] ; [1 4],[ 9.55263158 23.44736842] ; [1.44736842 3.55263158],0
v1,1,0.662351,0.19068,[10 24] ; [1 4],[ 9.58974359 24.41025641] ; [1.41025641 3.58974359],0
p7,1,0.757027,0.09572,[ 9 25] ; [1 4],[ 8.71794872 25.28205128] ; [1.28205128 3.71794872],0
s4,1,0.759338,0.09385,[ 5 29] ; [1 4],[ 5.23076923 28.76923077] ; [0.76923077 4.23076923],0
p1,1,0.759338,0.09385,[ 5 29] ; [1 4],[ 5.23076923 28.76923077] ; [0.76923077 4.23076923],0
b4,1,0.767515,0.087395,[18 16] ; [3 2],[18.30769231 15.69230769] ; [2.69230769 2.30769231],0
p10,1,0.83528,0.043237,[ 8 25] ; [1 4],[ 7.81578947 25.18421053] ; [1.18421053 3.81578947],0
s2,1,0.861162,0.030588,[ 8 26] ; [1 4],[ 7.84615385 26.15384615] ; [1.15384615 3.84615385],0
b5,1,0.862362,0.030057,[15 19] ; [2 3],[14.82051282 19.17948718] ; [2.17948718 2.82051282],0
a1,1,0.898141,0.016387,[ 6 28] ; [1 4],[ 6.1025641 27.8974359] ; [0.8974359 4.1025641],0
n3,1,0.94766,0.004309,[ 6 11] ; [1 2],[ 5.95 11.05] ; [1.05 1.95],0
n5,1,0.960173,0.002494,[20 14] ; [3 2],[20.05128205 13.94871795] ; [2.94871795 2.05128205],0
