Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,28.513613,[141 125] ; [52  5],[158.94117647 107.05882353] ; [34.05882353 22.94117647],1
p1,1,1e-06,24.473847,[ 15 256] ; [15 42],[ 24.78658537 246.21341463] ; [ 5.21341463 51.78658537],1
s5,1,6.1e-05,16.062125,[101 158] ; [36 16],[114.09324759 144.90675241] ; [22.90675241 29.09324759],1
p4,1,6.2e-05,16.048187,[174  97] ; [52  5],[186.72560976  84.27439024] ; [39.27439024 17.72560976],1
p12,1,0.000103,15.081519,[ 25 244] ; [16 41],[ 33.83128834 235.16871166] ; [ 7.16871166 49.83128834],1
p3,1,0.000293,13.11743,[149 123] ; [46 11],[161.21580547 110.78419453] ; [33.78419453 23.21580547],1
p6,1,0.000665,11.584725,[123 146] ; [39 16],[134.5 134.5] ; [27.5 27.5],1
b5,1,0.000873,11.080036,[170 102] ; [22 35],[158.73556231 113.26443769] ; [33.26443769 23.73556231],1
s7,1,0.001417,10.18343,[195  66] ; [51  3],[203.82857143  57.17142857] ; [42.17142857 11.82857143],0
s1,1,0.002459,9.17051,[  8 259] ; [ 7 50],[ 12.36111111 254.63888889] ; [ 2.63888889 54.36111111],0
v1,1,0.004174,8.206601,[158 105] ; [45 11],[167.36363636  95.63636364] ; [35.63636364 20.36363636],0
a1,1,0.005697,7.643659,[ 12 260] ; [ 8 49],[ 16.53495441 255.46504559] ; [ 3.46504559 53.53495441],0
p7,1,0.009573,6.712755,[181  85] ; [47  8],[188.93457944  77.06542056] ; [39.06542056 15.93457944],0
u4,1,0.023222,5.151793,[  7 265] ; [ 5 52],[  9.92097264 262.07902736] ; [ 2.07902736 54.92097264],0
n5,1,0.030929,4.656911,[233  37] ; [55  2],[237.79816514  32.20183486] ; [50.20183486  6.79816514],0
v3,1,0.079906,3.066804,[130 132] ; [35 21],[135.94339623 126.05660377] ; [29.05660377 26.94339623],0
u1,1,0.088749,2.896917,[ 72 200] ; [ 9 48],[ 66.96656535 205.03343465] ; [14.03343465 42.96656535],0
n1,1,0.093433,2.8142,[21 29] ; [10  5],[23.84615385 26.15384615] ; [7.15384615 7.84615385],0
a2,1,0.098151,2.735326,[ 82 190] ; [11 46],[ 76.88753799 195.11246201] ; [16.11246201 40.88753799],0
u3,1,0.12663,2.333333,[38 16] ; [4 5],[36. 18.] ; [6. 3.],0
s6,1,0.138536,2.194147,[223  45] ; [51  5],[226.64197531  41.35802469] ; [47.35802469  8.64197531],0
s3,1,0.167848,1.902055,[191  75] ; [46 11],[195.17647059  70.82352941] ; [41.82352941 15.17647059],0
n6,1,0.224498,1.475383,[249  22] ; [55  2],[251.17073171  19.82926829] ; [52.82926829  4.17073171],0
v2,1,0.281556,1.159563,[171  93] ; [32 24],[167.475  96.525] ; [35.525 20.475],0
a5,1,0.291468,1.11283,[226  46] ; [44 13],[223.2218845  48.7781155] ; [46.7781155 10.2218845],0
p9,1,0.292021,1.110282,[244  26] ; [54  3],[246.05504587  23.94495413] ; [51.94495413  5.05504587],0
