Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000198,13.853119,[96  6] ; [117  36],[85.2 16.8] ; [127.8  25.2],1
s3,1,0.001693,9.856019,[98  4] ; [129  26],[90.09338521 11.90661479] ; [136.90661479  18.09338521],0
v1,1,0.007589,7.128088,[63 39] ; [66 82],[52.632 49.368] ; [76.368 71.632],0
p5,1,0.007681,7.106492,[11 92] ; [  4 147],[ 6.08267717 96.91732283] ; [  8.91732283 142.08267717],0
s4,1,0.011532,6.381384,[31 72] ; [ 26 129],[22.75581395 80.24418605] ; [ 34.24418605 120.75581395],0
r2,1,0.015084,5.906592,[101   1] ; [142  12],[96.8203125  5.1796875] ; [146.1796875   7.8203125],0
p9,1,0.016194,5.781684,[91 10] ; [121  33],[83.96862745 17.03137255] ; [128.03137255  25.96862745],0
n2,1,0.021561,5.280839,[24  2] ; [28 13],[20.17910448  5.82089552] ; [31.82089552  9.17910448],0
v4,1,0.023258,5.149137,[100   1] ; [143  11],[96.24705882  4.75294118] ; [146.75294118   7.24705882],0
s7,1,0.051328,3.797532,[70 29] ; [86 61],[62.7804878 36.2195122] ; [93.2195122 53.7804878],0
a5,1,0.094434,2.797119,[81 23] ; [106  49],[75.08880309 28.91119691] ; [111.91119691  43.08880309],0
v2,1,0.09962,2.71161,[61 39] ; [73 72],[54.69387755 45.30612245] ; [79.30612245 65.69387755],0
v3,1,0.103073,2.657336,[51 50] ; [58 87],[44.75203252 56.24796748] ; [64.24796748 80.75203252],0
s8,1,0.119055,2.429703,[62 41] ; [78 77],[55.89147287 47.10852713] ; [84.10852713 70.89147287],0
p2,1,0.131477,2.274977,[87 16] ; [119  36],[82.24031008 20.75968992] ; [123.75968992  31.24031008],0
n6,1,0.133539,2.250872,[88 13] ; [123  31],[83.57254902 17.42745098] ; [127.42745098  26.57254902],0
d4,1,0.140003,2.177922,[91 13] ; [124  30],[86.66666667 17.33333333] ; [128.33333333  25.66666667],0
a8,1,0.15518,2.020575,[10 83] ; [ 25 118],[13.79237288 79.20762712] ; [ 21.20762712 121.79237288],0
p12,1,0.175129,1.838485,[ 9 95] ; [  7 148],[ 6.42471042 97.57528958] ; [  9.57528958 145.42471042],0
b2,1,0.198447,1.653765,[23 39] ; [26 69],[19.35031847 42.64968153] ; [29.64968153 65.35031847],0
