Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.289583,[21 11] ; [113 316],[ 9.30151844 22.69848156] ; [124.69848156 304.30151844],1
p1,1,4e-06,21.341175,[ 8 26] ; [ 19 416],[ 1.95735608 32.04264392] ; [ 25.04264392 409.95735608],1
p4,1,0.000753,11.354047,[27  7] ; [215 220],[17.54371002 16.45628998] ; [224.45628998 210.54371002],1
p3,1,0.001593,9.96804,[23 11] ; [174 262],[14.25106383 19.74893617] ; [182.74893617 253.25106383],0
v1,1,0.010271,6.587264,[23  9] ; [205 219],[16. 16.] ; [212. 212.],0
b3,1,0.018388,5.558792,[12 11] ; [ 71 178],[ 7.01838235 15.98161765] ; [ 75.98161765 173.01838235],0
b2,1,0.018388,5.558792,[12 11] ; [ 71 178],[ 7.01838235 15.98161765] ; [ 75.98161765 173.01838235],0
a6,1,0.032836,4.554322,[18 16] ; [308 129],[23.5329087 10.4670913] ; [302.4670913 134.5329087],0
s7,1,0.036241,4.385714,[19 13] ; [169 249],[13.36888889 18.63111111] ; [174.63111111 243.36888889],0
d1,1,0.040515,4.196181,[24 10] ; [229 208],[18.26326964 15.73673036] ; [234.73673036 202.26326964],0
p12,1,0.046986,3.945891,[ 4 29] ; [ 19 416],[ 1.62179487 31.37820513] ; [ 21.37820513 413.62179487],0
s8,1,0.072505,3.225378,[17 16] ; [156 279],[12.19871795 20.80128205] ; [160.80128205 274.19871795],0
a2,1,0.082397,3.016969,[ 3 31] ; [ 93 344],[ 6.92993631 27.07006369] ; [ 89.07006369 347.92993631],0
b5,1,0.085148,2.9638,[16 18] ; [271 166],[20.71762208 13.28237792] ; [266.28237792 170.71762208],0
d4,1,0.089733,2.879163,[31  3] ; [344  91],[27.18550107  6.81449893] ; [347.81449893  87.18550107],0
v3,1,0.093681,2.809953,[16 16] ; [149 274],[11.6043956 20.3956044] ; [153.3956044 269.6043956],0
r2,1,0.098276,2.733302,[29  5] ; [402  30],[31.44635193  2.55364807] ; [399.55364807  32.44635193],0
b1,1,0.100314,2.700538,[16 18] ; [145 292],[11.62208068 22.37791932] ; [149.37791932 287.62208068],0
p10,1,0.103078,2.657264,[31  3] ; [345  88],[27.37473233  6.62526767] ; [348.62526767  84.37473233],0
p8,1,0.115317,2.479802,[20 13] ; [200 231],[15.64655172 17.35344828] ; [204.35344828 226.64655172],0
d2,1,0.164351,1.933728,[19 15] ; [190 246],[15.11914894 18.88085106] ; [193.88085106 242.11914894],0
n4,1,0.178997,1.805934,[28  6] ; [311 123],[24.62820513  9.37179487] ; [314.37179487 119.62820513],0
s3,1,0.214274,1.542311,[15 19] ; [236 192],[18.47186147 15.52813853] ; [232.52813853 195.47186147],0
n2,1,0.266815,1.233048,[4 3] ; [76 24],[5.23364486 1.76635514] ; [74.76635514 25.23364486],0
a7,1,0.287051,1.133401,[22 12] ; [319 117],[24.66808511  9.33191489] ; [316.33191489 119.66808511],0
r3,1,0.310381,1.029053,[31  3] ; [413  21],[32.25641026  1.74358974] ; [411.74358974  22.25641026],0
n6,1,0.312425,1.020398,[30  4] ; [352  81],[27.81156317  6.18843683] ; [354.18843683  78.81156317],0
n3,1,0.314478,1.011774,[4 3] ; [76 26],[5.13761468 1.86238532] ; [74.86238532 27.13761468],0
s4,1,0.329093,0.952464,[ 3 31] ; [ 65 370],[ 4.92963753 29.07036247] ; [ 63.07036247 371.92963753],0
r1,1,0.39891,0.711609,[25  9] ; [344  88],[26.92274678  7.07725322] ; [342.07725322  89.92274678],0
u2,1,0.399837,0.708816,[6 3] ; [71 65],[4.77931034 4.22068966] ; [72.22068966 63.77931034],0
u3,1,0.422177,0.644246,[6 3] ; [73 65],[4.83673469 4.16326531] ; [74.16326531 63.83673469],0
