Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,82.391686,[230  88] ; [ 39 104],[185.55748373 132.44251627] ; [83.44251627 59.55748373],1
s2,1,0.0,77.67066,[213 108] ; [ 32 112],[169.12903226 151.87096774] ; [75.87096774 68.12903226],1
s7,1,0.0,46.788303,[206 107] ; [42 94],[172.88195991 140.11804009] ; [75.11804009 60.88195991],1
s8,1,0.0,44.401801,[195 125] ; [ 40 105],[161.72043011 158.27956989] ; [73.27956989 71.72043011],1
s5,1,0.0,40.75011,[150 165] ; [ 24 121],[119.15217391 195.84782609] ; [54.84782609 90.15217391],1
s4,1,4.5e-05,16.646675,[ 68 249] ; [  9 136],[ 52.83333333 264.16666667] ; [ 24.16666667 120.83333333],1
p10,1,0.000213,13.71587,[296  23] ; [117  27],[284.55075594  34.44924406] ; [128.44924406  15.55075594],1
p9,1,0.000284,13.176268,[298  22] ; [119  26],[286.96774194  33.03225806] ; [130.03225806  14.96774194],1
n5,1,0.001247,10.41887,[266  55] ; [101  44],[252.80472103  68.19527897] ; [114.19527897  30.80472103],0
p6,1,0.002324,9.274303,[169 150] ; [53 88],[153.95217391 165.04782609] ; [68.04782609 72.95217391],0
r3,1,0.00649,7.409023,[316   5] ; [136   9],[311.35622318   9.64377682] ; [140.64377682   4.35622318],0
p12,1,0.008971,6.828544,[ 38 283] ; [  6 138],[ 30.37419355 290.62580645] ; [ 13.62580645 130.37419355],0
d4,1,0.009518,6.722866,[276  44] ; [111  34],[266.32258065  53.67741935] ; [120.67741935  24.32258065],0
u1,1,0.018045,5.591798,[ 67 255] ; [ 17 128],[ 57.91862955 264.08137045] ; [ 26.08137045 118.91862955],0
p5,1,0.01823,5.573957,[ 56 265] ; [ 13 131],[ 47.63225806 273.36774194] ; [ 21.36774194 122.63225806],0
p4,1,0.024336,5.070557,[240  81] ; [93 51],[229.87741935  91.12258065] ; [103.12258065  40.87741935],0
p8,1,0.032534,4.57011,[237  82] ; [93 51],[227.3650108  91.6349892] ; [102.6349892  41.3650108],0
d3,1,0.03313,4.53907,[239  82] ; [94 51],[229.38412017  91.61587983] ; [103.61587983  41.38412017],0
a2,1,0.039841,4.224648,[ 86 236] ; [ 26 119],[ 77.2248394 244.7751606] ; [ 34.7751606 110.2248394],0
u3,1,0.040516,4.196162,[50 32] ; [17 24],[44.66666667 37.33333333] ; [22.33333333 18.66666667],0
a1,1,0.060345,3.527867,[ 23 299] ; [  4 141],[ 18.61670236 303.38329764] ; [  8.38329764 136.61670236],0
n6,1,0.073558,3.201781,[283  36] ; [119  25],[276.97192225  42.02807775] ; [125.02807775  18.97192225],0
a7,1,0.078353,3.098748,[238  83] ; [96 49],[230.07296137  90.92703863] ; [103.92703863  41.07296137],0
d5,1,0.091217,2.852757,[270  50] ; [113  32],[263.56989247  56.43010753] ; [119.43010753  25.56989247],0
u2,1,0.10261,2.664503,[53 28] ; [20 20],[48.8677686 32.1322314] ; [24.1322314 15.8677686],0
n4,1,0.10566,2.617959,[265  57] ; [110  35],[258.56531049  63.43468951] ; [116.43468951  28.56531049],0
p2,1,0.115831,2.472805,[299  22] ; [127  16],[294.7112069  26.2887931] ; [131.2887931  11.7112069],0
n3,1,0.11956,2.423077,[36 16] ; [27  5],[39. 13.] ; [24.  8.],0
r4,1,0.151812,2.053949,[301  21] ; [130  15],[297.17773019  24.82226981] ; [133.82226981  11.17773019],0
n2,1,0.164409,1.933201,[43 10] ; [21 10],[40.38095238 12.61904762] ; [23.61904762  7.38095238],0
