Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,5e-06,20.945785,[ 15 155] ; [8 9],[ 20.90909091 149.09090909] ; [ 2.09090909 14.90909091],1
s5,1,1e-05,19.431277,[ 27 140] ; [10  6],[ 33.76502732 133.23497268] ; [ 3.23497268 12.76502732],1
p6,1,0.000323,12.930766,[ 40 128] ; [11  6],[ 46.31351351 121.68648649] ; [ 4.68648649 12.31351351],1
p12,1,0.001182,10.51875,[  7 163] ; [ 4 13],[ 10. 160.] ; [ 1. 16.],0
p3,1,0.006092,7.522937,[ 62 108] ; [12  5],[ 67.27272727 102.72727273] ; [ 6.72727273 10.27272727],0
p4,1,0.01083,6.493056,[75 95] ; [13  4],[80. 90.] ; [8. 9.],0
p8,1,0.02556,4.985532,[ 67 101] ; [11  5],[71.2173913 96.7826087] ; [6.7826087 9.2173913],0
s6,1,0.028794,4.779878,[85 83] ; [12  3],[89.04918033 78.95081967] ; [7.95081967 7.04918033],0
v3,1,0.030701,4.669619,[ 46 120] ; [9 8],[ 49.89071038 116.10928962] ; [ 5.10928962 11.89071038],0
s1,1,0.034064,4.491486,[  8 158] ; [ 3 14],[  9.97814208 156.02185792] ; [ 1.02185792 15.97814208],0
s7,1,0.035725,4.410161,[ 53 108] ; [9 6],[ 56.71590909 104.28409091] ; [5.28409091 9.71590909],0
n5,1,0.047657,3.922026,[121  47] ; [16  1],[124.41081081  43.58918919] ; [12.58918919  4.41081081],0
n6,1,0.058799,3.570952,[124  45] ; [16  1],[127.20430108  41.79569892] ; [12.79569892  4.20430108],0
r4,1,0.065873,3.382973,[126  44] ; [16  1],[129.09090909  40.90909091] ; [12.90909091  4.09090909],0
r1,1,0.075934,3.149841,[101  66] ; [14  3],[104.375  62.625] ; [10.625  6.375],0
p7,1,0.187014,1.740985,[90 77] ; [12  5],[92.57608696 74.42391304] ; [9.42391304 7.57608696],0
p11,1,0.211361,1.562082,[115  55] ; [14  3],[117.27272727  52.72727273] ; [11.72727273  5.27272727],0
n4,1,0.217362,1.521701,[114  54] ; [14  3],[116.23783784  51.76216216] ; [11.76216216  5.23783784],0
b4,1,0.229113,1.446362,[84 86] ; [11  6],[86.36363636 83.63636364] ; [8.63636364 8.36363636],0
d5,1,0.27229,1.205173,[73 96] ; [ 5 12],[70.87096774 98.12903226] ; [7.12903226 9.87096774],0
a4,1,0.347287,0.883346,[ 36 132] ; [ 2 15],[ 34.50810811 133.49189189] ; [ 3.49189189 13.50810811],0
n1,1,0.361122,0.833987,[22 33] ; [2 1],[22.75862069 32.24137931] ; [1.24137931 1.75862069],0
p9,1,0.369538,0.805217,[118  49] ; [13  3],[119.54644809  47.45355191] ; [11.45355191  4.54644809],0
a5,1,0.405069,0.693227,[82 88] ; [10  7],[83.63636364 86.36363636] ; [8.36363636 8.63636364],0
p10,1,0.419767,0.650967,[111  55] ; [13  4],[112.48087432  53.51912568] ; [11.51912568  5.48087432],0
b5,1,0.428209,0.627677,[97 73] ; [8 9],[95.45454545 74.54545455] ; [9.54545455 7.45454545],0
s4,1,0.435099,0.609175,[ 33 136] ; [ 2 15],[ 31.80107527 137.19892473] ; [ 3.19892473 13.80107527],0
b2,1,0.462567,0.539677,[26 74] ; [4 7],[27.02702703 72.97297297] ; [2.97297297 8.02702703],0
b3,1,0.462567,0.539677,[26 74] ; [4 7],[27.02702703 72.97297297] ; [2.97297297 8.02702703],0
d3,1,0.50071,0.453431,[ 42 126] ; [ 3 14],[ 40.86486486 127.13513514] ; [ 4.13513514 12.86486486],0
v2,1,0.518419,0.417038,[62 97] ; [8 9],[63.23863636 95.76136364] ; [ 6.76136364 10.23863636],0
s8,1,0.568289,0.325553,[ 52 118] ; [ 6 10],[ 53.01075269 116.98924731] ; [ 4.98924731 11.01075269],0
u2,1,0.596907,0.279687,[38 54] ; [5 5],[38.78431373 53.21568627] ; [4.21568627 5.78431373],0
a3,1,0.678813,0.171466,[78 90] ; [ 7 10],[77.18918919 90.81081081] ; [7.81081081 9.18918919],0
s3,1,0.711653,0.136631,[75 91] ; [8 8],[75.7032967 90.2967033] ; [7.2967033 8.7032967],0
d2,1,0.732716,0.116632,[ 36 134] ; [ 3 14],[ 35.45454545 134.54545455] ; [ 3.54545455 13.45454545],0
v1,1,0.733902,0.115559,[71 95] ; [8 9],[71.66120219 94.33879781] ; [7.33879781 9.66120219],0
a6,1,0.744854,0.105906,[93 77] ; [10  7],[93.63636364 76.36363636] ; [9.36363636 7.63636364],0
n2,1,0.746738,0.104293,[42 14] ; [2 1],[41.76271186 14.23728814] ; [2.23728814 0.76271186],0
a8,1,0.773222,0.083038,[ 16 141] ; [ 2 14],[ 16.33526012 140.66473988] ; [ 1.66473988 14.33526012],0
u3,1,0.782449,0.076247,[41 51] ; [4 6],[40.58823529 51.41176471] ; [4.41176471 5.58823529],0
r2,1,0.824836,0.048987,[145  23] ; [15  2],[145.2972973  22.7027027] ; [14.7027027  2.2972973],0
s2,1,0.843892,0.038776,[ 55 112] ; [ 6 11],[ 55.36413043 111.63586957] ; [ 5.63586957 11.36413043],0
a7,1,0.848635,0.036428,[93 75] ; [9 8],[92.62702703 75.37297297] ; [9.37297297 7.62702703],0
r3,1,0.917853,0.010638,[140  28] ; [14  3],[139.84864865  28.15135135] ; [14.15135135  2.84864865],0
a2,1,0.924819,0.008905,[ 11 159] ; [ 1 16],[ 10.90909091 159.09090909] ; [ 1.09090909 15.90909091],0
b1,1,0.925401,0.008767,[72 98] ; [ 7 10],[71.81818182 98.18181818] ; [7.18181818 9.81818182],0
p2,1,0.959304,0.002604,[121  49] ; [12  5],[120.90909091  49.09090909] ; [12.09090909  4.90909091],0
