Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,34.620355,[144  30] ; [97 84],[118.12394366  55.87605634] ; [122.87605634  58.12394366],1
p7,1,0.0,31.210532,[157  18] ; [118  64],[134.80392157  40.19607843] ; [140.19607843  41.80392157],1
p4,1,6.6e-05,15.927383,[161  15] ; [138  44],[146.99441341  29.00558659] ; [152.00558659  29.99441341],1
s7,1,0.000126,14.695412,[117  49] ; [85 85],[99.79761905 66.20238095] ; [102.20238095  67.79761905],1
p5,1,0.000184,13.99017,[ 51 125] ; [ 23 156],[ 36.68732394 139.31267606] ; [ 37.31267606 141.68732394],1
s2,1,0.001671,9.879387,[112  62] ; [86 94],[97.3220339 76.6779661] ; [100.6779661  79.3220339],0
s5,1,0.001854,9.688821,[82 83] ; [ 59 119],[67.82798834 97.17201166] ; [ 73.17201166 104.82798834],0
p2,1,0.002957,8.833779,[164  12] ; [151  31],[154.8603352  21.1396648] ; [160.1396648  21.8603352],0
s8,1,0.003197,8.691358,[108  67] ; [83 97],[94.15492958 80.84507042] ; [96.84507042 83.15492958],0
p9,1,0.007726,7.096014,[168   7] ; [160  21],[161.23595506  13.76404494] ; [166.76404494  14.23595506],0
p12,1,0.009394,6.746285,[ 29 145] ; [ 14 168],[ 21.01685393 152.98314607] ; [ 21.98314607 160.01685393],0
a1,1,0.02248,5.208264,[ 16 160] ; [  6 176],[ 10.81564246 165.18435754] ; [ 11.18435754 170.81564246],0
b2,1,0.031314,4.635665,[59 60] ; [41 74],[50.85470085 68.14529915] ; [49.14529915 65.85470085],0
b3,1,0.031314,4.635665,[59 60] ; [41 74],[50.85470085 68.14529915] ; [49.14529915 65.85470085],0
p1,1,0.0403,4.205197,[ 28 148] ; [ 16 166],[ 21.63128492 154.36871508] ; [ 22.36871508 159.63128492],0
s6,1,0.046386,3.967532,[130  37] ; [123  57],[121.76080692  45.23919308] ; [131.23919308  48.76080692],0
d1,1,0.080358,3.057637,[121  55] ; [109  73],[113.0726257  62.9273743] ; [116.9273743  65.0726257],0
a3,1,0.125844,2.343039,[140  34] ; [134  48],[133.92134831  40.07865169] ; [140.07865169  41.92134831],0
d3,1,0.170157,1.881563,[126  50] ; [118  64],[119.95530726  56.04469274] ; [124.04469274  57.95530726],0
a6,1,0.198866,1.650681,[118  57] ; [134  48],[123.52941176  51.47058824] ; [128.47058824  53.52941176],0
u4,1,0.21352,1.547398,[  8 167] ; [  4 178],[  5.88235294 169.11764706] ; [  6.11764706 175.88235294],0
d4,1,0.219638,1.506736,[149  26] ; [146  36],[144.60784314  30.39215686] ; [150.39215686  31.60784314],0
r3,1,0.222758,1.486512,[168   5] ; [172  10],[165.69014085   7.30985915] ; [174.30985915   7.69014085],0
s4,1,0.228292,1.451473,[ 34 138] ; [ 27 154],[ 29.7223796 142.2776204] ; [ 31.2776204 149.7223796],0
a7,1,0.231894,1.429207,[132  43] ; [127  55],[126.96078431  48.03921569] ; [132.03921569  49.96078431],0
p10,1,0.26104,1.263231,[161  14] ; [161  21],[157.84313725  17.15686275] ; [164.15686275  17.84313725],0
