Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,27.55802,[ 7 27] ; [34  8],[18.34210526 15.65789474] ; [22.65789474 19.34210526],1
d4,1,0.012998,6.169436,[25  9] ; [19 23],[19.68421053 14.31578947] ; [24.31578947 17.68421053],0
r3,1,0.018175,5.579215,[26  8] ; [21 21],[21.02631579 12.97368421] ; [25.97368421 16.02631579],0
a2,1,0.030712,4.668999,[ 1 33] ; [ 8 34],[ 4.02631579 29.97368421] ; [ 4.97368421 37.02631579],0
s5,1,0.036973,4.351648,[11 22] ; [ 5 34],[ 7.33333333 25.66666667] ; [ 8.66666667 30.33333333],0
p3,1,0.086263,2.942768,[14 19] ; [10 32],[10.56 22.44] ; [13.44 28.56],0
n1,1,0.089906,2.876058,[ 2 10] ; [8 9],[4.13793103 7.86206897] ; [ 5.86206897 11.13793103],0
s2,1,0.105335,2.622854,[14 20] ; [10 32],[10.73684211 23.26315789] ; [13.26315789 28.73684211],0
b4,1,0.121897,2.39277,[19 15] ; [16 26],[15.65789474 18.34210526] ; [19.34210526 22.65789474],0
p7,1,0.141548,2.161051,[17 17] ; [14 28],[13.86842105 20.13157895] ; [17.13157895 24.86842105],0
d3,1,0.153004,2.042042,[20 13] ; [18 23],[16.94594595 16.05405405] ; [21.05405405 19.94594595],0
u3,1,0.162587,1.95,[7 8] ; [ 6 18],[ 5. 10.] ; [ 8. 16.],0
a6,1,0.166302,1.915966,[14 20] ; [24 18],[17. 17.] ; [21. 21.],0
v4,1,0.174366,1.845005,[26  8] ; [26 16],[23.26315789 10.73684211] ; [28.73684211 13.26315789],0
s4,1,0.184921,1.757629,[10 24] ; [ 7 35],[ 7.60526316 26.39473684] ; [ 9.39473684 32.60526316],0
u2,1,0.191189,1.708433,[7 8] ; [ 6 17],[5.13157895 9.86842105] ; [ 7.86842105 15.13157895],0
a3,1,0.205667,1.60167,[19 14] ; [18 24],[16.28 16.72] ; [20.72 21.28],0
s1,1,0.211064,1.564115,[ 3 31] ; [ 1 41],[ 1.78947368 32.21052632] ; [ 2.21052632 39.78947368],0
a1,1,0.235256,1.408799,[ 2 32] ; [ 6 36],[ 3.57894737 30.42105263] ; [ 4.42105263 37.57894737],0
a8,1,0.240661,1.37672,[ 1 32] ; [ 4 36],[ 2.26027397 30.73972603] ; [ 2.73972603 37.26027397],0
u1,1,0.249753,1.324685,[ 1 33] ; [ 4 38],[ 2.23684211 31.76315789] ; [ 2.76315789 39.23684211],0
s8,1,0.297566,1.085069,[ 6 28] ; [ 4 38],[ 4.47368421 29.52631579] ; [ 5.52631579 36.47368421],0
d5,1,0.327934,0.957037,[21 12] ; [22 20],[18.92 14.08] ; [24.08 17.92],0
s6,1,0.334284,0.93223,[12 22] ; [10 30],[10.10810811 23.89189189] ; [11.89189189 28.10810811],0
d1,1,0.372611,0.794938,[13 21] ; [12 30],[11.18421053 22.81578947] ; [13.81578947 28.18421053],0
p4,1,0.445751,0.581434,[13 20] ; [13 29],[11.44 21.56] ; [14.56 27.44],0
r2,1,0.449528,0.571842,[23 10] ; [31  9],[24.4109589  8.5890411] ; [29.5890411 10.4109589],0
r4,1,0.456139,0.555353,[15 19] ; [15 27],[13.42105263 20.57894737] ; [16.57894737 25.42105263],0
b2,1,0.482225,0.493827,[ 7 11] ; [11 11],[8.1 9.9] ; [ 9.9 12.1],0
b3,1,0.482225,0.493827,[ 7 11] ; [11 11],[8.1 9.9] ; [ 9.9 12.1],0
p1,1,0.48843,0.479983,[ 4 30] ; [ 3 39],[ 3.13157895 30.86842105] ; [ 3.86842105 38.13157895],0
b5,1,0.502413,0.449836,[22 12] ; [24 18],[20.57894737 13.42105263] ; [25.42105263 16.57894737],0
s3,1,0.591867,0.287438,[11 21] ; [17 25],[12.10810811 19.89189189] ; [15.89189189 26.10810811],0
p10,1,0.613203,0.255537,[11 22] ; [16 25],[12.04054054 20.95945946] ; [14.95945946 26.04054054],0
n2,1,0.637947,0.221437,[6 6] ; [10  7],[6.62068966 5.37931034] ; [9.37931034 7.62068966],0
a4,1,0.661694,0.191472,[10 24] ; [14 27],[10.88 23.12] ; [13.12 27.88],0
p5,1,0.670017,0.181582,[ 1 33] ; [ 2 39],[ 1.36 32.64] ; [ 1.64 39.36],0
a7,1,0.737622,0.112228,[17 16] ; [20 22],[16.28 16.72] ; [20.72 21.28],0
n6,1,0.749195,0.102209,[19 15] ; [25 17],[19.68421053 14.31578947] ; [24.31578947 17.68421053],0
v3,1,0.772644,0.083474,[ 8 25] ; [ 9 33],[ 7.48 25.52] ; [ 9.52 32.48],0
v2,1,0.804159,0.061488,[10 24] ; [11 30],[ 9.52 24.48] ; [11.48 29.52],0
d2,1,0.817034,0.053528,[15 19] ; [17 24],[14.50666667 19.49333333] ; [17.49333333 23.50666667],0
p2,1,0.836412,0.042636,[17 17] ; [20 22],[16.55263158 17.44736842] ; [20.44736842 21.55263158],0
p6,1,0.852593,0.034525,[ 6 26] ; [ 7 34],[ 5.69863014 26.30136986] ; [ 7.30136986 33.69863014],0
p8,1,0.856516,0.032692,[ 7 26] ; [ 8 33],[ 6.68918919 26.31081081] ; [ 8.31081081 32.68918919],0
n3,1,0.875948,0.02437,[6 6] ; [8 9],[5.79310345 6.20689655] ; [8.20689655 8.79310345],0
p9,1,0.877081,0.023923,[17 15] ; [20 19],[16.67605634 15.32394366] ; [20.32394366 18.67605634],0
b1,1,0.882694,0.021772,[20 14] ; [24 18],[19.68421053 14.31578947] ; [24.31578947 17.68421053],0
s7,1,0.888736,0.019573,[ 7 25] ; [ 8 31],[ 6.76056338 25.23943662] ; [ 8.23943662 30.76056338],0
v1,1,0.951727,0.003665,[10 23] ; [13 29],[10.12 22.88] ; [12.88 29.12],0
a5,1,0.96121,0.002365,[16 18] ; [20 22],[16.10526316 17.89473684] ; [19.89473684 22.10526316],0
