Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,23.835324,[106   8] ; [41 23],[94.14606742 19.85393258] ; [52.85393258 11.14606742],1
r4,1,9e-06,19.744832,[99 16] ; [36 28],[86.73184358 28.26815642] ; [48.26815642 15.73184358],1
p10,1,1e-05,19.548425,[86 29] ; [25 36],[72.52840909 42.47159091] ; [38.47159091 22.52840909],1
v4,1,2e-05,18.157264,[106   8] ; [44 20],[96.06741573 17.93258427] ; [53.93258427 10.06741573],1
n6,1,2.7e-05,17.608007,[93 22] ; [32 31],[80.75842697 34.24157303] ; [44.24157303 18.75842697],1
p9,1,5.5e-05,16.283479,[93 22] ; [31 29],[81.48571429 33.51428571] ; [42.51428571 17.48571429],1
b1,1,0.000228,13.58435,[31 84] ; [35 29],[42.40223464 72.59776536] ; [23.59776536 40.40223464],1
p2,1,0.002795,8.936478,[80 35] ; [30 34],[70.67039106 44.32960894] ; [39.32960894 24.67039106],0
a6,1,0.003696,8.427218,[76 39] ; [28 36],[66.81564246 48.18435754] ; [37.18435754 26.81564246],0
n3,1,0.003827,8.364332,[24  6] ; [ 9 13],[19.03846154 10.96153846] ; [13.96153846  8.03846154],0
r2,1,0.011585,6.373264,[104  11] ; [49 15],[98.29608939 16.70391061] ; [54.70391061  9.29608939],0
a1,1,0.020049,5.407661,[  3 112] ; [ 7 57],[  6.42458101 108.57541899] ; [ 3.57541899 60.42458101],0
a5,1,0.021997,5.246036,[69 46] ; [27 37],[61.67597765 53.32402235] ; [34.32402235 29.67597765],0
s6,1,0.034964,4.446933,[61 52] ; [24 40],[54.26553672 58.73446328] ; [30.73446328 33.26553672],0
u3,1,0.042187,4.127666,[30 22] ; [12 22],[25.39534884 26.60465116] ; [16.60465116 17.39534884],0
u2,1,0.04342,4.078971,[29 23] ; [11 22],[24.47058824 27.52941176] ; [15.52941176 17.47058824],0
v1,1,0.043446,4.077978,[52 59] ; [20 44],[45.66857143 65.33142857] ; [26.33142857 37.66857143],0
s1,1,0.04667,3.95726,[  4 109] ; [ 7 56],[  7.0625 105.9375] ; [ 3.9375 59.0625],0
p3,1,0.049784,3.848735,[33 82] ; [10 54],[27.62569832 87.37430168] ; [15.37430168 48.62569832],0
r1,1,0.061786,3.488786,[79 36] ; [35 29],[73.24022346 41.75977654] ; [40.75977654 23.24022346],0
p8,1,0.128777,2.307182,[29 85] ; [10 54],[24.97752809 89.02247191] ; [14.02247191 49.97752809],0
b4,1,0.154738,2.024908,[77 38] ; [36 28],[72.59776536 42.40223464] ; [40.40223464 23.59776536],0
v2,1,0.158294,1.990451,[43 65] ; [18 44],[38.75294118 69.24705882] ; [22.24705882 39.75294118],0
p12,1,0.21907,1.51045,[  6 107] ; [ 1 63],[  4.46892655 108.53107345] ; [ 2.53107345 61.46892655],0
n4,1,0.225574,1.468556,[82 33] ; [40 24],[78.37988827 36.62011173] ; [43.62011173 20.37988827],0
b2,1,0.230201,1.43962,[19 37] ; [15 17],[21.63636364 34.36363636] ; [12.36363636 19.63636364],0
b3,1,0.230201,1.43962,[19 37] ; [15 17],[21.63636364 34.36363636] ; [12.36363636 19.63636364],0
v3,1,0.231665,1.43061,[28 85] ; [20 40],[31.35260116 81.64739884] ; [16.64739884 43.35260116],0
s7,1,0.233463,1.419636,[27 84] ; [20 41],[30.33139535 80.66860465] ; [16.66860465 44.33139535],0
b5,1,0.249214,1.327705,[73 42] ; [35 29],[69.38547486 45.61452514] ; [38.61452514 25.38547486],0
n2,1,0.266575,1.234286,[24  6] ; [16  8],[22.22222222  7.77777778] ; [17.77777778  6.22222222],0
s8,1,0.323703,0.973926,[29 86] ; [12 52],[26.34078212 88.65921788] ; [14.65921788 49.34078212],0
p4,1,0.344384,0.894044,[37 78] ; [16 47],[34.24157303 80.75842697] ; [18.75842697 44.24157303],0
d2,1,0.355707,0.852991,[17 97] ; [13 51],[19.21348315 94.78651685] ; [10.78651685 53.21348315],0
s3,1,0.357224,0.84763,[44 68] ; [20 42],[41.1954023 70.8045977] ; [22.8045977 39.1954023],0
p6,1,0.362133,0.830482,[ 12 103] ; [ 4 59],[ 10.33707865 104.66292135] ; [ 5.66292135 57.33707865],0
a3,1,0.416288,0.660771,[63 52] ; [30 32],[60.42372881 54.57627119] ; [32.57627119 29.42372881],0
a8,1,0.442876,0.58882,[16 94] ; [ 6 52],[14.4047619 95.5952381] ; [ 7.5952381 50.4047619],0
d3,1,0.467545,0.527771,[44 71] ; [21 43],[41.75977654 73.24022346] ; [23.24022346 40.75977654],0
p1,1,0.495816,0.463881,[  9 105] ; [ 7 57],[ 10.24719101 103.75280899] ; [ 5.75280899 58.24719101],0
a4,1,0.567613,0.326693,[30 85] ; [14 49],[28.42696629 86.57303371] ; [15.57303371 47.42696629],0
a2,1,0.576725,0.311559,[  5 110] ; [ 4 60],[  5.78212291 109.21787709] ; [ 3.21787709 60.78212291],0
d4,1,0.598656,0.277027,[64 51] ; [33 31],[62.31843575 52.68156425] ; [34.68156425 29.31843575],0
a7,1,0.625338,0.238436,[69 46] ; [36 28],[67.45810056 47.54189944] ; [37.54189944 26.45810056],0
s2,1,0.67067,0.180819,[33 78] ; [21 43],[34.25142857 76.74857143] ; [19.74857143 44.25142857],0
s5,1,0.697545,0.151038,[20 88] ; [13 49],[20.96470588 87.03529412] ; [12.03529412 49.96470588],0
n1,1,0.697743,0.15083,[12 18] ; [ 8 15],[11.32075472 18.67924528] ; [ 8.67924528 14.32075472],0
p5,1,0.876434,0.024178,[  6 109] ; [ 3 61],[  5.78212291 109.21787709] ; [ 3.21787709 60.78212291],0
s4,1,0.909003,0.013064,[19 96] ; [11 53],[19.27374302 95.72625698] ; [10.72625698 53.27374302],0
u1,1,0.929694,0.007784,[  2 113] ; [ 1 63],[  1.9273743 113.0726257] ; [ 1.0726257 62.9273743],0
d5,1,0.955533,0.003109,[57 58] ; [32 32],[57.17877095 57.82122905] ; [31.82122905 32.17877095],0
n5,1,0.969549,0.001457,[74 41] ; [41 23],[73.88268156 41.11731844] ; [41.11731844 22.88268156],0
