Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.007501,7.148868,[ 3 22] ; [42 62],[ 8.72093023 16.27906977] ; [36.27906977 67.72093023],0
s6,1,0.074769,3.175099,[22  3] ; [77 32],[18.47014925  6.52985075] ; [80.52985075 28.47014925],0
n4,1,0.083738,2.990821,[12 14] ; [71 39],[15.86764706 10.13235294] ; [67.13235294 42.86764706],0
p9,1,0.089202,2.888718,[24  2] ; [83 24],[20.91729323  5.08270677] ; [86.08270677 20.91729323],0
b5,1,0.091195,2.853147,[20  6] ; [65 45],[16.25  9.75] ; [68.75 41.25],0
p8,1,0.118355,2.438956,[ 8 18] ; [52 57],[11.55555556 14.44444444] ; [48.44444444 60.55555556],0
d4,1,0.136417,2.217916,[20  6] ; [97 13],[22.36764706  3.63235294] ; [94.63235294 15.36764706],0
a7,1,0.143252,2.142679,[22  3] ; [81 28],[19.21641791  5.78358209] ; [83.78358209 25.21641791],0
n6,1,0.167106,1.90872,[22  3] ; [82 27],[19.40298507  5.59701493] ; [84.59701493 24.40298507],0
s3,1,0.169487,1.887474,[23  3] ; [83 26],[20.41481481  5.58518519] ; [85.58518519 23.41481481],0
n2,1,0.217044,1.52381,[5 3] ; [20  4],[6.25 1.75] ; [18.75  5.25],0
p11,1,0.233641,1.418558,[18  8] ; [88 22],[20.26470588  5.73529412] ; [85.73529412 24.26470588],0
b2,1,0.240989,1.374799,[1 7] ; [20 41],[2.43478261 5.56521739] ; [18.56521739 42.43478261],0
b3,1,0.240989,1.374799,[1 7] ; [20 41],[2.43478261 5.56521739] ; [18.56521739 42.43478261],0
a8,1,0.268542,1.224179,[ 1 22] ; [13 93],[ 2.49612403 20.50387597] ; [11.50387597 94.49612403],0
p10,1,0.299354,1.077072,[23  3] ; [86 22],[21.14925373  4.85074627] ; [87.85074627 20.14925373],0
v2,1,0.300466,1.072127,[10 14] ; [55 48],[12.28346457 11.71653543] ; [52.71653543 50.28346457],0
a3,1,0.305258,1.051081,[12 14] ; [63 47],[14.33823529 11.66176471] ; [60.66176471 49.33823529],0
a4,1,0.30928,1.033749,[11 15] ; [35 75],[ 8.79411765 17.20588235] ; [37.20588235 72.79411765],0
r2,1,0.314639,1.0111,[25  1] ; [98 11],[23.68888889  2.31111111] ; [99.31111111  9.68888889],0
n1,1,0.345779,0.888889,[1 7] ; [ 7 17],[2. 6.] ; [ 6. 18.],0
r4,1,0.353721,0.860063,[24  2] ; [94 16],[22.55882353  3.44117647] ; [95.44117647 14.55882353],0
d2,1,0.366187,0.816564,[ 8 18] ; [44 65],[10.01481481 15.98518519] ; [41.98518519 67.01481481],0
s5,1,0.386712,0.749255,[10 14] ; [35 73],[ 8.18181818 15.81818182] ; [36.81818182 71.18181818],0
p7,1,0.403782,0.697033,[13 13] ; [62 43],[14.88549618 11.11450382] ; [60.11450382 44.88549618],0
u2,1,0.451252,0.567504,[6 8] ; [25 21],[7.23333333 6.76666667] ; [23.76666667 22.23333333],0
a6,1,0.457557,0.551864,[19  7] ; [72 38],[17.39705882  8.60294118] ; [73.60294118 36.39705882],0
u3,1,0.470985,0.519664,[9 5] ; [24 21],[7.83050847 6.16949153] ; [25.16949153 19.83050847],0
p5,1,0.514856,0.424185,[ 1 25] ; [  8 100],[ 1.74626866 24.25373134] ; [  7.25373134 100.74626866],0
p4,1,0.583005,0.301402,[13 13] ; [61 48],[14.25185185 11.74814815] ; [59.74814815 49.25185185],0
d1,1,0.615508,0.252231,[13 13] ; [61 49],[14.14705882 11.85294118] ; [59.85294118 50.14705882],0
d5,1,0.629514,0.23272,[20  5] ; [83 27],[19.07407407  5.92592593] ; [83.92592593 26.07407407],0
p6,1,0.69598,0.152688,[ 7 19] ; [33 74],[ 7.81954887 18.18045113] ; [32.18045113 74.81954887],0
a5,1,0.714347,0.133974,[18  8] ; [72 38],[17.20588235  8.79411765] ; [72.79411765 37.20588235],0
r3,1,0.738522,0.11143,[25  1] ; [104   6],[24.66176471  1.33823529] ; [104.33823529   5.66176471],0
n3,1,0.773938,0.0825,[5 3] ; [17  8],[5.33333333 2.66666667] ; [16.66666667  8.33333333],0
a2,1,0.813792,0.055478,[ 5 21] ; [19 91],[ 4.58823529 21.41176471] ; [19.41176471 90.58823529],0
u1,1,0.817119,0.053478,[ 4 22] ; [15 95],[ 3.63235294 22.36764706] ; [15.36764706 94.63235294],0
d3,1,0.821916,0.050662,[16  9] ; [73 37],[16.48148148  8.51851852] ; [72.51851852 37.48148148],0
p2,1,0.843093,0.03918,[20  6] ; [85 23],[20.37313433  5.62686567] ; [84.62686567 23.37313433],0
p1,1,0.862322,0.030074,[ 1 25] ; [  5 103],[ 1.1641791 24.8358209] ; [  4.8358209 103.1641791],0
n5,1,0.867059,0.028021,[16 10] ; [69 40],[16.37037037  9.62962963] ; [68.62962963 40.37037037],0
r1,1,0.887377,0.020057,[18  8] ; [77 32],[18.2962963  7.7037037] ; [76.7037037 32.2962963],0
b1,1,0.935819,0.006484,[ 9 17] ; [39 71],[ 9.17647059 16.82352941] ; [38.82352941 71.17647059],0
s8,1,0.938727,0.005909,[ 8 18] ; [33 77],[ 7.83823529 18.16176471] ; [33.16176471 76.83823529],0
p3,1,0.940122,0.005642,[11 15] ; [47 62],[11.17037037 14.82962963] ; [46.82962963 62.17037037],0
v1,1,0.940386,0.005593,[13 12] ; [56 50],[13.16793893 11.83206107] ; [55.83206107 50.16793893],0
b4,1,0.968966,0.001514,[15 11] ; [63 47],[14.91176471 11.08823529] ; [63.08823529 46.91176471],0
