Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,9e-06,19.687668,[121  42] ; [56 60],[103.40860215  59.59139785] ; [73.59139785 42.40860215],1
p8,1,0.000286,13.160334,[122  39] ; [62 51],[108.11678832  52.88321168] ; [75.88321168 37.11678832],1
v3,1,0.000564,11.891764,[73 86] ; [29 85],[59.40659341 99.59340659] ; [42.59340659 71.40659341],1
p5,1,0.003888,8.335444,[ 29 134] ; [  7 109],[ 21.03225806 141.96774194] ; [ 14.96774194 101.03225806],0
a6,1,0.004998,7.880027,[117  46] ; [65 52],[105.95  57.05] ; [76.05 40.95],0
s7,1,0.005546,7.692283,[56 96] ; [23 87],[ 45.83206107 106.16793893] ; [33.16793893 76.83206107],0
p10,1,0.005708,7.640196,[136  25] ; [82 34],[126.70758123  34.29241877] ; [91.29241877 24.70758123],0
p9,1,0.006799,7.325394,[141  20] ; [87 29],[132.5198556  28.4801444] ; [95.4801444 20.5198556],0
r2,1,0.008683,6.886898,[153   8] ; [98 16],[146.94909091  14.05090909] ; [104.05090909   9.94909091],0
r4,1,0.010942,6.474752,[153  10] ; [99 18],[146.7  16.3] ; [105.3  11.7],0
v2,1,0.013243,6.136352,[100  59] ; [54 59],[90.02205882 68.97794118] ; [63.97794118 49.02205882],0
u1,1,0.050717,3.81761,[ 27 136] ; [ 10 107],[ 21.53928571 141.46071429] ; [ 15.46071429 101.53928571],0
v1,1,0.053112,3.740376,[94 66] ; [53 60],[86.15384615 73.84615385] ; [60.84615385 52.15384615],0
b1,1,0.059675,3.546394,[74 89] ; [40 77],[66.36428571 96.63571429] ; [47.63571429 69.36428571],0
s4,1,0.092445,2.831278,[ 23 139] ; [  9 108],[ 18.58064516 143.41935484] ; [ 13.41935484 103.58064516],0
n5,1,0.093682,2.809933,[121  42] ; [76 41],[114.68214286  48.31785714] ; [82.31785714 34.68214286],0
a2,1,0.095465,2.779719,[ 35 128] ; [ 16 101],[ 29.68928571 133.31071429] ; [21.31071429 95.68928571],0
n4,1,0.101075,2.688496,[127  36] ; [81 36],[121.08571429  41.91428571] ; [86.91428571 30.08571429],0
b5,1,0.111421,2.533956,[89 74] ; [75 42],[95.47142857 67.52857143] ; [68.52857143 48.47142857],0
u3,1,0.124479,2.360039,[30 22] ; [18 25],[26.27368421 25.72631579] ; [21.72631579 21.27368421],0
a7,1,0.158256,1.990809,[120  43] ; [77 40],[114.68214286  48.31785714] ; [82.31785714 34.68214286],0
a5,1,0.168458,1.896615,[121  42] ; [78 39],[115.84642857  47.15357143] ; [83.15357143 33.84642857],0
n6,1,0.191369,1.707048,[136  26] ; [91 26],[131.80645161  30.19354839] ; [95.19354839 21.80645161],0
v4,1,0.206263,1.597461,[155   8] ; [105  10],[152.44604317  10.55395683] ; [107.55395683   7.44604317],0
n2,1,0.21513,1.536562,[17  4] ; [27 14],[14.90322581  6.09677419] ; [29.09677419 11.90322581],0
d5,1,0.246005,1.345848,[132  31] ; [88 29],[128.07142857  34.92857143] ; [91.92857143 25.07142857],0
s5,1,0.250583,1.320052,[ 40 120] ; [22 93],[ 36.07272727 123.92727273] ; [25.92727273 89.07272727],0
n1,1,0.279154,1.171204,[ 5 16] ; [15 25],[ 6.8852459 14.1147541] ; [13.1147541 26.8852459],0
p11,1,0.291354,1.113352,[135  28] ; [91 26],[131.56428571  31.43571429] ; [94.43571429 22.56428571],0
p12,1,0.293221,1.104772,[ 10 151] ; [  4 113],[  8.10791367 152.89208633] ; [  5.89208633 111.10791367],0
r1,1,0.297244,1.086516,[130  32] ; [87 29],[126.45323741  35.54676259] ; [90.54676259 25.45323741],0
a1,1,0.328729,0.953897,[  6 157] ; [  2 115],[  4.65714286 158.34285714] ; [  3.34285714 113.65714286],0
b4,1,0.330936,0.945231,[88 75] ; [70 47],[91.97857143 71.02142857] ; [66.02142857 50.97857143],0
p6,1,0.348323,0.879558,[68 90] ; [43 72],[64.24175824 93.75824176] ; [46.75824176 68.24175824],0
d1,1,0.350925,0.870109,[90 73] ; [58 59],[86.15714286 76.84285714] ; [61.84285714 55.15714286],0
a3,1,0.410269,0.678021,[111  51] ; [74 42],[107.8057554  54.1942446] ; [77.1942446 38.8057554],0
a4,1,0.4444,0.584896,[66 96] ; [42 74],[62.9352518 99.0647482] ; [45.0647482 70.9352518],0
a8,1,0.45016,0.570249,[ 20 118] ; [12 95],[ 18.0244898 119.9755102] ; [13.9755102 93.0244898],0
p1,1,0.467999,0.526697,[ 15 147] ; [  8 109],[ 13.35483871 148.64516129] ; [  9.64516129 107.35483871],0
d3,1,0.471098,0.519399,[108  55] ; [72 44],[105.16129032  57.83870968] ; [74.83870968 41.16129032],0
s6,1,0.595169,0.282343,[80 78] ; [54 60],[77.83823529 80.16176471] ; [56.16176471 57.83823529],0
d2,1,0.638166,0.221148,[72 91] ; [55 62],[73.93214286 89.06785714] ; [53.06785714 63.93214286],0
r3,1,0.649221,0.206884,[154   9] ; [109   8],[153.10357143   9.89642857] ; [109.89642857   7.10357143],0
s1,1,0.656253,0.198108,[  3 160] ; [  3 111],[  3.53068592 159.46931408] ; [  2.46931408 111.53068592],0
p2,1,0.661398,0.19183,[144  18] ; [105  11],[145.10071942  16.89928058] ; [103.89928058  12.10071942],0
u2,1,0.685334,0.164183,[27 24] ; [24 18],[27.96774194 23.03225806] ; [23.03225806 18.96774194],0
s8,1,0.686533,0.162864,[ 48 113] ; [32 84],[ 46.49819495 114.50180505] ; [33.50180505 82.49819495],0
b2,1,0.715789,0.132563,[37 72] ; [20 44],[35.9132948 73.0867052] ; [21.0867052 42.9132948],0
b3,1,0.715789,0.132563,[37 72] ; [20 44],[35.9132948 73.0867052] ; [21.0867052 42.9132948],0
n3,1,0.747313,0.103803,[18  3] ; [33  7],[17.55737705  3.44262295] ; [33.44262295  6.55737705],0
s3,1,0.837865,0.041872,[ 42 119] ; [31 83],[ 42.73818182 118.26181818] ; [30.26181818 83.73818182],0
d4,1,0.87302,0.025544,[125  38] ; [88 28],[124.44086022  38.55913978] ; [88.55913978 27.44086022],0
