Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,25.639376,[29 19] ; [ 7 48],[16.77669903 31.22330097] ; [19.22330097 35.77669903],1
s8,1,2e-06,22.910553,[24 25] ; [ 4 51],[13.19230769 35.80769231] ; [14.80769231 40.19230769],1
s3,1,8e-06,20.056531,[35 13] ; [15 38],[23.76237624 24.23762376] ; [26.23762376 26.76237624],1
s7,1,8e-06,19.91402,[25 22] ; [ 6 46],[14.71717172 32.28282828] ; [16.28282828 35.71717172],1
s5,1,4.3e-05,16.735335,[20 27] ; [ 4 49],[11.28 35.72] ; [12.72 40.28],1
r3,1,0.000107,15.003785,[46  3] ; [34 21],[37.69230769 11.30769231] ; [42.30769231 12.69230769],1
r4,1,0.000142,14.471243,[40  9] ; [25 30],[30.625 18.375] ; [34.375 20.625],1
p10,1,0.000825,11.185172,[36 13] ; [22 32],[27.59223301 21.40776699] ; [30.40776699 23.59223301],1
r1,1,0.001461,10.127629,[34 15] ; [21 34],[25.91346154 23.08653846] ; [29.08653846 25.91346154],0
p11,1,0.002766,8.955448,[38 11] ; [27 28],[30.625 18.375] ; [34.375 20.625],0
p4,1,0.003213,8.68222,[29 20] ; [16 37],[21.61764706 27.38235294] ; [23.38235294 29.61764706],0
n4,1,0.004046,8.263048,[39 10] ; [29 26],[32.03846154 16.96153846] ; [35.96153846 19.03846154],0
p6,1,0.004128,8.226782,[20 27] ; [ 9 45],[13.4950495 33.5049505] ; [15.5049505 38.4950495],0
s4,1,0.004158,8.213484,[14 35] ; [ 4 51],[ 8.48076923 40.51923077] ; [ 9.51923077 45.48076923],0
v1,1,0.004829,7.942274,[27 22] ; [15 39],[19.98058252 29.01941748] ; [22.01941748 31.98058252],0
v4,1,0.006852,7.311382,[44  4] ; [38 16],[38.58823529  9.41176471] ; [43.41176471 10.58823529],0
d5,1,0.00703,7.265222,[28 21] ; [17 38],[21.20192308 27.79807692] ; [23.79807692 31.20192308],0
p5,1,0.009377,6.749546,[ 8 41] ; [ 1 53],[ 4.2815534 44.7184466] ; [ 4.7184466 49.2815534],0
d3,1,0.012653,6.217023,[23 26] ; [13 42],[16.96153846 32.03846154] ; [19.03846154 35.96153846],0
p9,1,0.01295,6.175884,[37 12] ; [28 26],[30.9223301 18.0776699] ; [34.0776699 19.9223301],0
u3,1,0.015184,5.894949,[16 10] ; [11 25],[11.32258065 14.67741935] ; [15.67741935 20.32258065],0
p3,1,0.018016,5.594545,[18 31] ; [ 9 46],[12.72115385 36.27884615] ; [14.27884615 40.72115385],0
