Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.8e-05,18.375,[15  1] ; [ 9 23],[8. 8.] ; [16. 16.],1
p7,1,0.00108,10.685217,[13  3] ; [10 22],[7.66666667 8.33333333] ; [15.33333333 16.66666667],0
p5,1,0.007279,7.202828,[ 6 10] ; [ 2 29],[ 2.72340426 13.27659574] ; [ 5.27659574 25.72340426],0
b4,1,0.007909,7.053913,[ 4 12] ; [21 11],[8.33333333 7.66666667] ; [16.66666667 15.33333333],0
d5,1,0.013555,6.095238,[13  3] ; [14 18],[9. 7.] ; [18. 14.],0
p8,1,0.014201,6.012962,[10  6] ; [ 8 23],[6.12765957 9.87234043] ; [11.87234043 19.12765957],0
p9,1,0.021421,5.292173,[15  1] ; [18 11],[11.73333333  4.26666667] ; [21.26666667  7.73333333],0
s5,1,0.055234,3.675,[ 5 11] ; [ 3 29],[ 2.66666667 13.33333333] ; [ 5.33333333 26.66666667],0
p11,1,0.072438,3.226891,[14  2] ; [20 12],[11.33333333  4.66666667] ; [22.66666667  9.33333333],0
p10,1,0.09545,2.779965,[13  3] ; [17 13],[10.43478261  5.56521739] ; [19.56521739 10.43478261],0
p6,1,0.101066,2.68864,[ 6 10] ; [ 5 26],[ 3.74468085 12.25531915] ; [ 7.25531915 23.74468085],0
a6,1,0.101277,2.685315,[10  6] ; [12 20],[7.33333333 8.66666667] ; [14.66666667 17.33333333],0
a5,1,0.102172,2.671304,[11  5] ; [14 18],[8.33333333 7.66666667] ; [16.66666667 15.33333333],0
a4,1,0.115995,2.470588,[7 9] ; [ 7 25],[ 4.66666667 11.33333333] ; [ 9.33333333 22.66666667],0
u3,1,0.12076,2.407439,[3 3] ; [ 3 14],[1.56521739 4.43478261] ; [ 4.43478261 12.56521739],0
s7,1,0.128864,2.306134,[6 8] ; [ 6 23],[ 3.90697674 10.09302326] ; [ 8.09302326 20.90697674],0
s3,1,0.132645,2.261272,[7 9] ; [ 7 24],[ 4.76595745 11.23404255] ; [ 9.23404255 21.76595745],0
b1,1,0.151613,2.055944,[11  5] ; [15 17],[8.66666667 7.33333333] ; [17.33333333 14.66666667],0
n1,1,0.154229,2.029915,[2 1] ; [ 4 12],[0.94736842 2.05263158] ; [ 5.05263158 10.94736842],0
v3,1,0.157299,2.0,[ 6 10] ; [ 6 26],[ 4. 12.] ; [ 8. 24.],0
v1,1,0.186449,1.745455,[7 9] ; [ 8 24],[ 5. 11.] ; [10. 22.],0
p2,1,0.205903,1.6,[12  4] ; [18 14],[10.  6.] ; [20. 12.],0
v4,1,0.217044,1.52381,[11  5] ; [16 16],[9. 7.] ; [18. 14.],0
r4,1,0.250829,1.318681,[ 6 10] ; [ 7 25],[ 4.33333333 11.66666667] ; [ 8.66666667 23.33333333],0
n4,1,0.261556,1.260504,[13  3] ; [21 11],[11.33333333  4.66666667] ; [22.66666667  9.33333333],0
s4,1,0.331382,0.943489,[ 5 11] ; [ 6 26],[ 3.66666667 12.33333333] ; [ 7.33333333 24.66666667],0
r3,1,0.347275,0.88339,[12  4] ; [19 12],[10.55319149  5.44680851] ; [20.44680851 10.55319149],0
a3,1,0.358196,0.844208,[10  6] ; [15 16],[8.5106383 7.4893617] ; [16.4893617 14.5106383],0
b2,1,0.373156,0.793129,[5 7] ; [ 5 14],[3.87096774 8.12903226] ; [ 6.12903226 12.87096774],0
b3,1,0.373156,0.793129,[5 7] ; [ 5 14],[3.87096774 8.12903226] ; [ 6.12903226 12.87096774],0
a8,1,0.375399,0.785714,[ 4 12] ; [ 4 24],[ 2.90909091 13.09090909] ; [ 5.09090909 22.90909091],0
