Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,55.536818,[ 21 116] ; [148 128],[56.06053269 80.93946731] ; [112.93946731 163.06053269],1
a3,1,0.0,44.495861,[62 75] ; [216  61],[91.99516908 45.00483092] ; [186.00483092  90.99516908],1
d2,1,0.0,41.613671,[ 33 103] ; [159 115],[63.68780488 72.31219512] ; [128.31219512 145.68780488],1
d1,1,0.0,40.78655,[44 93] ; [181  96],[74.45652174 62.54347826] ; [150.54347826 126.45652174],1
n4,1,0.0,32.044556,[70 66] ; [218  59],[94.8377724 41.1622276] ; [193.1622276  83.8377724],1
d5,1,0.0,26.358025,[84 52] ; [233  43],[104.6407767  31.3592233] ; [212.3592233  63.6407767],1
d4,1,5e-06,20.984742,[87 48] ; [233  43],[105.10948905  29.89051095] ; [214.89051095  61.10948905],1
a6,1,6e-06,20.521308,[73 64] ; [208  68],[93.21307506 43.78692494] ; [187.78692494  88.21307506],1
u1,1,2.9e-05,17.474931,[  6 131] ; [ 55 222],[ 20.18599034 116.81400966] ; [ 40.81400966 236.18599034],1
r1,1,7.6e-05,15.650491,[88 49] ; [226  50],[104.1598063  32.8401937] ; [209.8401937  66.1598063],1
d3,1,0.000364,12.707246,[74 61] ; [200  76],[90. 45.] ; [184.  92.],1
v2,1,0.000371,12.670522,[37 91] ; [128 140],[53.33333333 74.66666667] ; [111.66666667 156.33333333],1
p10,1,0.00099,10.845562,[83 51] ; [213  62],[96.97799511 37.02200489] ; [199.02200489  75.97799511],1
p4,1,0.001414,10.187175,[51 84] ; [150 125],[66.18292683 68.81707317] ; [134.81707317 140.18292683],0
p3,1,0.002716,8.989139,[41 96] ; [125 151],[55.0653753 81.9346247] ; [110.9346247 165.0653753],0
s7,1,0.006052,7.534836,[44 89] ; [125 138],[56.76010101 76.23989899] ; [112.23989899 150.76010101],0
p9,1,0.007594,7.126791,[89 44] ; [216  57],[99.9137931 33.0862069] ; [205.0862069  67.9137931],0
s6,1,0.009426,6.740283,[67 68] ; [171 100],[79.13793103 55.86206897] ; [158.86206897 112.13793103],0
v4,1,0.01557,5.85085,[120  15] ; [263  13],[125.80291971   9.19708029] ; [257.19708029  18.80291971],0
r4,1,0.016883,5.70848,[113  24] ; [251  26],[120.45410628  16.54589372] ; [243.54589372  33.45410628],0
n5,1,0.02216,5.23318,[78 57] ; [191  85],[88.35766423 46.64233577] ; [180.64233577  95.35766423],0
s8,1,0.028457,4.800167,[ 36 101] ; [102 173],[45.88834951 91.11165049] ; [ 92.11165049 182.88834951],0
s5,1,0.038033,4.303563,[ 29 103] ; [ 85 181],[37.80904523 94.19095477] ; [ 76.19095477 189.80904523],0
b3,1,0.043324,4.082705,[15 55] ; [ 55 103],[21.49122807 48.50877193] ; [ 48.50877193 109.49122807],0
b2,1,0.043324,4.082705,[15 55] ; [ 55 103],[21.49122807 48.50877193] ; [ 48.50877193 109.49122807],0
v3,1,0.052862,3.748262,[ 28 103] ; [ 82 186],[36.11528822 94.88471178] ; [ 73.88471178 194.11528822],0
p12,1,0.060106,3.534462,[  3 133] ; [ 18 257],[  6.94890511 129.05109489] ; [ 14.05109489 260.94890511],0
n6,1,0.115541,2.476749,[102  35] ; [224  52],[108.14043584  28.85956416] ; [217.85956416  58.14043584],0
p5,1,0.11556,2.476491,[  6 130] ; [ 24 252],[  9.90291262 126.09708738] ; [ 20.09708738 255.90291262],0
b5,1,0.170031,1.882668,[81 56] ; [144 133],[74.45652174 62.54347826] ; [150.54347826 126.45652174],0
n3,1,0.176407,1.827639,[26 17] ; [60 23],[29.34920635 13.65079365] ; [56.65079365 26.34920635],0
p2,1,0.195725,1.673987,[97 39] ; [213  63],[102.33009709  33.66990291] ; [207.66990291  68.33009709],0
