Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3.6e-05,17.071921,[34 20] ; [82  8],[43.5 10.5] ; [72.5 17.5],1
s8,1,4e-05,16.891749,[ 3 52] ; [32 58],[13.27586207 41.72413793] ; [21.72413793 68.27586207],1
s7,1,0.000155,14.306869,[ 6 43] ; [37 47],[15.84210526 33.15789474] ; [27.15789474 56.84210526],1
s6,1,0.000783,11.280799,[16 39] ; [52 38],[25.79310345 29.20689655] ; [42.20689655 47.79310345],1
p10,1,0.002398,9.216972,[15 38] ; [48 40],[23.68085106 29.31914894] ; [39.31914894 48.68085106],0
p9,1,0.003134,8.727883,[19 34] ; [53 33],[27.45323741 25.54676259] ; [44.54676259 41.45323741],0
r4,1,0.004592,8.033536,[29 26] ; [68 22],[36.79310345 18.20689655] ; [60.20689655 29.79310345],0
n5,1,0.005143,7.828601,[23 32] ; [59 31],[31.10344828 23.89655172] ; [50.89655172 39.10344828],0
p2,1,0.007307,7.196011,[21 34] ; [55 35],[28.82758621 26.17241379] ; [47.17241379 42.82758621],0
s2,1,0.008071,7.017576,[13 42] ; [41 49],[20.48275862 34.51724138] ; [33.51724138 56.48275862],0
s5,1,0.009013,6.82027,[ 5 45] ; [26 63],[11.15107914 38.84892086] ; [19.84892086 69.15107914],0
n4,1,0.014464,5.98064,[26 29] ; [61 29],[33. 22.] ; [54. 36.],0
u1,1,0.032861,4.553007,[ 3 52] ; [16 74],[ 7.20689655 47.79310345] ; [11.79310345 78.20689655],0
p6,1,0.045838,3.987542,[ 8 46] ; [26 62],[12.92957746 41.07042254] ; [21.07042254 66.92957746],0
b5,1,0.050203,3.834666,[27 28] ; [59 31],[32.62068966 22.37931034] ; [53.37931034 36.62068966],0
r3,1,0.056022,3.651408,[36 19] ; [71 18],[40.86805556 14.13194444] ; [66.13194444 22.86805556],0
p4,1,0.081107,3.042572,[16 39] ; [38 49],[20.91549296 34.08450704] ; [33.08450704 53.91549296],0
n2,1,0.08481,2.970217,[12 14] ; [27 13],[15.36363636 10.63636364] ; [23.63636364 16.36363636],0
p7,1,0.085043,2.965797,[17 37] ; [41 48],[21.9020979 32.0979021] ; [36.0979021 52.9020979],0
a3,1,0.106819,2.600669,[30 24] ; [62 28],[34.5 19.5] ; [57.5 32.5],0
r2,1,0.134538,2.239346,[42 12] ; [76 11],[45.19148936  8.80851064] ; [72.80851064 14.19148936],0
a1,1,0.136063,2.221923,[ 6 49] ; [ 4 86],[ 3.79310345 51.20689655] ; [ 6.20689655 83.79310345],0
v2,1,0.146983,2.103288,[13 38] ; [33 55],[16.87769784 34.12230216] ; [29.12230216 58.87769784],0
d5,1,0.154019,2.031984,[36 18] ; [69 20],[39.65034965 14.34965035] ; [65.34965035 23.65034965],0
u2,1,0.173424,1.853091,[13 12] ; [ 9 18],[10.57692308 14.42307692] ; [11.42307692 15.57692308],0
d1,1,0.178336,1.811434,[23 32] ; [48 42],[26.93103448 28.06896552] ; [44.06896552 45.93103448],0
d4,1,0.220703,1.499796,[35 18] ; [68 22],[38.17482517 14.82517483] ; [64.82517483 25.17482517],0
a6,1,0.2217,1.493333,[35 19] ; [49 41],[31.5 22.5] ; [52.5 37.5],0
d3,1,0.236723,1.400003,[28 25] ; [56 33],[31.35211268 21.64788732] ; [52.64788732 36.35211268],0
n1,1,0.26066,1.265251,[ 8 18] ; [17 21],[10.15625 15.84375] ; [14.84375 23.15625],0
a7,1,0.365977,0.817278,[33 22] ; [60 29],[35.52083333 19.47916667] ; [57.47916667 31.52083333],0
n3,1,0.368803,0.807692,[12 12] ; [24 15],[13.71428571 10.28571429] ; [22.28571429 16.71428571],0
s4,1,0.377601,0.778498,[10 45] ; [22 68],[12.13793103 42.86206897] ; [19.86206897 70.13793103],0
b2,1,0.384987,0.754717,[ 9 23] ; [18 30],[10.8 21.2] ; [16.2 31.8],0
b3,1,0.384987,0.754717,[ 9 23] ; [18 30],[10.8 21.2] ; [16.2 31.8],0
p3,1,0.386628,0.749521,[14 41] ; [29 61],[16.31034483 38.68965517] ; [26.68965517 63.31034483],0
s1,1,0.41497,0.664516,[ 5 50] ; [ 5 85],[ 3.79310345 51.20689655] ; [ 6.20689655 83.79310345],0
b4,1,0.56893,0.324476,[32 23] ; [48 42],[30.34482759 24.65517241] ; [49.65517241 40.34482759],0
a2,1,0.585206,0.297894,[ 9 46] ; [18 72],[10.24137931 44.75862069] ; [16.75862069 73.24137931],0
v3,1,0.629638,0.232552,[11 37] ; [24 66],[12.17391304 35.82608696] ; [22.82608696 67.17391304],0
p8,1,0.642882,0.214993,[13 40] ; [25 64],[14.18309859 38.81690141] ; [23.81690141 65.18309859],0
r1,1,0.648884,0.20731,[34 21] ; [59 31],[35.27586207 19.72413793] ; [57.72413793 32.27586207],0
d2,1,0.779586,0.078321,[26 28] ; [45 44],[26.81118881 27.18881119] ; [44.18881119 44.81118881],0
b1,1,0.84051,0.040498,[29 26] ; [49 41],[29.5862069 25.4137931] ; [48.4137931 41.5862069],0
u3,1,0.841542,0.039969,[10 14] ; [12 15],[10.35294118 13.64705882] ; [11.64705882 15.35294118],0
s3,1,0.850125,0.035705,[24 30] ; [41 48],[24.54545455 29.45454545] ; [40.45454545 48.54545455],0
p1,1,0.911261,0.012421,[ 4 51] ; [ 7 83],[ 4.17241379 50.82758621] ; [ 6.82758621 83.17241379],0
a8,1,0.919339,0.010255,[ 5 49] ; [ 7 73],[ 4.8358209 49.1641791] ; [ 7.1641791 72.8358209],0
a4,1,0.998044,6e-06,[21 34] ; [34 55],[21.00694444 33.99305556] ; [33.99305556 55.00694444],0
a5,1,1.0,0.0,[33 22] ; [54 36],[33. 22.] ; [54. 36.],0
