Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.1e-05,19.359293,[ 5 81] ; [22 44],[15.27631579 70.72368421] ; [11.72368421 54.27631579],1
p3,1,0.000102,15.09378,[ 5 82] ; [20 50],[13.85350318 73.14649682] ; [11.14649682 58.85350318],1
p8,1,0.000472,12.224552,[14 72] ; [29 41],[23.70512821 62.29487179] ; [19.29487179 50.70512821],1
v4,1,0.000714,11.453689,[64 23] ; [65  4],[71.94230769 15.05769231] ; [57.05769231 11.94230769],1
p11,1,0.003205,8.687072,[46 41] ; [53 17],[54.85987261 32.14012739] ; [44.14012739 25.85987261],0
p2,1,0.007567,7.133252,[48 39] ; [53 17],[55.96815287 31.03184713] ; [45.03184713 24.96815287],0
b3,1,0.00958,6.7114,[18 22] ; [ 8 35],[12.53012048 27.46987952] ; [13.46987952 29.53012048],0
b2,1,0.00958,6.7114,[18 22] ; [ 8 35],[12.53012048 27.46987952] ; [13.46987952 29.53012048],0
r3,1,0.014377,5.991229,[66 20] ; [64  6],[71.66666667 14.33333333] ; [58.33333333 11.66666667],0
r4,1,0.02569,4.976761,[54 33] ; [55 15],[60.40127389 26.59872611] ; [48.59872611 21.40127389],0
v1,1,0.037742,4.316614,[23 64] ; [28 38],[29. 58.] ; [22. 44.],0
v2,1,0.03851,4.282339,[27 53] ; [33 32],[33.10344828 46.89655172] ; [26.89655172 38.10344828],0
n4,1,0.074115,3.189455,[41 46] ; [43 27],[46.5477707 40.4522293] ; [37.4522293 32.5477707],0
s3,1,0.082323,3.018435,[35 49] ; [39 31],[40.36363636 43.63636364] ; [33.63636364 36.36363636],0
n1,1,0.107747,2.586963,[14 19] ; [ 5 18],[11.19642857 21.80357143] ; [ 7.80357143 15.19642857],0
d1,1,0.133074,2.256273,[28 59] ; [15 55],[23.82802548 63.17197452] ; [19.17197452 50.82802548],0
r2,1,0.149089,2.081552,[71 16] ; [62  7],[74.17307692 12.82692308] ; [58.82692308 10.17307692],0
s6,1,0.154105,2.031144,[35 51] ; [36 33],[39.39354839 46.60645161] ; [31.60645161 37.39354839],0
b4,1,0.160378,1.970657,[58 29] ; [39 31],[53.75159236 33.24840764] ; [43.24840764 26.75159236],0
b5,1,0.200167,1.641159,[56 31] ; [38 32],[52.08917197 34.91082803] ; [41.91082803 28.08917197],0
s2,1,0.20217,1.62663,[26 60] ; [28 42],[29.76923077 56.23076923] ; [24.23076923 45.76923077],0
p10,1,0.203272,1.618706,[45 39] ; [44 25],[48.8627451 35.1372549] ; [40.1372549 28.8627451],0
s7,1,0.220127,1.503541,[18 67] ; [20 47],[21.25 63.75] ; [16.75 50.25],0
n5,1,0.223314,1.482947,[45 42] ; [43 27],[48.76433121 38.23566879] ; [39.23566879 30.76433121],0
a8,1,0.226662,1.461687,[ 6 75] ; [ 9 58],[ 8.20945946 72.79054054] ; [ 6.79054054 60.20945946],0
n6,1,0.25642,1.287982,[56 31] ; [51 19],[59.29299363 27.70700637] ; [47.70700637 22.29299363],0
r1,1,0.278349,1.175135,[48 39] ; [44 25],[51.30769231 35.69230769] ; [40.69230769 28.30769231],0
n2,1,0.300806,1.070616,[20 13] ; [17  6],[21.80357143 11.19642857] ; [15.19642857  7.80357143],0
u3,1,0.303477,1.058853,[26 24] ; [16 23],[23.59550562 26.40449438] ; [18.40449438 20.59550562],0
a6,1,0.391534,0.734172,[42 45] ; [29 41],[39.34394904 47.65605096] ; [31.65605096 38.34394904],0
d5,1,0.420703,0.64835,[51 36] ; [36 33],[48.51923077 38.48076923] ; [38.48076923 30.51923077],0
p1,1,0.42888,0.625854,[ 8 79] ; [ 4 65],[ 6.69230769 80.30769231] ; [ 5.30769231 63.69230769],0
u2,1,0.441142,0.59331,[23 26] ; [21 17],[24.7816092 24.2183908] ; [19.2183908 18.7816092],0
s5,1,0.44663,0.579191,[14 69] ; [15 54],[15.83552632 67.16447368] ; [13.16447368 55.83552632],0
s8,1,0.456622,0.554163,[18 69] ; [18 52],[19.94904459 67.05095541] ; [16.05095541 53.94904459],0
p9,1,0.481459,0.495557,[52 31] ; [47 22],[54.05921053 28.94078947] ; [44.94078947 24.05921053],0
v3,1,0.516736,0.420402,[19 65] ; [19 51],[20.72727273 63.27272727] ; [17.27272727 52.72727273],0
a7,1,0.543431,0.369218,[52 34] ; [45 24],[53.81935484 32.18064516] ; [43.18064516 25.81935484],0
a1,1,0.571778,0.319717,[ 4 83] ; [ 2 68],[ 3.32484076 83.67515924] ; [ 2.67515924 67.32484076],0
a4,1,0.593026,0.285643,[15 71] ; [10 60],[13.78205128 72.21794872] ; [11.21794872 58.78205128],0
d2,1,0.659319,0.194352,[21 65] ; [15 55],[19.84615385 66.15384615] ; [16.15384615 53.84615385],0
d4,1,0.75461,0.097698,[54 32] ; [45 24],[54.92903226 31.07096774] ; [44.07096774 24.92903226],0
s1,1,0.764626,0.089647,[ 4 82] ; [ 4 66],[ 4.41025641 81.58974359] ; [ 3.58974359 66.41025641],0
u1,1,0.785584,0.074011,[ 3 84] ; [ 3 67],[ 3.32484076 83.67515924] ; [ 2.67515924 67.32484076],0
b1,1,0.803865,0.061677,[34 53] ; [26 44],[33.24840764 53.75159236] ; [26.75159236 43.24840764],0
a3,1,0.812314,0.056378,[37 49] ; [31 38],[37.72903226 48.27096774] ; [30.27096774 38.72903226],0
p12,1,0.823827,0.049562,[ 3 83] ; [ 2 68],[ 2.75641026 83.24358974] ; [ 2.24358974 67.75641026],0
s4,1,0.878026,0.023554,[17 70] ; [13 57],[16.62420382 70.37579618] ; [13.37579618 56.62420382],0
n3,1,0.910276,0.012699,[22 11] ; [15  8],[21.80357143 11.19642857] ; [15.19642857  7.80357143],0
d3,1,0.911842,0.012258,[43 44] ; [33 35],[42.65806452 44.34193548] ; [33.34193548 34.65806452],0
