Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,25.284911,[88  9] ; [10 12],[79.88235294 17.11764706] ; [18.11764706  3.88235294],1
p2,1,3e-06,21.763396,[87 11] ; [10 12],[79.21666667 18.78333333] ; [17.78333333  4.21666667],1
p3,1,0.000378,12.636775,[63 35] ; [ 5 17],[55.53333333 42.46666667] ; [12.46666667  9.53333333],1
s8,1,0.001213,10.471068,[59 38] ; [ 5 17],[52.16806723 44.83193277] ; [11.83193277 10.16806723],0
v4,1,0.005045,7.86315,[93  5] ; [16  5],[89.76470588  8.23529412] ; [19.23529412  1.76470588],0
p7,1,0.005648,7.659299,[69 27] ; [ 9 13],[63.45762712 32.54237288] ; [14.54237288  7.45762712],0
n1,1,0.009667,6.695268,[10 18] ; [7 1],[13.22222222 14.77777778] ; [3.77777778 4.22222222],0
n5,1,0.012575,6.22798,[75 23] ; [11 11],[70.23333333 27.76666667] ; [15.76666667  6.23333333],0
a5,1,0.014216,6.011132,[78 20] ; [12 10],[73.5 24.5] ; [16.5  5.5],0
p4,1,0.015726,5.833237,[67 31] ; [ 9 13],[62.06666667 35.93333333] ; [13.93333333  8.06666667],0
p8,1,0.022102,5.23776,[57 40] ; [ 7 15],[52.16806723 44.83193277] ; [11.83193277 10.16806723],0
a3,1,0.023818,5.107845,[79 18] ; [13  9],[74.99159664 22.00840336] ; [17.00840336  4.99159664],0
p11,1,0.047166,3.939459,[81 17] ; [14  8],[77.58333333 20.41666667] ; [17.41666667  4.58333333],0
s6,1,0.067634,3.339518,[65 33] ; [10 12],[61.25 36.75] ; [13.75  8.25],0
r4,1,0.074437,3.182364,[86 12] ; [16  6],[83.3 14.7] ; [18.7  3.3],0
p6,1,0.092286,2.834031,[40 55] ; [ 5 17],[36.53846154 58.46153846] ; [ 8.46153846 13.53846154],0
n4,1,0.109818,2.55684,[78 20] ; [14  8],[75.13333333 22.86666667] ; [16.86666667  5.13333333],0
v2,1,0.225717,1.467649,[53 43] ; [ 9 13],[50.44067797 45.55932203] ; [11.55932203 10.44067797],0
r3,1,0.226586,1.462167,[92  6] ; [19  3],[90.65  7.35] ; [20.35  1.65],0
v1,1,0.301243,1.068681,[51 45] ; [ 9 13],[48.81355932 47.18644068] ; [11.18644068 10.81355932],0
b4,1,0.32392,0.973053,[51 47] ; [14  8],[53.08333333 44.91666667] ; [11.91666667 10.08333333],0
u2,1,0.337419,0.920215,[14  5] ; [5 4],[12.89285714  6.10714286] ; [6.10714286 2.89285714],0
b1,1,0.343893,0.895864,[34 64] ; [10 12],[35.93333333 62.06666667] ; [ 8.06666667 13.93333333],0
v3,1,0.397276,0.716555,[44 51] ; [ 8 14],[42.22222222 52.77777778] ; [ 9.77777778 12.22222222],0
d3,1,0.471063,0.519481,[70 28] ; [14  8],[68.6 29.4] ; [15.4  6.6],0
s3,1,0.489438,0.477762,[28 69] ; [ 8 14],[29.34453782 67.65546218] ; [ 6.65546218 15.34453782],0
n3,1,0.490153,0.47619,[16 12] ; [5 2],[16.8 11.2] ; [4.2 2.8],0
a1,1,0.496507,0.462395,[ 2 96] ; [ 1 21],[ 2.45 95.55] ; [ 0.55 21.45],0
b2,1,0.537567,0.380068,[34 40] ; [ 6 10],[32.88888889 41.11111111] ; [7.11111111 8.88888889],0
b3,1,0.537567,0.380068,[34 40] ; [ 6 10],[32.88888889 41.11111111] ; [7.11111111 8.88888889],0
u1,1,0.638706,0.220439,[18 80] ; [ 5 17],[18.78333333 79.21666667] ; [ 4.21666667 17.78333333],0
d5,1,0.660633,0.192756,[76 22] ; [18  4],[76.76666667 21.23333333] ; [17.23333333  4.76666667],0
a7,1,0.689025,0.160143,[67 31] ; [16  6],[67.78333333 30.21666667] ; [15.21666667  6.78333333],0
n2,1,0.698908,0.14961,[19  9] ; [6 2],[19.44444444  8.55555556] ; [5.55555556 2.44444444],0
n6,1,0.738453,0.111491,[83 15] ; [18  4],[82.48333333 15.51666667] ; [18.51666667  3.48333333],0
s4,1,0.750137,0.101416,[11 87] ; [ 3 19],[11.43333333 86.56666667] ; [ 2.56666667 19.43333333],0
a6,1,0.836847,0.042407,[69 29] ; [15  7],[68.6 29.4] ; [15.4  6.6],0
a8,1,0.851251,0.035165,[12 73] ; [ 3 16],[12.25961538 72.74038462] ; [ 2.74038462 16.25961538],0
u3,1,0.856395,0.032749,[12  7] ; [6 3],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
a2,1,0.861462,0.030455,[24 74] ; [ 5 17],[23.68333333 74.31666667] ; [ 5.31666667 16.68333333],0
d2,1,0.862569,0.029965,[47 51] ; [11 11],[47.36666667 50.63333333] ; [10.63333333 11.36666667],0
d1,1,0.862569,0.029965,[51 47] ; [11 11],[50.63333333 47.36666667] ; [11.36666667 10.63333333],0
r1,1,0.893703,0.017854,[77 21] ; [17  5],[76.76666667 21.23333333] ; [17.23333333  4.76666667],0
d4,1,0.896674,0.016865,[79 19] ; [18  4],[79.21666667 18.78333333] ; [17.78333333  4.21666667],0
s5,1,0.92174,0.009651,[23 74] ; [ 5 17],[22.82352941 74.17647059] ; [ 5.17647059 16.82352941],0
b5,1,0.931056,0.007485,[50 48] ; [11 11],[49.81666667 48.18333333] ; [11.18333333 10.81666667],0
a4,1,0.951617,0.003682,[39 58] ; [ 9 13],[39.12605042 57.87394958] ; [ 8.87394958 13.12605042],0
r2,1,0.967026,0.001709,[87  9] ; [20  2],[87.05084746  8.94915254] ; [19.94915254  2.05084746],0
