Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.008829,6.857143,[32 16] ; [3 9],[28. 20.] ; [7. 5.],0
n5,1,0.012298,6.267361,[25 23] ; [11  1],[28.8 19.2] ; [7.2 4.8],0
s7,1,0.017055,5.690676,[ 5 38] ; [5 7],[ 7.81818182 35.18181818] ; [2.18181818 9.81818182],0
u3,1,0.026285,4.937143,[ 3 21] ; [4 4],[ 5.25 18.75] ; [1.75 6.25],0
p3,1,0.028481,4.798743,[ 9 38] ; [6 6],[11.94915254 35.05084746] ; [3.05084746 8.94915254],0
p8,1,0.029972,4.710888,[12 35] ; [7 5],[15.13559322 31.86440678] ; [3.86440678 8.13559322],0
s6,1,0.058137,3.589744,[14 34] ; [7 5],[16.8 31.2] ; [4.2 7.8],0
p7,1,0.068201,3.325792,[18 30] ; [8 4],[20.8 27.2] ; [5.2 6.8],0
n4,1,0.092562,2.829241,[23 25] ; [9 3],[25.6 22.4] ; [6.4 5.6],0
a5,1,0.119471,2.424242,[24 24] ; [3 9],[21.6 26.4] ; [5.4 6.6],0
v4,1,0.15189,2.053167,[25 23] ; [9 3],[27.2 20.8] ; [6.8 5.2],0
p11,1,0.19043,1.714286,[26 22] ; [9 3],[28. 20.] ; [7. 5.],0
b5,1,0.241051,1.374434,[29 19] ; [5 7],[27.2 20.8] ; [6.8 5.2],0
s1,1,0.242908,1.363636,[ 3 45] ; [ 2 10],[ 4. 44.] ; [ 1. 11.],0
r4,1,0.258636,1.276042,[11 37] ; [ 1 11],[ 9.6 38.4] ; [2.4 9.6],0
d1,1,0.258636,1.276042,[11 37] ; [ 1 11],[ 9.6 38.4] ; [2.4 9.6],0
r1,1,0.259796,1.269841,[16 32] ; [ 2 10],[14.4 33.6] ; [3.6 8.4],0
b3,1,0.266521,1.234568,[ 8 19] ; [1 8],[ 6.75 20.25] ; [2.25 6.75],0
b2,1,0.266521,1.234568,[ 8 19] ; [1 8],[ 6.75 20.25] ; [2.25 6.75],0
a3,1,0.272288,1.205184,[24 23] ; [4 8],[22.30508475 24.69491525] ; [5.69491525 6.30508475],0
s5,1,0.278076,1.176471,[ 6 42] ; [3 9],[ 7.2 40.8] ; [ 1.8 10.2],0
p2,1,0.288184,1.128085,[28 20] ; [9 3],[29.6 18.4] ; [7.4 4.6],0
n3,1,0.307434,1.041667,[13  7] ; [2 3],[12.  8.] ; [3. 2.],0
v2,1,0.346932,0.884648,[13 34] ; [5 7],[14.33898305 32.66101695] ; [3.66101695 8.33898305],0
s2,1,0.359823,0.838509,[10 38] ; [4 8],[11.2 36.8] ; [2.8 9.2],0
a6,1,0.363747,0.824916,[23 25] ; [4 8],[21.6 26.4] ; [5.4 6.6],0
p6,1,0.424322,0.638315,[ 7 39] ; [3 9],[ 7.93103448 38.06896552] ; [2.06896552 9.93103448],0
p4,1,0.429195,0.625,[18 30] ; [6 6],[19.2 28.8] ; [4.8 7.2],0
d3,1,0.434464,0.61086,[22 26] ; [4 8],[20.8 27.2] ; [5.2 6.8],0
p10,1,0.475997,0.508019,[22 25] ; [7 5],[23.10169492 23.89830508] ; [5.89830508 6.10169492],0
n1,1,0.504036,0.446429,[ 5 15] ; [2 3],[ 5.6 14.4] ; [1.4 3.6],0
a7,1,0.518605,0.416667,[25 23] ; [5 7],[24. 24.] ; [6. 6.],0
r3,1,0.524161,0.405699,[32 15] ; [7 5],[31.06779661 15.93220339] ; [7.93220339 4.06779661],0
u2,1,0.539498,0.376471,[12 12] ; [5 3],[12.75 11.25] ; [4.25 3.75],0
v1,1,0.559305,0.340909,[12 36] ; [4 8],[12.8 35.2] ; [3.2 8.8],0
s3,1,0.587435,0.294367,[12 35] ; [4 8],[12.74576271 34.25423729] ; [3.25423729 8.74576271],0
p1,1,0.795809,0.066964,[ 3 45] ; [ 1 11],[ 3.2 44.8] ; [ 0.8 11.2],0
a1,1,0.829638,0.046296,[ 5 43] ; [ 1 11],[ 4.8 43.2] ; [ 1.2 10.8],0
n2,1,0.840342,0.040584,[11  9] ; [3 2],[11.2  8.8] ; [2.8 2.2],0
s8,1,0.856544,0.03268,[ 7 41] ; [ 2 10],[ 7.2 40.8] ; [ 1.8 10.2],0
b1,1,0.895173,0.017361,[29 19] ; [7 5],[28.8 19.2] ; [7.2 4.8],0
d4,1,0.895173,0.017361,[29 19] ; [7 5],[28.8 19.2] ; [7.2 4.8],0
d5,1,0.897222,0.016685,[23 25] ; [6 6],[23.2 24.8] ; [5.8 6.2],0
p9,1,0.910146,0.012736,[26 20] ; [7 5],[26.17241379 19.82758621] ; [6.82758621 5.17241379],0
n6,1,0.955765,0.003077,[27 20] ; [7 5],[27.08474576 19.91525424] ; [6.91525424 5.08474576],0
a4,1,1.0,0.0,[12 36] ; [3 9],[12. 36.] ; [3. 9.],0
d2,1,1.0,0.0,[12 36] ; [3 9],[12. 36.] ; [3. 9.],0
