Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,52.513417,[121  17] ; [15 30],[102.55737705  35.44262295] ; [33.44262295 11.55737705],1
r1,1,0.000295,13.100122,[115  24] ; [26 20],[105.94054054  33.05945946] ; [35.05945946 10.94054054],1
p10,1,0.002117,9.444805,[118  17] ; [31 15],[111.13259669  23.86740331] ; [37.86740331  8.13259669],0
p9,1,0.007706,7.100461,[121  16] ; [33 13],[115.28961749  21.71038251] ; [38.71038251  7.28961749],0
r4,1,0.0104,6.565087,[128  11] ; [36 10],[123.22162162  15.77837838] ; [40.77837838  5.22162162],0
n6,1,0.010866,6.48718,[124  15] ; [34 12],[118.71351351  20.28648649] ; [39.28648649  6.71351351],0
p2,1,0.020715,5.350637,[115  23] ; [31 15],[109.5  28.5] ; [36.5  9.5],0
p6,1,0.022882,5.177476,[60 78] ; [11 34],[53.54098361 84.45901639] ; [17.45901639 27.54098361],0
d5,1,0.023324,5.144237,[120  19] ; [33 13],[114.95675676  24.04324324] ; [38.04324324  7.95675676],0
a4,1,0.024015,5.09353,[62 76] ; [12 34],[55.5 82.5] ; [18.5 27.5],0
u1,1,0.025801,4.969313,[ 29 110] ; [ 3 43],[ 24.04324324 114.95675676] ; [ 7.95675676 38.04324324],0
d2,1,0.035263,4.432384,[67 72] ; [14 32],[60.85945946 78.14054054] ; [20.14054054 25.85945946],0
b2,1,0.037231,4.339798,[36 55] ; [ 3 17],[31.97297297 59.02702703] ; [ 7.02702703 12.97297297],0
b3,1,0.037231,4.339798,[36 55] ; [ 3 17],[31.97297297 59.02702703] ; [ 7.02702703 12.97297297],0
b1,1,0.055494,3.667187,[42 97] ; [21 25],[47.33513514 91.66486486] ; [15.66486486 30.33513514],0
p11,1,0.063373,3.446827,[107  32] ; [29 17],[102.18378378  36.81621622] ; [33.81621622 12.18378378],0
a5,1,0.064275,3.423489,[112  27] ; [31 15],[107.44324324  31.55675676] ; [35.55675676 10.44324324],0
s8,1,0.064854,3.408696,[57 81] ; [12 34],[51.75 86.25] ; [17.25 28.75],0
p4,1,0.073889,3.194444,[95 43] ; [25 21],[90. 48.] ; [30. 16.],0
d4,1,0.081938,3.026035,[116  23] ; [33 13],[111.95135135  27.04864865] ; [37.04864865  8.95135135],0
v3,1,0.084388,2.978306,[54 80] ; [12 34],[49.13333333 84.86666667] ; [16.86666667 29.13333333],0
s4,1,0.091139,2.854146,[ 18 117] ; [11 35],[ 21.62983425 113.37016575] ; [ 7.37016575 38.62983425],0
v1,1,0.101146,2.687381,[85 53] ; [22 24],[80.25 57.75] ; [26.75 19.25],0
a2,1,0.146499,2.108335,[ 32 107] ; [ 6 40],[ 28.55135135 110.44864865] ; [ 9.44864865 36.55135135],0
r2,1,0.156639,2.006377,[126  11] ; [39  7],[123.52459016  13.47540984] ; [41.47540984  4.52459016],0
v4,1,0.163772,1.939052,[132   7] ; [41  5],[129.98378378   9.01621622] ; [43.01621622  2.98378378],0
