Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,88.790638,[193  42] ; [147 196],[138.23529412  96.76470588] ; [201.76470588 141.23529412],1
v1,1,0.0,26.088155,[160  78] ; [159 188],[129.78119658 108.21880342] ; [189.21880342 157.78119658],1
p12,1,1e-06,24.378623,[ 38 198] ; [ 15 339],[ 21.2 214.8] ; [ 31.8 322.2],1
p5,1,0.000521,12.038659,[ 39 198] ; [ 26 328],[ 26.06598985 210.93401015] ; [ 38.93401015 315.06598985],1
s7,1,0.001132,10.598899,[126  97] ; [144 195],[107.13523132 115.86476868] ; [162.86476868 176.13523132],0
s8,1,0.004008,8.280367,[118 116] ; [136 218],[101.08163265 132.91836735] ; [152.91836735 201.08163265],0
p3,1,0.004746,7.973706,[136 100] ; [162 192],[119.2 116.8] ; [178.8 175.2],0
n5,1,0.006391,7.436745,[191  47] ; [248 105],[176.78849408  61.21150592] ; [262.21150592  90.78849408],0
d1,1,0.00925,6.773935,[162  77] ; [203 152],[146.86026936  92.13973064] ; [218.13973064 136.86026936],0
s5,1,0.014499,5.976387,[ 90 139] ; [102 244],[ 76.46608696 152.53391304] ; [115.53391304 230.46608696],0
n4,1,0.015089,5.905989,[197  41] ; [263  91],[184.93243243  53.06756757] ; [275.06756757  78.93243243],0
p1,1,0.016264,5.774159,[ 29 208] ; [ 23 330],[ 20.88813559 216.11186441] ; [ 31.11186441 321.88813559],0
p8,1,0.032889,4.551541,[140  94] ; [178 172],[127.41780822 106.58219178] ; [190.58219178 159.41780822],0
s4,1,0.036725,4.363116,[ 29 205] ; [ 66 283],[ 38.13036021 195.86963979] ; [ 56.86963979 292.13036021],0
a1,1,0.039492,4.239593,[ 15 224] ; [ 10 345],[ 10.05892256 228.94107744] ; [ 14.94107744 340.05892256],0
n6,1,0.039687,4.231225,[213  24] ; [298  57],[204.57263514  32.42736486] ; [306.42736486  48.57263514],0
a2,1,0.04644,3.965576,[ 80 159] ; [ 92 263],[ 69.20538721 169.79461279] ; [102.79461279 252.20538721],0
p10,1,0.049512,3.857898,[203  32] ; [282  70],[194.16524702  40.83475298] ; [290.83475298  61.16524702],0
a4,1,0.053315,3.734011,[118 120] ; [147 207],[106.53716216 131.46283784] ; [158.46283784 195.53716216],0
d2,1,0.067346,3.346555,[127 110] ; [163 192],[116.09797297 120.90202703] ; [173.90202703 181.09797297],0
u1,1,0.073618,3.200458,[ 62 177] ; [ 70 285],[ 53.11111111 185.88888889] ; [ 78.88888889 276.11111111],0
p11,1,0.075072,3.168492,[197  42] ; [271  84],[188.3030303  50.6969697] ; [279.6969697  75.3030303],0
b4,1,0.076737,3.13269,[154  85] ; [203 152],[143.64141414  95.35858586] ; [213.35858586 141.64141414],0
p4,1,0.078456,3.096593,[155  79] ; [209 145],[144.85714286  89.14285714] ; [219.14285714 134.85714286],0
d3,1,0.087179,2.9257,[192  46] ; [265  90],[183.41652614  54.58347386] ; [273.58347386  81.41652614],0
p7,1,0.099016,2.721321,[156  73] ; [213 134],[146.703125  82.296875] ; [222.296875 124.703125],0
u4,1,0.103232,2.654888,[  6 233] ; [  3 352],[  3.62121212 235.37878788] ; [  5.37878788 349.62121212],0
a3,1,0.179922,1.798267,[178  59] ; [248 106],[170.83248731  66.16751269] ; [255.16751269  98.83248731],0
a5,1,0.189987,1.717715,[187  52] ; [261  94],[180.25589226  58.74410774] ; [267.74410774  87.25589226],0
p9,1,0.23367,1.418382,[204  29] ; [294  56],[199.02915952  33.97084048] ; [298.97084048  51.02915952],0
s2,1,0.24487,1.352338,[128 107] ; [175 178],[121.09693878 113.90306122] ; [181.90306122 171.09693878],0
r2,1,0.272878,1.202223,[236   3] ; [344   9],[234.15540541   4.84459459] ; [345.84459459   7.15540541],0
s3,1,0.334769,0.93036,[134  97] ; [191 163],[128.33333333 102.66666667] ; [196.66666667 157.33333333],0
u2,1,0.340169,0.909795,[38 23] ; [58 48],[35.06586826 25.93413174] ; [60.93413174 45.06586826],0
p6,1,0.368565,0.808496,[ 92 140] ; [127 226],[ 86.85128205 145.14871795] ; [132.14871795 220.85128205],0
r3,1,0.37143,0.798874,[236   3] ; [345   8],[234.55912162   4.44087838] ; [346.44087838   6.55912162],0
r1,1,0.459779,0.546432,[210  29] ; [301  50],[206.99830508  32.00169492] ; [304.00169492  46.99830508],0
n3,1,0.530832,0.392799,[30 10] ; [64 16],[31.33333333  8.66666667] ; [62.66666667 17.33333333],0
s6,1,0.542751,0.370465,[163  68] ; [240 112],[159.67924528  71.32075472] ; [243.32075472 108.67924528],0
d4,1,0.565081,0.330982,[202  36] ; [295  60],[199.47048904  38.52951096] ; [297.52951096  57.47048904],0
a8,1,0.630952,0.230771,[ 33 174] ; [ 47 279],[ 31.06941839 175.93058161] ; [ 48.93058161 277.06941839],0
d5,1,0.64707,0.209614,[195  43] ; [296  59],[197.0623946  40.9376054] ; [293.9376054  61.0623946],0
n1,1,0.650171,0.205685,[13 24] ; [32 49],[14.11016949 22.88983051] ; [30.88983051 50.11016949],0
n2,1,0.654721,0.2,[31  9] ; [59 21],[30. 10.] ; [60. 20.],0
p2,1,0.70843,0.13985,[201  36] ; [305  50],[202.57094595  34.42905405] ; [303.42905405  51.57094595],0
v4,1,0.72699,0.121893,[234   5] ; [346   9],[233.36700337   5.63299663] ; [346.63299663   8.36700337],0
b2,1,0.751712,0.100098,[55 98] ; [ 69 132],[53.59322034 99.40677966] ; [ 70.40677966 130.59322034],0
