Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.586531,[76 10] ; [25 22],[65.30827068 20.69172932] ; [35.69172932 11.30827068],1
a5,1,8e-06,19.848362,[53 33] ; [10 37],[40.73684211 45.26315789] ; [22.26315789 24.73684211],1
r2,1,0.002352,9.252628,[78  7] ; [33 13],[72.02290076 12.97709924] ; [38.97709924  7.02290076],0
r3,1,0.002822,8.919056,[82  4] ; [37 10],[76.94736842  9.05263158] ; [42.05263158  4.94736842],0
v2,1,0.033131,4.539007,[36 45] ; [12 35],[30.375 50.625] ; [17.625 29.375],0
p11,1,0.035591,4.416606,[63 23] ; [26 21],[57.54887218 28.45112782] ; [31.45112782 15.54887218],0
a4,1,0.062012,3.482739,[23 63] ; [ 6 41],[18.7518797 67.2481203] ; [10.2481203 36.7518797],0
a3,1,0.065012,3.404681,[50 36] ; [19 27],[44.95454545 41.04545455] ; [24.04545455 21.95454545],0
b4,1,0.06932,3.299058,[56 30] ; [23 24],[51.08270677 34.91729323] ; [27.91729323 19.08270677],0
n4,1,0.103802,2.646141,[38 48] ; [14 33],[33.62406015 52.37593985] ; [18.37593985 28.62406015],0
n3,1,0.148731,2.085217,[19  5] ; [8 6],[17.05263158  6.94736842] ; [9.94736842 4.05263158],0
s7,1,0.159143,1.982354,[27 55] ; [10 37],[23.51937984 58.48062016] ; [13.48062016 33.51937984],0
n6,1,0.167051,1.909206,[48 38] ; [32 15],[51.72932331 34.27067669] ; [28.27067669 18.72932331],0
v1,1,0.180144,1.796434,[36 49] ; [14 32],[32.44274809 52.55725191] ; [17.55725191 28.44274809],0
n2,1,0.220965,1.498095,[19  6] ; [8 6],[17.30769231  7.69230769] ; [9.69230769 4.30769231],0
b1,1,0.225586,1.46848,[31 55] ; [22 25],[34.27067669 51.72932331] ; [18.72932331 28.27067669],0
s6,1,0.234552,1.413043,[42 42] ; [18 28],[38.76923077 45.23076923] ; [21.23076923 24.76923077],0
b5,1,0.249313,1.327148,[46 40] ; [30 17],[49.14285714 36.85714286] ; [26.85714286 20.14285714],0
u1,1,0.250899,1.318289,[ 1 85] ; [ 2 45],[ 1.93984962 84.06015038] ; [ 1.06015038 45.93984962],0
s2,1,0.271656,1.208368,[28 57] ; [20 27],[30.90909091 54.09090909] ; [17.09090909 29.90909091],0
p7,1,0.271954,1.206866,[41 45] ; [26 19],[43.98473282 42.01526718] ; [23.01526718 21.98473282],0
s3,1,0.305798,1.048739,[42 43] ; [18 27],[39.23076923 45.76923077] ; [20.76923077 24.23076923],0
d4,1,0.312789,1.018864,[57 29] ; [27 20],[54.31578947 31.68421053] ; [29.68421053 17.31578947],0
a6,1,0.320085,0.988598,[48 38] ; [22 25],[45.26315789 40.73684211] ; [24.73684211 22.26315789],0
p6,1,0.35053,0.871537,[16 68] ; [12 34],[18.09230769 65.90769231] ; [ 9.90769231 36.09230769],0
a1,1,0.370865,0.800764,[ 4 82] ; [ 4 43],[ 5.17293233 80.82706767] ; [ 2.82706767 44.17293233],0
s8,1,0.381341,0.766376,[24 61] ; [10 37],[21.89393939 63.10606061] ; [12.10606061 34.89393939],0
v3,1,0.4173,0.657907,[21 60] ; [ 9 37],[19.13385827 61.86614173] ; [10.86614173 35.13385827],0
p12,1,0.451056,0.567996,[ 3 82] ; [ 3 44],[ 3.86363636 81.13636364] ; [ 2.13636364 44.86363636],0
u3,1,0.458522,0.549501,[19 15] ; [13 15],[17.5483871 16.4516129] ; [14.4516129 13.5483871],0
p8,1,0.460685,0.54423,[31 55] ; [20 27],[32.97744361 53.02255639] ; [18.02255639 28.97744361],0
p3,1,0.465824,0.531865,[31 55] ; [14 33],[29.09774436 56.90225564] ; [15.90225564 31.09774436],0
s5,1,0.469766,0.522527,[18 62] ; [13 33],[19.68253968 60.31746032] ; [11.31746032 34.68253968],0
s4,1,0.479616,0.499737,[15 71] ; [ 6 41],[13.57894737 72.42105263] ; [ 7.42105263 39.57894737],0
b3,1,0.492244,0.471617,[11 36] ; [ 8 18],[12.23287671 34.76712329] ; [ 6.76712329 19.23287671],0
b2,1,0.492244,0.471617,[11 36] ; [ 8 18],[12.23287671 34.76712329] ; [ 6.76712329 19.23287671],0
a7,1,0.53627,0.382497,[57 29] ; [28 18],[55.37878788 30.62121212] ; [29.62121212 16.37878788],0
u2,1,0.574826,0.314674,[17 17] ; [16 12],[18.09677419 15.90322581] ; [14.90322581 13.09677419],0
a8,1,0.602322,0.271508,[ 8 74] ; [ 3 40],[ 7.216 74.784] ; [ 3.784 39.216],0
p10,1,0.609668,0.260658,[49 37] ; [23 21],[47.63076923 38.36923077] ; [24.36923077 19.63076923],0
d5,1,0.622223,0.242756,[45 41] ; [22 24],[43.65151515 42.34848485] ; [23.34848485 22.65151515],0
p5,1,0.647693,0.20882,[ 4 82] ; [ 3 43],[ 4.56060606 81.43939394] ; [ 2.43939394 43.56060606],0
d3,1,0.689008,0.160162,[38 48] ; [22 24],[39.09090909 46.90909091] ; [20.90909091 25.09090909],0
v4,1,0.691023,0.15798,[75  9] ; [40  6],[74.30769231  9.69230769] ; [40.69230769  5.30769231],0
p1,1,0.724421,0.124296,[ 7 78] ; [ 3 43],[ 6.48854962 78.51145038] ; [ 3.51145038 42.48854962],0
a2,1,0.824096,0.049408,[ 3 83] ; [ 2 45],[ 3.23308271 82.76691729] ; [ 1.76691729 45.23308271],0
p9,1,0.852012,0.034802,[54 32] ; [29 16],[54.48854962 31.51145038] ; [28.51145038 16.48854962],0
n1,1,0.854928,0.033429,[ 6 19] ; [ 3 11],[ 5.76923077 19.23076923] ; [ 3.23076923 10.76923077],0
s1,1,0.895037,0.017406,[ 5 81] ; [ 3 44],[ 5.17293233 80.82706767] ; [ 2.82706767 44.17293233],0
p4,1,0.905472,0.014102,[32 54] ; [17 30],[31.68421053 54.31578947] ; [17.31578947 29.68421053],0
p2,1,0.965594,0.001861,[62 24] ; [33 13],[61.89393939 24.10606061] ; [33.10606061 12.89393939],0
d2,1,0.975182,0.000968,[ 9 77] ; [ 5 42],[ 9.05263158 76.94736842] ; [ 4.94736842 42.05263158],0
