Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.017767,5.619013,[11  2] ; [25 27],[7.2 5.8] ; [28.8 23.2],0
p1,1,0.048249,3.90129,[4 9] ; [ 5 47],[ 1.8 11.2] ; [ 7.2 44.8],0
p3,1,0.101829,2.676657,[5 8] ; [33 19],[7.6 5.4] ; [30.4 21.6],0
v3,1,0.12328,2.375145,[2 9] ; [22 29],[4.25806452 6.74193548] ; [19.74193548 31.25806452],0
a6,1,0.132867,2.258687,[5 8] ; [32 20],[7.4 5.6] ; [29.6 22.4],0
s7,1,0.150122,2.071007,[7 5] ; [40 11],[8.95238095 3.04761905] ; [38.04761905 12.95238095],0
n1,1,0.153338,2.03873,[4 1] ; [6 8],[2.63157895 2.36842105] ; [7.36842105 6.63157895],0
n3,1,0.169202,1.89,[3 3] ; [12  3],[4.28571429 1.71428571] ; [10.71428571  4.28571429],0
r2,1,0.230316,1.43891,[10  3] ; [43  5],[11.29508197  1.70491803] ; [41.70491803  6.29508197],0
s1,1,0.254442,1.29875,[ 2 11] ; [ 3 48],[ 1.015625 11.984375] ; [ 3.984375 47.015625],0
d5,1,0.258922,1.27451,[8 5] ; [40 12],[9.6 3.4] ; [38.4 13.6],0
s3,1,0.258922,1.27451,[8 5] ; [40 12],[9.6 3.4] ; [38.4 13.6],0
d3,1,0.263779,1.248814,[5 8] ; [29 23],[6.8 6.2] ; [27.2 24.8],0
p8,1,0.289682,1.121099,[5 8] ; [28 23],[6.703125 6.296875] ; [26.296875 24.703125],0
a3,1,0.294405,1.099366,[7 6] ; [36 16],[8.6 4.4] ; [34.4 17.6],0
p7,1,0.340251,0.909487,[7 6] ; [34 16],[8.46031746 4.53968254] ; [32.53968254 17.46031746],0
s5,1,0.341319,0.905472,[6 7] ; [14 30],[4.56140351 8.43859649] ; [15.43859649 28.56140351],0
p4,1,0.363933,0.824275,[7 6] ; [35 17],[8.4 4.6] ; [33.6 18.4],0
a5,1,0.363933,0.824275,[7 6] ; [35 17],[8.4 4.6] ; [33.6 18.4],0
p10,1,0.377544,0.778683,[12  1] ; [42  9],[10.96875  2.03125] ; [43.03125  7.96875],0
v4,1,0.404987,0.693469,[11  2] ; [47  4],[11.78125  1.21875] ; [46.21875  4.78125],0
n2,1,0.445009,0.583333,[5 1] ; [10  5],[4.28571429 1.71428571] ; [10.71428571  4.28571429],0
d1,1,0.454121,0.560345,[6 7] ; [30 22],[7.2 5.8] ; [28.8 23.2],0
d4,1,0.461743,0.541667,[9 4] ; [41 11],[10.  3.] ; [40. 12.],0
a2,1,0.472607,0.515873,[ 1 12] ; [ 8 44],[ 1.8 11.2] ; [ 7.2 44.8],0
p6,1,0.479074,0.50097,[6 7] ; [28 21],[7.12903226 5.87096774] ; [26.87096774 22.12903226],0
n4,1,0.501676,0.451389,[8 5] ; [37 15],[9. 4.] ; [36. 16.],0
r4,1,0.501676,0.451389,[10  3] ; [35 17],[9. 4.] ; [36. 16.],0
n5,1,0.585465,0.297483,[10  3] ; [36 16],[9.2 3.8] ; [36.8 15.2],0
u3,1,0.59536,0.282051,[3 3] ; [10  6],[3.54545455 2.45454545] ; [9.45454545 6.54545455],0
b1,1,0.612597,0.25641,[6 7] ; [20 32],[5.2 7.8] ; [20.8 31.2],0
s2,1,0.672038,0.179228,[9 4] ; [39 13],[9.6 3.4] ; [38.4 13.6],0
s4,1,0.672038,0.179228,[4 9] ; [13 39],[3.4 9.6] ; [13.6 38.4],0
a7,1,0.705765,0.142544,[7 6] ; [31 21],[7.6 5.4] ; [30.4 21.6],0
p9,1,0.705765,0.142544,[11  2] ; [46  6],[11.4  1.6] ; [45.6  6.4],0
p5,1,0.74847,0.102821,[ 1 11] ; [ 6 46],[ 1.3125 10.6875] ; [ 5.6875 46.3125],0
n6,1,0.756495,0.096154,[10  3] ; [42 10],[10.4  2.6] ; [41.6 10.4],0
a4,1,0.795327,0.067288,[5 8] ; [18 34],[4.6 8.4] ; [18.4 33.6],0
p12,1,0.796356,0.066598,[ 1 12] ; [ 3 49],[ 0.8 12.2] ; [ 3.2 48.8],0
d2,1,0.802214,0.062741,[6 7] ; [22 30],[5.6 7.4] ; [22.4 29.6],0
u2,1,0.856417,0.032738,[4 2] ; [10  6],[3.81818182 2.18181818] ; [10.18181818  5.81818182],0
v2,1,0.86478,0.029,[5 5] ; [27 24],[5.24590164 4.75409836] ; [26.75409836 24.24590164],0
b5,1,0.897747,0.016514,[8 5] ; [33 19],[8.2 4.8] ; [32.8 19.2],0
s6,1,0.944501,0.004846,[10  3] ; [38 12],[9.9047619 3.0952381] ; [38.0952381 11.9047619],0
b2,1,1.0,0.0,[4 8] ; [12 24],[4. 8.] ; [12. 24.],0
v1,1,1.0,0.0,[6 6] ; [25 25],[6. 6.] ; [25. 25.],0
b3,1,1.0,0.0,[4 8] ; [12 24],[4. 8.] ; [12. 24.],0
