Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.002187,9.385346,[15  2] ; [4 8],[11.13793103  5.86206897] ; [7.86206897 4.13793103],0
p3,1,0.07776,3.111111,[ 2 14] ; [5 7],[ 4. 12.] ; [3. 9.],0
p2,1,0.089906,2.876058,[9 8] ; [10  2],[11.13793103  5.86206897] ; [7.86206897 4.13793103],0
v1,1,0.089906,2.876058,[8 9] ; [ 2 10],[ 5.86206897 11.13793103] ; [4.13793103 7.86206897],0
u3,1,0.09073,2.861376,[5 4] ; [1 6],[3.375 5.625] ; [2.625 4.375],0
u2,1,0.152338,2.048677,[7 2] ; [3 4],[5.625 3.375] ; [4.375 2.625],0
s2,1,0.154052,2.031658,[ 3 14] ; [5 7],[ 4.68965517 12.31034483] ; [3.31034483 8.68965517],0
d4,1,0.15789,1.994317,[15  2] ; [8 4],[13.48275862  3.51724138] ; [9.51724138 2.48275862],0
p4,1,0.21918,1.509733,[ 6 11] ; [7 5],[7.62068966 9.37931034] ; [5.37931034 6.62068966],0
d5,1,0.21918,1.509733,[11  6] ; [5 7],[9.37931034 7.62068966] ; [6.62068966 5.37931034],0
s3,1,0.227195,1.458333,[ 6 10] ; [ 2 10],[ 4.57142857 11.42857143] ; [3.42857143 8.57142857],0
b4,1,0.227907,1.453877,[9 8] ; [9 3],[10.55172414  6.44827586] ; [7.44827586 4.55172414],0
v4,1,0.227907,1.453877,[9 8] ; [9 3],[10.55172414  6.44827586] ; [7.44827586 4.55172414],0
r3,1,0.268994,1.221872,[11  6] ; [10  2],[12.31034483  4.68965517] ; [8.68965517 3.31034483],0
v3,1,0.285982,1.13844,[ 4 13] ; [ 1 11],[ 2.93103448 14.06896552] ; [2.06896552 9.93103448],0
b3,1,0.301409,1.067949,[ 2 10] ; [2 3],[2.82352941 9.17647059] ; [1.17647059 3.82352941],0
b2,1,0.301409,1.067949,[ 2 10] ; [2 3],[2.82352941 9.17647059] ; [1.17647059 3.82352941],0
n3,1,0.307741,1.040344,[4 3] ; [5 1],[4.84615385 2.15384615] ; [4.15384615 1.84615385],0
r4,1,0.330931,0.945251,[ 3 14] ; [4 8],[ 4.10344828 12.89655172] ; [2.89655172 9.10344828],0
s5,1,0.352732,0.863603,[ 2 15] ; [3 9],[ 2.93103448 14.06896552] ; [2.06896552 9.93103448],0
p11,1,0.36249,0.829248,[ 7 10] ; [7 5],[8.20689655 8.79310345] ; [5.79310345 6.20689655],0
n2,1,0.390636,0.736961,[3 4] ; [4 2],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
v2,1,0.42956,0.624013,[ 5 12] ; [ 2 10],[ 4.10344828 12.89655172] ; [2.89655172 9.10344828],0
d2,1,0.42956,0.624013,[ 5 12] ; [ 2 10],[ 4.10344828 12.89655172] ; [2.89655172 9.10344828],0
p6,1,0.435678,0.607639,[ 3 13] ; [ 1 11],[ 2.28571429 13.71428571] ; [ 1.71428571 10.28571429],0
s7,1,0.472607,0.515873,[ 4 10] ; [ 2 10],[ 3.23076923 10.76923077] ; [2.76923077 9.23076923],0
n4,1,0.494084,0.467621,[ 5 12] ; [5 7],[ 5.86206897 11.13793103] ; [4.13793103 7.86206897],0
p7,1,0.549563,0.3581,[9 8] ; [5 7],[8.20689655 8.79310345] ; [5.79310345 6.20689655],0
d1,1,0.555086,0.348284,[ 6 11] ; [3 9],[ 5.27586207 11.72413793] ; [3.72413793 8.27586207],0
n1,1,0.611541,0.257937,[2 5] ; [1 5],[1.61538462 5.38461538] ; [1.38461538 4.61538462],0
r1,1,0.668129,0.183799,[ 7 10] ; [4 8],[ 6.44827586 10.55172414] ; [4.55172414 7.44827586],0
d3,1,0.668129,0.183799,[10  7] ; [8 4],[10.55172414  6.44827586] ; [7.44827586 4.55172414],0
a1,1,0.765064,0.089304,[ 2 15] ; [ 1 11],[ 1.75862069 15.24137931] ; [ 1.24137931 10.75862069],0
a3,1,0.773675,0.082697,[8 9] ; [5 7],[7.62068966 9.37931034] ; [5.37931034 6.62068966],0
a5,1,0.773675,0.082697,[8 9] ; [5 7],[7.62068966 9.37931034] ; [5.37931034 6.62068966],0
p12,1,0.797533,0.065813,[ 1 16] ; [ 1 11],[ 1.17241379 15.82758621] ; [ 0.82758621 11.17241379],0
a6,1,0.875948,0.02437,[8 9] ; [6 6],[8.20689655 8.79310345] ; [5.79310345 6.20689655],0
p8,1,0.912875,0.011971,[ 6 11] ; [4 8],[ 5.86206897 11.13793103] ; [4.13793103 7.86206897],0
s8,1,0.927375,0.008308,[ 4 13] ; [3 9],[ 4.10344828 12.89655172] ; [2.89655172 9.10344828],0
b5,1,0.97894,0.000697,[10  7] ; [7 5],[9.96551724 7.03448276] ; [7.03448276 4.96551724],0
s6,1,0.97894,0.000697,[ 7 10] ; [5 7],[7.03448276 9.96551724] ; [4.96551724 7.03448276],0
p9,1,0.97894,0.000697,[ 7 10] ; [5 7],[7.03448276 9.96551724] ; [4.96551724 7.03448276],0
p10,1,0.97894,0.000697,[ 7 10] ; [5 7],[7.03448276 9.96551724] ; [4.96551724 7.03448276],0
a7,1,0.97894,0.000697,[10  7] ; [7 5],[9.96551724 7.03448276] ; [7.03448276 4.96551724],0
