Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,1e-06,23.174059,[ 21 374] ; [5 8],[ 25.17156863 369.82843137] ; [ 0.82843137 12.17156863],1
r1,1,3.1e-05,17.345255,[329  65] ; [5 8],[323.33169533  70.66830467] ; [10.66830467  2.33169533],1
v1,1,0.014058,6.03083,[193 193] ; [ 2 11],[188.64661654 197.35338346] ; [6.35338346 6.64661654],0
a8,1,0.014664,5.956404,[ 39 328] ; [4 8],[ 41.63852243 325.36147757] ; [ 1.36147757 10.63852243],0
a7,1,0.086992,2.929171,[296  99] ; [7 6],[293.34558824 101.65441176] ; [9.65441176 3.34558824],0
a5,1,0.08952,2.882988,[272 125] ; [6 7],[269.18536585 127.81463415] ; [8.81463415 4.18536585],0
s1,1,0.096039,2.770119,[  6 382] ; [ 1 12],[  6.77306733 381.22693267] ; [ 0.22693267 12.77306733],0
u2,1,0.105689,2.617531,[76 77] ; [5 1],[77.94339623 75.05660377] ; [3.05660377 2.94339623],0
p12,1,0.123363,2.374096,[ 21 372] ; [ 2 11],[ 22.2635468 370.7364532] ; [ 0.7364532 12.2635468],0
d5,1,0.12375,2.369202,[314  82] ; [8 5],[311.76528117  84.23471883] ; [10.23471883  2.76528117],0
n4,1,0.198824,1.650995,[279 117] ; [7 6],[276.90953545 119.09046455] ; [9.09046455 3.90953545],0
u3,1,0.241027,1.374576,[88 65] ; [2 4],[86.60377358 66.39622642] ; [3.39622642 2.60377358],0
a1,1,0.255984,1.290348,[ 10 387] ; [ 1 12],[ 10.65121951 386.34878049] ; [ 0.34878049 12.65121951],0
p11,1,0.266919,1.232512,[317  80] ; [12  1],[318.56829268  78.43170732] ; [10.43170732  2.56829268],0
d1,1,0.2801,1.166607,[213 184] ; [5 8],[211.08780488 185.91219512] ; [6.91219512 6.08780488],0
p2,1,0.290146,1.118942,[320  75] ; [9 4],[318.51715686  76.48284314] ; [10.48284314  2.51715686],0
b5,1,0.296163,1.091393,[249 148] ; [10  3],[250.78780488 146.21219512] ; [8.21219512 4.78780488],0
v2,1,0.308874,1.035485,[198 177] ; [5 8],[196.19845361 178.80154639] ; [6.80154639 6.19845361],0
d4,1,0.323892,0.973164,[319  78] ; [9 4],[317.6  79.4] ; [10.4  2.6],0
v4,1,0.344389,0.894026,[385  12] ; [12  1],[384.41219512  12.58780488] ; [12.58780488  0.41219512],0
n2,1,0.360825,0.835019,[69 20] ; [1 1],[68.46153846 20.53846154] ; [1.53846154 0.46153846],0
d2,1,0.365321,0.819519,[163 232] ; [7 6],[164.58333333 230.41666667] ; [5.41666667 7.58333333],0
n3,1,0.367205,0.8131,[68 20] ; [1 1],[67.46666667 20.53333333] ; [1.53333333 0.46666667],0
p7,1,0.388557,0.743453,[222 166] ; [9 4],[223.51122195 164.48877805] ; [7.48877805 5.51122195],0
b1,1,0.419763,0.650977,[140 257] ; [6 7],[141.37073171 255.62926829] ; [4.62926829 8.37073171],0
p4,1,0.433916,0.612319,[198 194] ; [8 5],[199.38765432 192.61234568] ; [6.61234568 6.38765432],0
p3,1,0.442699,0.589277,[164 232] ; [4 9],[162.6601467 233.3398533] ; [5.3398533 7.6601467],0
a6,1,0.446146,0.580425,[283 114] ; [8 5],[281.77317073 115.22682927] ; [9.22682927 3.77317073],0
s6,1,0.50149,0.451783,[201 185] ; [8 5],[202.19047619 183.80952381] ; [6.80952381 6.19047619],0
a4,1,0.526116,0.401887,[156 239] ; [4 9],[154.90196078 240.09803922] ; [5.09803922 7.90196078],0
a3,1,0.597398,0.278939,[242 154] ; [7 6],[241.08557457 154.91442543] ; [7.91442543 5.08557457],0
v3,1,0.624592,0.239466,[121 257] ; [5 8],[121.81074169 256.18925831] ; [4.18925831 8.81074169],0
p9,1,0.651401,0.204138,[310  80] ; [11  2],[310.64516129  79.35483871] ; [10.35483871  2.64516129],0
p8,1,0.702374,0.146014,[189 201] ; [7 6],[189.67741935 200.32258065] ; [6.32258065 6.67741935],0
n6,1,0.727936,0.121016,[319  76] ; [11  2],[319.48529412  75.51470588] ; [10.51470588  2.48529412],0
d3,1,0.775147,0.081595,[259 137] ; [9 4],[259.48166259 136.51833741] ; [8.51833741 4.48166259],0
p6,1,0.828312,0.047031,[109 280] ; [4 9],[109.34577114 279.65422886] ; [3.65422886 9.34577114],0
s8,1,0.835842,0.042938,[ 82 314] ; [ 3 10],[ 82.29828851 313.70171149] ; [ 2.70171149 10.29828851],0
p1,1,0.874132,0.025095,[ 26 369] ; [ 1 12],[ 26.13970588 368.86029412] ; [ 0.86029412 12.13970588],0
p10,1,0.919601,0.010188,[296  95] ; [10  3],[296.15346535  94.84653465] ; [9.84653465 3.15346535],0
s3,1,0.920107,0.01006,[155 234] ; [5 8],[154.82587065 234.17412935] ; [5.17412935 7.82587065],0
n5,1,0.921755,0.009648,[267 126] ; [9 4],[267.16256158 125.83743842] ; [8.83743842 4.16256158],0
b4,1,0.922787,0.009394,[239 158] ; [8 5],[239.16829268 157.83170732] ; [7.83170732 5.16829268],0
s2,1,0.947767,0.004292,[117 274] ; [4 9],[117.10643564 273.89356436] ; [3.89356436 9.10643564],0
s5,1,0.972912,0.001153,[ 89 290] ; [ 3 10],[ 88.94897959 290.05102041] ; [3.05102041 9.94897959],0
b3,1,1.0,0.0,[ 71 142] ; [2 4],[ 71. 142.] ; [2. 4.],0
b2,1,1.0,0.0,[ 71 142] ; [2 4],[ 71. 142.] ; [2. 4.],0
