Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,9e-05,15.341536,[14 89] ; [23 33],[23.96855346 79.03144654] ; [13.03144654 42.96855346],1
v2,1,0.000924,10.973291,[35 67] ; [34 21],[44.82802548 57.17197452] ; [24.17197452 30.82802548],1
a4,1,0.003525,8.513392,[23 84] ; [25 33],[31.12727273 75.87272727] ; [16.87272727 41.12727273],0
a5,1,0.007222,7.216825,[43 64] ; [36 22],[51.23030303 55.76969697] ; [27.76969697 30.23030303],0
s6,1,0.009036,6.815782,[43 64] ; [34 21],[50.85802469 56.14197531] ; [26.14197531 28.85802469],0
p10,1,0.009373,6.750317,[61 44] ; [44 12],[68.47826087 36.52173913] ; [36.52173913 19.47826087],0
p9,1,0.010138,6.610459,[65 39] ; [46 10],[72.15 31.85] ; [38.85 17.15],0
r1,1,0.011195,6.434096,[64 43] ; [46 12],[71.33333333 35.66666667] ; [38.66666667 19.33333333],0
n2,1,0.011812,6.338908,[25 21] ; [24  5],[30.05333333 15.94666667] ; [18.94666667 10.05333333],0
s8,1,0.024365,5.068486,[19 88] ; [19 38],[24.79268293 82.20731707] ; [13.20731707 43.79268293],0
s2,1,0.033056,4.542877,[35 71] ; [29 29],[41.36585366 64.63414634] ; [22.63414634 35.36585366],0
s7,1,0.083527,2.994898,[22 81] ; [19 37],[26.55974843 76.44025157] ; [14.44025157 41.55974843],0
a2,1,0.089784,2.878239,[ 9 98] ; [10 48],[12.32121212 94.67878788] ; [ 6.67878788 51.32121212],0
p5,1,0.091326,2.850842,[  1 104] ; [ 3 54],[  2.59259259 102.40740741] ; [ 1.40740741 55.59259259],0
r4,1,0.099565,2.712496,[74 33] ; [47 11],[78.46666667 28.53333333] ; [42.53333333 15.46666667],0
a3,1,0.126003,2.341069,[55 52] ; [37 21],[59.66060606 47.33939394] ; [32.33939394 25.66060606],0
u2,1,0.129819,2.294664,[24 27] ; [14  7],[26.91666667 24.08333333] ; [11.08333333  9.91666667],0
s5,1,0.148475,2.087852,[20 85] ; [16 39],[23.625 81.375] ; [12.375 42.625],0
s3,1,0.188964,1.725679,[43 64] ; [29 28],[46.97560976 60.02439024] ; [25.02439024 31.97560976],0
v4,1,0.22189,1.492105,[91 14] ; [53  4],[93.33333333 11.66666667] ; [50.66666667  6.33333333],0
b3,1,0.226907,1.460148,[12 38] ; [10 17],[14.28571429 35.71428571] ; [ 7.71428571 19.28571429],0
b2,1,0.226907,1.460148,[12 38] ; [10 17],[14.28571429 35.71428571] ; [ 7.71428571 19.28571429],0
b4,1,0.229457,1.444227,[56 51] ; [36 22],[59.66060606 47.33939394] ; [32.33939394 25.66060606],0
