Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.003845,8.355411,[ 5 23] ; [14 11],[10.03773585 17.96226415] ; [ 8.96226415 16.03773585],0
d5,1,0.010908,6.48027,[12 16] ; [20  6],[16.59259259 11.40740741] ; [15.40740741 10.59259259],0
a7,1,0.027451,4.862251,[11 17] ; [18  8],[15.03703704 12.96296296] ; [13.96296296 12.03703704],0
d1,1,0.057322,3.613235,[ 7 21] ; [13 13],[10.37037037 17.62962963] ; [ 9.62962963 16.37037037],0
a3,1,0.05929,3.557128,[13 15] ; [18  7],[16.37735849 11.62264151] ; [14.62264151 10.37735849],0
r4,1,0.088506,2.901334,[10 18] ; [ 4 22],[ 7.25925926 20.74074074] ; [ 6.74074074 19.25925926],0
r2,1,0.124965,2.353968,[17 11] ; [ 9 14],[14.2745098 13.7254902] ; [11.7254902 11.2745098],0
p4,1,0.125498,2.347328,[ 3 25] ; [ 7 19],[ 5.18518519 22.81481481] ; [ 4.81481481 21.18518519],0
d2,1,0.1321,2.267654,[11 17] ; [15 10],[13.73584906 14.26415094] ; [12.26415094 12.73584906],0
p9,1,0.133767,2.248237,[ 9 18] ; [13 11],[11.64705882 15.35294118] ; [10.35294118 13.64705882],0
s4,1,0.186036,1.748733,[ 4 24] ; [ 1 25],[ 2.59259259 25.40740741] ; [ 2.40740741 23.59259259],0
p6,1,0.186262,1.746938,[ 4 23] ; [ 1 24],[ 2.59615385 24.40384615] ; [ 2.40384615 22.59615385],0
a1,1,0.186387,1.74595,[ 2 26] ; [ 5 21],[ 3.62962963 24.37037037] ; [ 3.37037037 22.62962963],0
b4,1,0.22053,1.500917,[16 12] ; [19  7],[18.14814815  9.85185185] ; [16.85185185  9.14814815],0
s6,1,0.279321,1.170389,[ 9 19] ; [ 5 21],[ 7.25925926 20.74074074] ; [ 6.74074074 19.25925926],0
p10,1,0.282287,1.156047,[ 8 19] ; [11 14],[ 9.86538462 17.13461538] ; [ 9.13461538 15.86538462],0
p11,1,0.283639,1.149572,[11 17] ; [14 12],[12.96296296 15.03703704] ; [12.03703704 13.96296296],0
a8,1,0.31335,1.016504,[ 3 25] ; [ 5 19],[ 4.30769231 23.69230769] ; [ 3.69230769 20.30769231],0
d4,1,0.335592,0.927198,[17 11] ; [19  7],[18.66666667  9.33333333] ; [17.33333333  8.66666667],0
n4,1,0.335592,0.927198,[17 11] ; [19  7],[18.66666667  9.33333333] ; [17.33333333  8.66666667],0
b5,1,0.407834,0.685107,[15 13] ; [11 15],[13.48148148 14.51851852] ; [12.51851852 13.48148148],0
d3,1,0.435323,0.608579,[10 18] ; [12 14],[11.40740741 16.59259259] ; [10.59259259 15.40740741],0
a6,1,0.435323,0.608579,[10 18] ; [12 14],[11.40740741 16.59259259] ; [10.59259259 15.40740741],0
s3,1,0.457942,0.550919,[ 9 18] ; [ 6 19],[ 7.78846154 19.21153846] ; [ 7.21153846 17.78846154],0
p5,1,0.486132,0.485076,[ 1 27] ; [ 2 23],[ 1.58490566 26.41509434] ; [ 1.41509434 23.58490566],0
v2,1,0.497315,0.460661,[ 8 19] ; [10 16],[ 9.16981132 17.83018868] ; [ 8.83018868 17.16981132],0
