Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,49.815359,[ 30 127] ; [124 101],[63.29319372 93.70680628] ; [ 90.70680628 134.29319372],1
v1,1,0.0,26.110095,[60 97] ; [145  79],[84.47506562 72.52493438] ; [120.52493438 103.47506562],1
a5,1,0.000157,14.285602,[105  55] ; [191  41],[120.81632653  39.18367347] ; [175.18367347  56.81632653],1
d1,1,0.000949,10.924291,[84 76] ; [160  72],[99.59183673 60.40816327] ; [144.40816327  87.59183673],1
s4,1,0.001873,9.670491,[ 53 103] ; [ 46 185],[ 39.90697674 116.09302326] ; [ 59.09302326 171.90697674],0
d5,1,0.002553,9.102108,[118  39] ; [202  30],[129.15167095  27.84832905] ; [190.84832905  41.15167095],0
s8,1,0.006117,7.515476,[81 79] ; [149  82],[94.11764706 65.88235294] ; [135.88235294  95.11764706],0
r3,1,0.01082,6.494682,[147  12] ; [225   5],[152.05141388   6.94858612] ; [219.94858612  10.05141388],0
s7,1,0.013188,6.143765,[92 59] ; [163  60],[102.95454545  48.04545455] ; [152.04545455  70.95454545],0
p12,1,0.021288,5.303042,[  6 154] ; [ 23 208],[ 11.86700767 148.13299233] ; [ 17.13299233 213.86700767],0
s1,1,0.022961,5.171423,[ 12 146] ; [  6 222],[  7.36787565 150.63212435] ; [ 10.63212435 217.36787565],0
d4,1,0.029633,4.730446,[127  31] ; [205  27],[134.5025641  23.4974359] ; [197.4974359  34.5025641],0
d2,1,0.032744,4.559098,[72 87] ; [130 101],[82.35384615 76.64615385] ; [119.64615385 111.35384615],0
p9,1,0.039593,4.235256,[129  29] ; [203  25],[135.89637306  22.10362694] ; [196.10362694  31.89637306],0
b4,1,0.054514,3.696902,[83 77] ; [143  89],[92.24489796 67.75510204] ; [133.75510204  98.24489796],0
r1,1,0.071206,3.254997,[121  38] ; [192  38],[127.93573265  31.06426735] ; [185.06426735  44.93573265],0
n4,1,0.09275,2.825988,[115  44] ; [184  47],[121.9  37.1] ; [177.1  53.9],0
b1,1,0.115625,2.475602,[72 88] ; [ 86 146],[64.48979592 95.51020408] ; [ 93.51020408 138.48979592],0
r2,1,0.122598,2.383807,[148  10] ; [222   7],[151.05943152   6.94056848] ; [218.94056848  10.05943152],0
u1,1,0.144941,2.124701,[ 30 130] ; [ 58 174],[ 35.91836735 124.08163265] ; [ 52.08163265 179.91836735],0
n5,1,0.162409,1.951653,[115  45] ; [178  50],[120.82474227  39.17525773] ; [172.17525773  55.82474227],0
a3,1,0.205197,1.604992,[112  48] ; [175  56],[117.44245524  42.55754476] ; [169.55754476  61.44245524],0
n6,1,0.208951,1.578679,[129  30] ; [195  32],[133.4611399  25.5388601] ; [190.5388601  36.4611399],0
n3,1,0.21292,1.55146,[29 15] ; [35 10],[31.64044944 12.35955056] ; [32.35955056 12.64044944],0
u2,1,0.218403,1.514834,[30 17] ; [29 27],[26.9223301 20.0776699] ; [32.0776699 23.9223301],0
a2,1,0.239215,1.385214,[ 37 123] ; [ 66 166],[ 42.04081633 117.95918367] ; [ 60.95918367 171.04081633],0
p7,1,0.276158,1.185899,[96 60] ; [150  74],[100.98947368  55.01052632] ; [145.01052632  78.98947368],0
a8,1,0.276598,1.183729,[ 21 131] ; [ 38 172],[ 24.77348066 127.22651934] ; [ 34.22651934 175.77348066],0
p10,1,0.285343,1.141465,[129  30] ; [196  34],[132.84061697  26.15938303] ; [192.15938303  37.84061697],0
p6,1,0.342292,0.901827,[ 59 101] ; [ 95 133],[63.50515464 96.49484536] ; [ 90.49484536 137.50515464],0
r4,1,0.342474,0.901149,[140  20] ; [210  22],[142.85714286  17.14285714] ; [207.14285714  24.85714286],0
d3,1,0.34623,0.887228,[106  52] ; [166  66],[110.19487179  47.80512821] ; [161.80512821  70.19487179],0
p1,1,0.364395,0.822688,[ 11 148] ; [ 11 220],[  8.96923077 150.03076923] ; [ 13.03076923 217.96923077],0
p8,1,0.373011,0.793608,[73 87] ; [114 113],[77.3126615 82.6873385] ; [109.6873385 117.3126615],0
s5,1,0.389594,0.74021,[65 92] ; [100 118],[69.08 87.92] ; [ 95.92 122.08],0
