Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.012172,6.285714,[10 18] ; [12  4],[14. 14.] ; [8. 8.],0
p1,1,0.040264,4.20671,[10 20] ; [ 1 15],[ 7.17391304 22.82608696] ; [ 3.82608696 12.17391304],0
b3,1,0.081754,3.029692,[ 6 12] ; [9 5],[8.4375 9.5625] ; [6.5625 7.4375],0
b2,1,0.081754,3.029692,[ 6 12] ; [9 5],[8.4375 9.5625] ; [6.5625 7.4375],0
p7,1,0.096264,2.766369,[18 10] ; [14  2],[20.36363636  7.63636364] ; [11.63636364  4.36363636],0
p11,1,0.096412,2.763914,[22  8] ; [15  1],[24.13043478  5.86956522] ; [12.86956522  3.13043478],0
d5,1,0.125375,2.348856,[20 10] ; [14  2],[22.17391304  7.82608696] ; [11.82608696  4.17391304],0
a4,1,0.14311,2.144194,[12 18] ; [ 3 13],[ 9.7826087 20.2173913] ; [ 5.2173913 10.7826087],0
b1,1,0.151547,2.056614,[14 16] ; [ 4 12],[11.73913043 18.26086957] ; [6.26086957 9.73913043],0
p8,1,0.173726,1.850494,[22  7] ; [9 7],[19.97777778  9.02222222] ; [11.02222222  4.97777778],0
a3,1,0.208458,1.582106,[19 11] ; [13  3],[20.86956522  9.13043478] ; [11.13043478  4.86956522],0
s2,1,0.215613,1.533333,[17 13] ; [ 6 10],[15. 15.] ; [8. 8.],0
s3,1,0.269964,1.216931,[20 10] ; [8 8],[18.26086957 11.73913043] ; [9.73913043 6.26086957],0
b5,1,0.305885,1.048359,[14 16] ; [10  6],[15.65217391 14.34782609] ; [8.34782609 7.65217391],0
r3,1,0.317731,0.998264,[25  5] ; [15  1],[26.08695652  3.91304348] ; [13.91304348  2.08695652],0
n1,1,0.333998,0.933333,[6 3] ; [2 3],[5.14285714 3.85714286] ; [2.85714286 2.14285714],0
n3,1,0.360387,0.836543,[5 4] ; [4 1],[5.78571429 3.21428571] ; [3.21428571 1.78571429],0
d4,1,0.377699,0.778178,[23  7] ; [14  2],[24.13043478  5.86956522] ; [12.86956522  3.13043478],0
r4,1,0.377699,0.778178,[23  7] ; [14  2],[24.13043478  5.86956522] ; [12.86956522  3.13043478],0
a2,1,0.377699,0.778178,[ 7 23] ; [ 2 14],[ 5.86956522 24.13043478] ; [ 3.13043478 12.86956522],0
n4,1,0.401318,0.704375,[27  3] ; [13  3],[26.08695652  3.91304348] ; [13.91304348  2.08695652],0
a5,1,0.446931,0.578423,[22  8] ; [10  6],[20.86956522  9.13043478] ; [11.13043478  4.86956522],0
s5,1,0.46118,0.54303,[13 14] ; [9 6],[14.14285714 12.85714286] ; [7.85714286 7.14285714],0
s1,1,0.462264,0.540407,[ 4 26] ; [ 1 15],[ 3.26086957 26.73913043] ; [ 1.73913043 14.26086957],0
v4,1,0.462264,0.540407,[26  4] ; [15  1],[26.73913043  3.26086957] ; [14.26086957  1.73913043],0
r2,1,0.502335,0.45,[26  4] ; [14  1],[26.66666667  3.33333333] ; [13.33333333  1.66666667],0
u2,1,0.514828,0.424242,[5 6] ; [2 1],[5.5 5.5] ; [1.5 1.5],0
a8,1,0.558185,0.342857,[ 4 24] ; [ 3 11],[ 4.66666667 23.33333333] ; [ 2.33333333 11.66666667],0
a7,1,0.558527,0.342262,[20 10] ; [12  4],[20.86956522  9.13043478] ; [11.13043478  4.86956522],0
s6,1,0.569764,0.323077,[21  5] ; [14  2],[21.66666667  4.33333333] ; [13.33333333  2.66666667],0
p6,1,0.601258,0.273103,[15 14] ; [9 6],[15.81818182 13.18181818] ; [8.18181818 6.81818182],0
u1,1,0.626162,0.237302,[ 4 26] ; [ 3 13],[ 4.56521739 25.43478261] ; [ 2.43478261 13.56521739],0
s4,1,0.626162,0.237302,[ 4 26] ; [ 3 13],[ 4.56521739 25.43478261] ; [ 2.43478261 13.56521739],0
d2,1,0.665492,0.186921,[17 13] ; [8 8],[16.30434783 13.69565217] ; [8.69565217 7.30434783],0
a1,1,0.667262,0.184821,[ 3 27] ; [ 1 15],[ 2.60869565 27.39130435] ; [ 1.39130435 14.60869565],0
a6,1,0.713338,0.134965,[19 11] ; [11  5],[19.56521739 10.43478261] ; [10.43478261  5.56521739],0
p4,1,0.719635,0.128843,[23  7] ; [13  3],[23.47826087  6.52173913] ; [12.52173913  3.47826087],0
n5,1,0.795284,0.067317,[27  3] ; [14  2],[26.73913043  3.26086957] ; [14.26086957  1.73913043],0
n6,1,0.825709,0.048491,[26  3] ; [14  2],[25.77777778  3.22222222] ; [14.22222222  1.77777778],0
s7,1,0.875931,0.024376,[18 10] ; [10  5],[18.23255814  9.76744186] ; [9.76744186 5.23255814],0
p12,1,0.876261,0.024246,[ 6 23] ; [ 3 13],[ 5.8 23.2] ; [ 3.2 12.8],0
d3,1,0.885848,0.020609,[20 10] ; [11  5],[20.2173913  9.7826087] ; [10.7826087  5.2173913],0
p3,1,0.902418,0.015033,[22  8] ; [12  4],[22.17391304  7.82608696] ; [11.82608696  4.17391304],0
s8,1,0.911811,0.012267,[15 14] ; [8 8],[14.82222222 14.17777778] ; [8.17777778 7.82222222],0
r1,1,0.930072,0.007701,[21  9] ; [11  5],[20.86956522  9.13043478] ; [11.13043478  4.86956522],0
b4,1,0.955526,0.00311,[19 11] ; [10  6],[18.91304348 11.08695652] ; [10.08695652  5.91304348],0
d1,1,0.978339,0.000737,[17 13] ; [9 7],[16.95652174 13.04347826] ; [9.04347826 6.95652174],0
