Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,1e-06,24.307691,[101  12] ; [10 12],[92.91111111 20.08888889] ; [18.08888889  3.91111111],1
a4,1,0.000265,13.304505,[58 55] ; [ 2 20],[50.22222222 62.77777778] ; [ 9.77777778 12.22222222],1
d2,1,0.003602,8.474123,[64 49] ; [ 5 17],[57.75555556 55.24444444] ; [11.24444444 10.75555556],0
b5,1,0.013379,6.118262,[73 40] ; [ 8 14],[67.8 45.2] ; [13.2  8.8],0
d3,1,0.016899,5.706868,[72 41] ; [ 8 14],[66.96296296 46.03703704] ; [13.03703704  8.96296296],0
r2,1,0.02399,5.095344,[108   3] ; [19  3],[105.9924812   5.0075188] ; [21.0075188  0.9924812],0
p1,1,0.060068,3.5355,[  7 106] ; [ 4 18],[  9.20740741 103.79259259] ; [ 1.79259259 20.20740741],0
a3,1,0.066994,3.355182,[87 25] ; [13  9],[83.58208955 28.41791045] ; [16.41791045  5.58208955],0
a7,1,0.069899,3.285398,[79 34] ; [11 11],[75.33333333 37.66666667] ; [14.66666667  7.33333333],0
b1,1,0.094862,2.789876,[45 68] ; [13  9],[48.54814815 64.45185185] ; [ 9.45185185 12.54814815],0
u1,1,0.102861,2.660617,[21 92] ; [ 1 21],[18.41481481 94.58518519] ; [ 3.58518519 18.41481481],0
p8,1,0.111103,2.538462,[40 70] ; [12 10],[43.33333333 66.66666667] ; [ 8.66666667 13.33333333],0
a5,1,0.120701,2.408206,[85 28] ; [13  9],[82.02962963 30.97037037] ; [15.97037037  6.02962963],0
s2,1,0.121861,2.393243,[76 37] ; [11 11],[72.82222222 40.17777778] ; [14.17777778  7.82222222],0
b4,1,0.130758,2.283488,[66 47] ; [ 9 13],[62.77777778 50.22222222] ; [12.22222222  9.77777778],0
p11,1,0.224881,1.472949,[84 29] ; [19  3],[86.21481481 26.78518519] ; [16.78518519  5.21481481],0
u3,1,0.244834,1.352546,[18  8] ; [8 1],[19.31428571  6.68571429] ; [6.68571429 2.31428571],0
r3,1,0.247717,1.336134,[109   4] ; [20  2],[107.97777778   5.02222222] ; [21.02222222  0.97777778],0
s6,1,0.265348,1.240639,[92 19] ; [16  6],[90.13533835 20.86466165] ; [17.86466165  4.13533835],0
r4,1,0.303723,1.057775,[105   8] ; [19  3],[103.79259259   9.20740741] ; [20.20740741  1.79259259],0
b2,1,0.40211,0.702009,[29 46] ; [8 8],[30.49450549 44.50549451] ; [6.50549451 9.49450549],0
b3,1,0.40211,0.702009,[29 46] ; [8 8],[30.49450549 44.50549451] ; [6.50549451 9.49450549],0
n5,1,0.427192,0.630446,[80 31] ; [14  8],[78.45112782 32.54887218] ; [15.54887218  6.45112782],0
a6,1,0.434577,0.610561,[71 41] ; [12 10],[69.37313433 42.62686567] ; [13.62686567  8.37313433],0
v1,1,0.555629,0.347329,[59 49] ; [10 11],[57.76744186 50.23255814] ; [11.23255814  9.76744186],0
p3,1,0.560654,0.338573,[38 75] ; [ 6 16],[36.82962963 76.17037037] ; [ 7.17037037 14.82962963],0
s4,1,0.591903,0.287382,[20 92] ; [ 5 17],[20.89552239 91.10447761] ; [ 4.10447761 17.89552239],0
n1,1,0.631299,0.230303,[16 17] ; [3 2],[16.5 16.5] ; [2.5 2.5],0
p12,1,0.643159,0.214634,[  7 103] ; [ 2 20],[  7.5 102.5] ; [ 1.5 20.5],0
s7,1,0.659277,0.194404,[80 30] ; [17  5],[80.83333333 29.16666667] ; [16.16666667  5.83333333],0
n4,1,0.683138,0.166615,[86 26] ; [16  6],[85.25373134 26.74626866] ; [16.74626866  5.25373134],0
p6,1,0.716367,0.132,[26 84] ; [ 6 16],[26.66666667 83.33333333] ; [ 5.33333333 16.66666667],0
a8,1,0.722421,0.126185,[18 85] ; [ 3 18],[17.44354839 85.55645161] ; [ 3.55645161 17.44354839],0
u2,1,0.724159,0.124542,[15 10] ; [6 3],[15.44117647  9.55882353] ; [5.55882353 3.44117647],0
p10,1,0.749525,0.101931,[92 18] ; [19  3],[92.5 17.5] ; [18.5  3.5],0
p7,1,0.782516,0.076199,[59 47] ; [11 10],[58.42519685 47.57480315] ; [11.57480315  9.42519685],0
s1,1,0.831972,0.045018,[  4 107] ; [ 1 21],[  4.17293233 106.82706767] ; [ 0.82706767 21.17293233],0
s5,1,0.832877,0.044527,[43 63] ; [ 8 13],[42.56692913 63.43307087] ; [ 8.43307087 12.56692913],0
v4,1,0.882409,0.021879,[107   6] ; [21  1],[107.14074074   5.85925926] ; [20.85925926  1.14074074],0
r1,1,0.889876,0.019171,[93 19] ; [18  4],[92.7761194 19.2238806] ; [18.2238806  3.7761194],0
n6,1,0.889876,0.019171,[93 19] ; [18  4],[92.7761194 19.2238806] ; [18.2238806  3.7761194],0
s3,1,0.920506,0.009959,[81 32] ; [16  6],[81.19259259 31.80740741] ; [15.80740741  6.19259259],0
v3,1,0.942454,0.005211,[50 58] ; [10 12],[49.84615385 58.15384615] ; [10.15384615 11.84615385],0
v2,1,0.975245,0.000963,[66 40] ; [13  8],[65.93700787 40.06299213] ; [13.06299213  7.93700787],0
a1,1,0.979952,0.000631,[  5 108] ; [ 1 21],[  5.02222222 107.97777778] ; [ 0.97777778 21.02222222],0
p2,1,0.987649,0.00024,[82 31] ; [16  6],[82.02962963 30.97037037] ; [15.97037037  6.02962963],0
p9,1,0.987722,0.000237,[96 15] ; [19  3],[95.97744361 15.02255639] ; [19.02255639  2.97744361],0
