Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.593132,[55 18] ; [ 6 22],[44.08910891 28.91089109] ; [16.91089109 11.08910891],1
r3,1,1e-05,19.60367,[62 10] ; [12 16],[53.28 18.72] ; [20.72  7.28],1
p2,1,0.000855,11.118629,[37 36] ; [ 4 24],[29.63366337 43.36633663] ; [11.36633663 16.63366337],1
r1,1,0.001149,10.56984,[58 15] ; [13 15],[51.31683168 21.68316832] ; [19.68316832  8.31683168],0
u3,1,0.00159,9.971614,[15  7] ; [ 2 12],[10.38888889 11.61111111] ; [6.61111111 7.38888889],0
n6,1,0.001683,9.866463,[51 22] ; [10 18],[44.08910891 28.91089109] ; [16.91089109 11.08910891],0
a7,1,0.002191,9.382171,[52 20] ; [11 17],[45.36 26.64] ; [17.64 10.36],0
r2,1,0.002582,9.081409,[65  8] ; [17 10],[59.86 13.14] ; [22.14  4.86],0
a6,1,0.004723,7.982597,[51 22] ; [11 17],[44.81188119 28.18811881] ; [17.18811881 10.81188119],0
n2,1,0.006828,7.317567,[22 10] ; [ 4 11],[17.70212766 14.29787234] ; [8.29787234 6.70212766],0
s8,1,0.019179,5.485116,[17 55] ; [ 1 27],[12.96 59.04] ; [ 5.04 22.96],0
p11,1,0.020719,5.350285,[34 39] ; [ 6 22],[28.91089109 44.08910891] ; [11.08910891 16.91089109],0
n3,1,0.031539,4.623405,[19 11] ; [ 4 10],[15.68181818 14.31818182] ; [7.31818182 6.68181818],0
d5,1,0.036085,4.393094,[59 14] ; [17 11],[54.93069307 18.06930693] ; [21.06930693  6.93069307],0
p4,1,0.043156,4.089287,[25 47] ; [ 4 24],[20.88 51.12] ; [ 8.12 19.88],0
a5,1,0.075477,3.159693,[48 25] ; [13 15],[44.08910891 28.91089109] ; [16.91089109 11.08910891],0
u2,1,0.086476,2.938776,[11 11] ; [ 3 11],[ 8.55555556 13.44444444] ; [5.44444444 8.55555556],0
a3,1,0.093647,2.810533,[51 22] ; [14 13],[47.45 25.55] ; [17.55  9.45],0
v3,1,0.098949,2.722408,[24 45] ; [ 5 23],[20.62886598 48.37113402] ; [ 8.37113402 19.62886598],0
p8,1,0.10994,2.555083,[11 62] ; [ 1 27],[ 8.67326733 64.32673267] ; [ 3.32673267 24.67326733],0
b5,1,0.162885,1.947237,[40 33] ; [11 17],[36.86138614 36.13861386] ; [14.13861386 13.86138614],0
d3,1,0.166264,1.916306,[45 28] ; [13 15],[41.92079208 31.07920792] ; [16.07920792 11.92079208],0
a2,1,0.207827,1.586502,[19 54] ; [ 4 24],[16.62376238 56.37623762] ; [ 6.37623762 21.62376238],0
p10,1,0.217809,1.518747,[12 60] ; [ 2 26],[10.08 61.92] ; [ 3.92 24.08],0
s6,1,0.22576,1.467378,[30 42] ; [ 8 20],[27.36 44.64] ; [10.64 17.36],0
b3,1,0.237338,1.396337,[15 32] ; [ 9 10],[17.09090909 29.90909091] ; [ 6.90909091 12.09090909],0
b2,1,0.237338,1.396337,[15 32] ; [ 9 10],[17.09090909 29.90909091] ; [ 6.90909091 12.09090909],0
a1,1,0.240308,1.378787,[ 5 68] ; [ 4 24],[ 6.5049505 66.4950495] ; [ 2.4950495 25.5049505],0
p3,1,0.289758,1.120746,[17 54] ; [ 4 24],[15.06060606 55.93939394] ; [ 5.93939394 22.06060606],0
d4,1,0.303626,1.058201,[56 16] ; [19  9],[54. 18.] ; [21.  7.],0
v2,1,0.31147,1.024432,[28 43] ; [ 8 20],[25.81818182 45.18181818] ; [10.18181818 17.81818182],0
a4,1,0.330336,0.947578,[35 38] ; [10 17],[32.85 40.15] ; [12.15 14.85],0
s2,1,0.334202,0.932545,[19 51] ; [ 5 23],[17.14285714 52.85714286] ; [ 6.85714286 21.14285714],0
v1,1,0.381473,0.765949,[22 51] ; [ 6 22],[20.23762376 52.76237624] ; [ 7.76237624 20.23762376],0
s3,1,0.40462,0.694555,[25 47] ; [ 7 20],[23.27272727 48.72727273] ; [ 8.72727273 18.27272727],0
n5,1,0.434081,0.61188,[38 35] ; [17 11],[39.75247525 33.24752475] ; [15.24752475 12.75247525],0
s7,1,0.498695,0.457711,[18 49] ; [ 5 20],[16.75 50.25] ; [ 6.25 18.75],0
p1,1,0.512555,0.428847,[ 7 65] ; [ 4 24],[ 7.92 64.08] ; [ 3.08 24.92],0
p6,1,0.537958,0.379337,[ 5 66] ; [ 1 26],[ 4.34693878 66.65306122] ; [ 1.65306122 25.34693878],0
n1,1,0.605286,0.267097,[10 21] ; [6 9],[10.7826087 20.2173913] ; [5.2173913 9.7826087],0
d1,1,0.612695,0.256269,[38 35] ; [13 15],[36.86138614 36.13861386] ; [14.13861386 13.86138614],0
a8,1,0.620091,0.245739,[ 3 62] ; [ 2 26],[ 3.49462366 61.50537634] ; [ 1.50537634 26.49462366],0
b4,1,0.635989,0.224026,[48 25] ; [17 11],[46.98019802 26.01980198] ; [18.01980198  9.98019802],0
d2,1,0.711571,0.136712,[37 35] ; [15 12],[37.81818182 34.18181818] ; [14.18181818 12.81818182],0
s4,1,0.773491,0.082835,[11 60] ; [ 5 23],[11.47474747 59.52525253] ; [ 4.52525253 23.47474747],0
n4,1,0.841271,0.040107,[48 25] ; [19  9],[48.42574257 24.57425743] ; [18.57425743  9.42574257],0
s1,1,0.843806,0.03882,[ 6 66] ; [ 2 26],[ 5.76 66.24] ; [ 2.24 25.76],0
b1,1,0.891329,0.018666,[38 35] ; [15 13],[38.30693069 34.69306931] ; [14.69306931 13.30693069],0
s5,1,0.958052,0.002767,[13 58] ; [ 5 23],[12.90909091 58.09090909] ; [ 5.09090909 22.90909091],0
