Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.00014,14.499402,[1 5] ; [68 14],[4.70454545 1.29545455] ; [64.29545455 17.70454545],1
p9,1,0.00983,6.665427,[1 5] ; [55 25],[3.90697674 2.09302326] ; [52.09302326 27.90697674],0
r1,1,0.014617,5.96206,[2 4] ; [64 18],[4.5 1.5] ; [61.5 20.5],0
r2,1,0.014891,5.929345,[3 2] ; [75  6],[4.53488372 0.46511628] ; [73.46511628  7.53488372],0
p10,1,0.060966,3.510896,[2 4] ; [57 24],[4.06896552 1.93103448] ; [54.93103448 26.06896552],0
s2,1,0.102168,2.671372,[1 5] ; [42 40],[2.93181818 3.06818182] ; [40.06818182 41.93181818],0
s1,1,0.143496,2.14006,[1 5] ; [ 3 78],[0.27586207 5.72413793] ; [ 3.72413793 77.27586207],0
p11,1,0.163209,1.944242,[2 4] ; [51 31],[3.61363636 2.38636364] ; [49.38636364 32.61363636],0
s7,1,0.168625,1.895129,[1 5] ; [36 43],[2.61176471 3.38823529] ; [34.38823529 44.61176471],0
a6,1,0.192437,1.698862,[2 4] ; [49 32],[3.51724138 2.48275862] ; [47.48275862 33.51724138],0
a4,1,0.205636,1.601889,[4 2] ; [33 49],[2.52272727 3.47727273] ; [34.47727273 47.52272727],0
b4,1,0.210873,1.565423,[5 1] ; [47 35],[3.54545455 2.45454545] ; [48.45454545 33.54545455],0
a2,1,0.226727,1.46128,[2 4] ; [12 70],[0.95454545 5.04545455] ; [13.04545455 68.95454545],0
n5,1,0.252237,1.310874,[5 1] ; [49 33],[3.68181818 2.31818182] ; [50.31818182 31.68181818],0
a5,1,0.255276,1.294196,[3 3] ; [59 23],[4.22727273 1.77272727] ; [57.77272727 24.22727273],0
p7,1,0.274021,1.196509,[1 4] ; [36 44],[2.17647059 2.82352941] ; [34.82352941 45.17647059],0
a7,1,0.321907,0.981185,[3 3] ; [57 25],[4.09090909 1.90909091] ; [55.90909091 26.09090909],0
a3,1,0.350942,0.87005,[5 1] ; [53 29],[3.95454545 2.04545455] ; [54.04545455 27.95454545],0
s6,1,0.407241,0.686842,[3 3] ; [54 27],[3.93103448 2.06896552] ; [53.06896552 27.93103448],0
s5,1,0.409953,0.678938,[1 5] ; [26 53],[1.90588235 4.09411765] ; [25.09411765 53.90588235],0
a1,1,0.503689,0.447154,[1 5] ; [ 7 75],[0.54545455 5.45454545] ; [ 7.45454545 74.54545455],0
v1,1,0.519556,0.414775,[2 4] ; [38 43],[2.75862069 3.24137931] ; [37.24137931 43.75862069],0
p6,1,0.563111,0.334346,[1 5] ; [22 58],[1.60465116 4.39534884] ; [21.39534884 58.60465116],0
d3,1,0.612999,0.25583,[3 3] ; [49 32],[3.5862069 2.4137931] ; [48.4137931 32.5862069],0
d1,1,0.61389,0.254549,[4 2] ; [46 36],[3.40909091 2.59090909] ; [46.59090909 35.40909091],0
n6,1,0.614624,0.253497,[5 1] ; [60 21],[4.48275862 1.51724138] ; [60.51724138 20.48275862],0
b5,1,0.654263,0.200568,[4 2] ; [47 35],[3.47727273 2.52272727] ; [47.52272727 34.47727273],0
s4,1,0.657603,0.196449,[1 5] ; [20 61],[1.44827586 4.55172414] ; [19.55172414 61.44827586],0
b2,1,0.716232,0.132132,[2 3] ; [16 34],[1.63636364 3.36363636] ; [16.36363636 33.63636364],0
b3,1,0.716232,0.132132,[2 3] ; [16 34],[1.63636364 3.36363636] ; [16.36363636 33.63636364],0
v4,1,0.749197,0.102207,[5 1] ; [72 10],[5.25 0.75] ; [71.75 10.25],0
v3,1,0.766215,0.088405,[3 3] ; [35 45],[2.65116279 3.34883721] ; [35.34883721 44.65116279],0
b1,1,0.771637,0.084236,[3 3] ; [36 46],[2.65909091 3.34090909] ; [36.34090909 45.65909091],0
p4,1,0.84953,0.035993,[2 3] ; [29 52],[1.80232558 3.19767442] ; [29.19767442 51.80232558],0
p8,1,0.884004,0.021285,[2 4] ; [25 57],[1.84090909 4.15909091] ; [25.15909091 56.84090909],0
u1,1,0.892262,0.018345,[1 5] ; [12 70],[0.88636364 5.11363636] ; [12.11363636 69.88636364],0
d2,1,0.97672,0.000852,[3 3] ; [40 41],[2.96551724 3.03448276] ; [40.03448276 40.96551724],0
n4,1,0.983686,0.000418,[4 2] ; [55 27],[4.02272727 1.97727273] ; [54.97727273 27.02272727],0
