Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.012172,6.285714,[12  4] ; [10 18],[8. 8.] ; [14. 14.],0
b1,1,0.064853,3.408718,[12  4] ; [14 16],[9.04347826 6.95652174] ; [16.95652174 13.04347826],0
d5,1,0.125375,2.348856,[14  2] ; [20 10],[11.82608696  4.17391304] ; [22.17391304  7.82608696],0
a4,1,0.145667,2.117045,[10  6] ; [12 18],[7.65217391 8.34782609] ; [14.34782609 15.65217391],0
p2,1,0.161097,1.963901,[11  5] ; [25  4],[12.8  3.2] ; [23.2  5.8],0
r1,1,0.185079,1.756364,[14  2] ; [21  9],[12.17391304  3.82608696] ; [22.82608696  7.17391304],0
p9,1,0.225841,1.466864,[13  3] ; [27  2],[14.22222222  1.77777778] ; [25.77777778  3.22222222],0
s5,1,0.247943,1.334859,[10  5] ; [13 14],[8.21428571 6.78571429] ; [14.78571429 12.21428571],0
a5,1,0.267227,1.230926,[14  2] ; [22  8],[12.52173913  3.47826087] ; [23.47826087  6.52173913],0
a7,1,0.269964,1.216931,[8 8] ; [20 10],[9.73913043 6.26086957] ; [18.26086957 11.73913043],0
p1,1,0.295454,1.0946,[ 3 13] ; [10 20],[ 4.52173913 11.47826087] ; [ 8.47826087 21.52173913],0
b5,1,0.305885,1.048359,[10  6] ; [14 16],[8.34782609 7.65217391] ; [15.65217391 14.34782609],0
u3,1,0.310437,1.028815,[3 1] ; [5 6],[2.13333333 1.86666667] ; [5.86666667 5.13333333],0
r3,1,0.317731,0.998264,[15  1] ; [25  5],[13.91304348  2.08695652] ; [26.08695652  3.91304348],0
a2,1,0.377699,0.778178,[ 2 14] ; [ 7 23],[ 3.13043478 12.86956522] ; [ 5.86956522 24.13043478],0
d2,1,0.403559,0.697696,[7 9] ; [17 13],[8.34782609 7.65217391] ; [15.65217391 14.34782609],0
a3,1,0.421436,0.646308,[12  4] ; [19 11],[10.7826087  5.2173913] ; [20.2173913  9.7826087],0
p3,1,0.446931,0.578423,[10  6] ; [22  8],[11.13043478  4.86956522] ; [20.86956522  9.13043478],0
r2,1,0.462264,0.540407,[15  1] ; [26  4],[14.26086957  1.73913043] ; [26.73913043  3.26086957],0
s7,1,0.462941,0.538776,[12  4] ; [18 10],[10.90909091  5.09090909] ; [19.09090909  8.90909091],0
p6,1,0.486205,0.484914,[10  6] ; [15 14],[8.88888889 7.11111111] ; [16.11111111 12.88888889],0
p12,1,0.491556,0.473119,[ 2 14] ; [ 6 23],[ 2.84444444 13.15555556] ; [ 5.15555556 23.84444444],0
n3,1,0.504985,0.444444,[1 2] ; [5 4],[1.5 1.5] ; [4.5 4.5],0
b4,1,0.639186,0.219808,[9 7] ; [19 11],[9.73913043 6.26086957] ; [18.26086957 11.73913043],0
a6,1,0.639186,0.219808,[9 7] ; [19 11],[9.73913043 6.26086957] ; [18.26086957 11.73913043],0
n1,1,0.657619,0.196429,[1 1] ; [6 3],[1.27272727 0.72727273] ; [5.72727273 3.27272727],0
d1,1,0.701943,0.146459,[10  6] ; [17 13],[9.39130435 6.60869565] ; [17.60869565 12.39130435],0
s2,1,0.701943,0.146459,[10  6] ; [17 13],[9.39130435 6.60869565] ; [17.60869565 12.39130435],0
d4,1,0.719635,0.128843,[13  3] ; [23  7],[12.52173913  3.47826087] ; [23.47826087  6.52173913],0
p7,1,0.763781,0.090312,[11  5] ; [18 10],[10.54545455  5.45454545] ; [18.45454545  9.54545455],0
s8,1,0.770816,0.08486,[9 7] ; [15 14],[8.53333333 7.46666667] ; [15.46666667 13.53333333],0
a1,1,0.795284,0.067317,[ 2 14] ; [ 3 27],[ 1.73913043 14.26086957] ; [ 3.26086957 26.73913043],0
n5,1,0.795284,0.067317,[14  2] ; [27  3],[14.26086957  1.73913043] ; [26.73913043  3.26086957],0
p4,1,0.806243,0.06016,[11  4] ; [23  7],[11.33333333  3.66666667] ; [22.66666667  7.33333333],0
b2,1,0.867695,0.027751,[4 7] ; [ 6 12],[3.79310345 7.20689655] ; [ 6.20689655 11.79310345],0
b3,1,0.867695,0.027751,[4 7] ; [ 6 12],[3.79310345 7.20689655] ; [ 6.20689655 11.79310345],0
u2,1,0.875996,0.024351,[2 2] ; [5 6],[1.86666667 2.13333333] ; [5.13333333 5.86666667],0
d3,1,0.885848,0.020609,[11  5] ; [20 10],[10.7826087  5.2173913] ; [20.2173913  9.7826087],0
p11,1,0.902418,0.015033,[12  4] ; [22  8],[11.82608696  4.17391304] ; [22.17391304  7.82608696],0
a8,1,0.931546,0.007379,[ 2 13] ; [ 4 24],[ 2.09302326 12.90697674] ; [ 3.90697674 24.09302326],0
u1,1,0.936293,0.006389,[ 2 14] ; [ 4 26],[ 2.08695652 13.91304348] ; [ 3.91304348 26.08695652],0
s1,1,0.936293,0.006389,[ 2 14] ; [ 4 26],[ 2.08695652 13.91304348] ; [ 3.91304348 26.08695652],0
p8,1,0.948642,0.004149,[12  4] ; [22  7],[12.08888889  3.91111111] ; [21.91111111  7.08888889],0
s4,1,1.0,0.0,[ 2 13] ; [ 4 26],[ 2. 13.] ; [ 4. 26.],0
s3,1,1.0,0.0,[10  5] ; [20 10],[10.  5.] ; [20. 10.],0
p10,1,1.0,0.0,[12  3] ; [24  6],[12.  3.] ; [24.  6.],0
