Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.00572,7.636538,[2 7] ; [18  6],[5.45454545 3.54545455] ; [14.54545455  9.45454545],0
n6,1,0.026691,4.910714,[3 6] ; [18  6],[5.72727273 3.27272727] ; [15.27272727  8.72727273],0
p11,1,0.041729,4.146154,[1 8] ; [12 12],[3.54545455 5.45454545] ; [ 9.45454545 14.54545455],0
s2,1,0.060614,3.520507,[3 6] ; [16  7],[5.34375 3.65625] ; [13.65625  9.34375],0
s3,1,0.063515,3.443127,[4 5] ; [18  5],[6.1875 2.8125] ; [15.8125  7.1875],0
s7,1,0.080346,3.05788,[2 6] ; [14  9],[4.12903226 3.87096774] ; [11.87096774 11.12903226],0
n2,1,0.094381,2.798017,[2 3] ; [9 2],[3.4375 1.5625] ; [7.5625 3.4375],0
r1,1,0.133975,2.245833,[3 6] ; [15  9],[4.90909091 4.09090909] ; [13.09090909 10.90909091],0
b2,1,0.136641,2.215385,[3 2] ; [ 3 10],[1.66666667 3.33333333] ; [4.33333333 8.66666667],0
b3,1,0.136641,2.215385,[3 2] ; [ 3 10],[1.66666667 3.33333333] ; [4.33333333 8.66666667],0
v4,1,0.166994,1.909722,[6 3] ; [21  3],[7.36363636 1.63636364] ; [19.63636364  4.36363636],0
r3,1,0.174986,1.839699,[5 4] ; [19  5],[6.54545455 2.45454545] ; [17.45454545  6.54545455],0
b1,1,0.200618,1.637868,[3 6] ; [14 10],[4.63636364 4.36363636] ; [12.36363636 11.63636364],0
s8,1,0.201754,1.62963,[1 8] ; [ 8 16],[2.45454545 6.54545455] ; [ 6.54545455 17.45454545],0
u3,1,0.20686,1.593266,[1 2] ; [8 3],[1.92857143 1.07142857] ; [7.07142857 3.92857143],0
d5,1,0.279044,1.171739,[5 4] ; [18  6],[6.27272727 2.72727273] ; [16.72727273  7.27272727],0
p4,1,0.286201,1.137408,[3 6] ; [13 11],[4.36363636 4.63636364] ; [11.63636364 12.36363636],0
p2,1,0.301071,1.069444,[7 2] ; [14 10],[5.72727273 3.27272727] ; [15.27272727  8.72727273],0
p7,1,0.301071,1.069444,[2 7] ; [10 14],[3.27272727 5.72727273] ; [ 8.72727273 15.27272727],0
a4,1,0.349963,0.87359,[5 4] ; [ 9 15],[3.81818182 5.18181818] ; [10.18181818 13.81818182],0
n4,1,0.391805,0.733333,[6 3] ; [12 12],[4.90909091 4.09090909] ; [13.09090909 10.90909091],0
b5,1,0.407016,0.6875,[5 4] ; [17  7],[6. 3.] ; [16.  8.],0
r4,1,0.407016,0.6875,[5 4] ; [17  7],[6. 3.] ; [16.  8.],0
p6,1,0.455522,0.556875,[3 6] ; [ 5 19],[2.18181818 6.81818182] ; [ 5.81818182 18.18181818],0
a6,1,0.47546,0.509259,[5 4] ; [10 14],[4.09090909 4.90909091] ; [10.90909091 13.09090909],0
d3,1,0.517585,0.418703,[6 3] ; [13 11],[5.18181818 3.81818182] ; [13.81818182 10.18181818],0
a3,1,0.517585,0.418703,[6 3] ; [13 11],[5.18181818 3.81818182] ; [13.81818182 10.18181818],0
n3,1,0.610689,0.259174,[3 2] ; [8 3],[3.4375 1.5625] ; [7.5625 3.4375],0
a5,1,0.618698,0.247702,[5 4] ; [11 13],[4.36363636 4.63636364] ; [11.63636364 12.36363636],0
v1,1,0.632142,0.229167,[3 6] ; [ 6 18],[2.45454545 6.54545455] ; [ 6.54545455 17.45454545],0
p9,1,0.681867,0.168032,[3 6] ; [ 6 17],[2.53125 6.46875] ; [ 6.46875 16.53125],0
n5,1,0.71615,0.132212,[5 4] ; [15  9],[5.45454545 3.54545455] ; [14.54545455  9.45454545],0
a7,1,0.71615,0.132212,[5 4] ; [15  9],[5.45454545 3.54545455] ; [14.54545455  9.45454545],0
s1,1,0.804748,0.061111,[1 8] ; [ 2 22],[0.81818182 8.18181818] ; [ 2.18181818 21.81818182],0
d4,1,0.816571,0.053804,[6 3] ; [17  7],[6.27272727 2.72727273] ; [16.72727273  7.27272727],0
r2,1,0.880212,0.022711,[6 1] ; [20  4],[5.87096774 1.12903226] ; [20.12903226  3.87096774],0
d2,1,0.885663,0.020677,[4 5] ; [10 14],[3.81818182 5.18181818] ; [10.18181818 13.81818182],0
n1,1,0.889243,0.019394,[2 3] ; [4 7],[1.875 3.125] ; [4.125 6.875],0
a2,1,0.913303,0.011853,[1 8] ; [ 3 21],[1.09090909 7.90909091] ; [ 2.90909091 21.09090909],0
u1,1,0.913303,0.011853,[1 8] ; [ 3 21],[1.09090909 7.90909091] ; [ 2.90909091 21.09090909],0
u2,1,0.92265,0.009428,[1 2] ; [4 7],[1.07142857 1.92857143] ; [3.92857143 7.07142857],0
p3,1,0.943109,0.005093,[4 5] ; [11 13],[4.09090909 4.90909091] ; [10.90909091 13.09090909],0
v3,1,0.976289,0.000883,[2 7] ; [ 5 18],[1.96875 7.03125] ; [ 5.03125 17.96875],0
d1,1,1.0,0.0,[3 6] ; [ 8 16],[3. 6.] ; [ 8. 16.],0
