Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4.2e-05,16.768821,[24 20] ; [23 87],[13.42857143 30.57142857] ; [33.57142857 76.42857143],1
p3,1,0.00053,12.005741,[21 22] ; [23 88],[12.28571429 30.71428571] ; [31.71428571 79.28571429],1
v2,1,0.002036,9.516706,[24 19] ; [31 76],[15.76666667 27.23333333] ; [39.23333333 67.76666667],0
s2,1,0.003703,8.423932,[26 18] ; [37 73],[18. 26.] ; [45. 65.],0
s6,1,0.007922,7.051135,[30 14] ; [48 60],[22.57894737 21.42105263] ; [55.42105263 52.57894737],0
s7,1,0.00884,6.854783,[24 18] ; [35 69],[16.97260274 25.02739726] ; [42.02739726 61.97260274],0
n4,1,0.009717,6.686046,[37  7] ; [69 41],[30.28571429 13.71428571] ; [75.71428571 34.28571429],0
d5,1,0.013809,6.062351,[35  9] ; [65 46],[28.38709677 15.61290323] ; [71.61290323 39.38709677],0
n6,1,0.014983,5.918421,[38  6] ; [73 36],[31.92156863 12.07843137] ; [79.07843137 29.92156863],0
n5,1,0.014983,5.918421,[38  6] ; [73 36],[31.92156863 12.07843137] ; [79.07843137 29.92156863],0
a5,1,0.01985,5.425005,[32 12] ; [58 53],[25.5483871 18.4516129] ; [64.4516129 46.5483871],0
u1,1,0.02799,4.828691,[ 5 39] ; [  3 108],[ 2.27096774 41.72903226] ; [  5.72903226 105.27096774],0
v4,1,0.028958,4.770088,[40  4] ; [82 27],[35.08496732  8.91503268] ; [86.91503268 22.08496732],0
a3,1,0.034717,4.459052,[35  9] ; [68 42],[29.42857143 14.57142857] ; [73.57142857 36.42857143],0
r1,1,0.034937,4.44824,[33 11] ; [63 48],[27.2516129 16.7483871] ; [68.7483871 42.2516129],0
p10,1,0.057274,3.614621,[31 13] ; [58 50],[25.76315789 18.23684211] ; [63.23684211 44.76315789],0
r4,1,0.058129,3.589992,[34 10] ; [68 43],[28.95483871 15.04516129] ; [73.04516129 37.95483871],0
p7,1,0.058397,3.582346,[23 20] ; [40 69],[17.82236842 25.17763158] ; [45.17763158 63.82236842],0
v1,1,0.067155,3.351225,[23 18] ; [43 66],[18.04 22.96] ; [47.96 61.04],0
a6,1,0.100577,2.696363,[23 21] ; [42 69],[18.4516129 25.5483871] ; [46.5483871 64.4516129],0
s3,1,0.126247,2.338057,[26 18] ; [50 60],[21.71428571 22.28571429] ; [54.28571429 55.71428571],0
r2,1,0.128445,2.311194,[40  4] ; [89 21],[36.85714286  7.14285714] ; [92.14285714 17.85714286],0
a1,1,0.137708,2.203385,[ 6 38] ; [  7 104],[ 3.69032258 40.30967742] ; [  9.30967742 101.69032258],0
r3,1,0.142761,2.147946,[38  6] ; [84 27],[34.63225806  9.36774194] ; [87.36774194 23.63225806],0
s5,1,0.198379,1.654267,[ 9 34] ; [33 72],[12.2027027 30.7972973] ; [29.7972973 75.2027027],0
a4,1,0.21758,1.520259,[15 29] ; [49 60],[18.40522876 25.59477124] ; [45.59477124 63.40522876],0
n3,1,0.22659,1.462139,[13  4] ; [27 18],[10.96774194  6.03225806] ; [29.03225806 15.96774194],0
p9,1,0.234789,1.411614,[32 12] ; [67 40],[28.84768212 15.15231788] ; [70.15231788 36.84768212],0
b4,1,0.239536,1.383322,[22 22] ; [67 44],[25.26451613 18.73548387] ; [63.73548387 47.26451613],0
d4,1,0.281178,1.161388,[32 12] ; [70 40],[29.14285714 14.85714286] ; [72.85714286 37.14285714],0
s1,1,0.283872,1.148457,[ 4 40] ; [  5 104],[ 2.58823529 41.41176471] ; [  6.41176471 102.58823529],0
u3,1,0.307713,1.040466,[5 4] ; [16 27],[3.63461538 5.36538462] ; [17.36538462 25.63461538],0
p11,1,0.347573,0.882297,[32 12] ; [72 39],[29.52258065 14.47741935] ; [74.47741935 36.52258065],0
p4,1,0.357332,0.847249,[17 27] ; [34 76],[14.57142857 29.42857143] ; [36.42857143 73.57142857],0
b5,1,0.360256,0.837002,[21 23] ; [62 49],[23.56129032 20.43870968] ; [59.43870968 51.56129032],0
d3,1,0.364259,0.823158,[14 30] ; [44 67],[16.46451613 27.53548387] ; [41.53548387 69.46451613],0
p5,1,0.386708,0.749268,[ 4 39] ; [  6 104],[ 2.81045752 40.18954248] ; [  7.18954248 102.81045752],0
b2,1,0.494346,0.467054,[15 17] ; [29 44],[13.40952381 18.59047619] ; [30.59047619 42.40952381],0
b3,1,0.494346,0.467054,[15 17] ; [29 44],[13.40952381 18.59047619] ; [30.59047619 42.40952381],0
a2,1,0.544877,0.366575,[ 3 41] ; [ 11 100],[ 3.97419355 40.02580645] ; [ 10.02580645 100.97419355],0
n1,1,0.564747,0.331551,[ 7 10] ; [15 30],[ 6.03225806 10.96774194] ; [15.96774194 29.03225806],0
p6,1,0.579483,0.307071,[ 9 35] ; [18 90],[ 7.81578947 36.18421053] ; [19.18421053 88.81578947],0
u2,1,0.623011,0.241659,[4 5] ; [15 27],[3.35294118 5.64705882] ; [15.64705882 26.35294118],0
b1,1,0.645536,0.211575,[20 24] ; [55 56],[21.29032258 22.70967742] ; [53.70967742 57.29032258],0
p2,1,0.750627,0.101005,[27 16] ; [66 44],[26.1372549 16.8627451] ; [66.8627451 43.1372549],0
d2,1,0.755305,0.097127,[21 23] ; [49 60],[20.13071895 23.86928105] ; [49.86928105 59.13071895],0
p12,1,0.818363,0.05274,[ 2 42] ; [  6 104],[ 2.28571429 41.71428571] ; [  5.71428571 104.28571429],0
s4,1,0.830175,0.046001,[ 7 37] ; [16 94],[ 6.57142857 37.42857143] ; [16.42857143 93.57142857],0
p1,1,0.906892,0.013679,[ 3 41] ; [  7 104],[ 2.83870968 41.16129032] ; [  7.16129032 103.83870968],0
a8,1,0.917488,0.010733,[ 4 36] ; [10 96],[ 3.83561644 36.16438356] ; [10.16438356 95.83561644],0
n2,1,0.937404,0.006167,[12  5] ; [32 14],[11.87301587  5.12698413] ; [32.12698413 13.87301587],0
d1,1,0.946789,0.004454,[16 28] ; [41 70],[16.18064516 27.81935484] ; [40.81935484 70.18064516],0
