Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.092521,2.829947,[9 8] ; [2 8],[ 6.92592593 10.07407407] ; [4.07407407 5.92592593],0
a3,1,0.119011,2.430288,[20 11] ; [ 7 10],[17.4375 13.5625] ; [9.5625 7.4375],0
d4,1,0.145903,2.114575,[14 17] ; [12  6],[16.44897959 14.55102041] ; [9.55102041 8.44897959],0
p9,1,0.185809,1.750539,[15 14] ; [ 5 11],[12.88888889 16.11111111] ; [7.11111111 8.88888889],0
s7,1,0.194143,1.685896,[ 3 26] ; [ 4 12],[ 4.51111111 24.48888889] ; [ 2.48888889 13.51111111],0
a6,1,0.195506,1.67563,[13 18] ; [11  7],[15.18367347 15.81632653] ; [8.81632653 9.18367347],0
a5,1,0.195506,1.67563,[18 13] ; [ 7 11],[15.81632653 15.18367347] ; [9.18367347 8.81632653],0
v4,1,0.219149,1.509932,[21 10] ; [9 9],[18.97959184 12.02040816] ; [11.02040816  6.97959184],0
n4,1,0.253072,1.306265,[19 12] ; [ 8 10],[17.08163265 13.91836735] ; [9.91836735 8.08163265],0
s2,1,0.267031,1.231936,[ 1 30] ; [ 2 16],[ 1.89795918 29.10204082] ; [ 1.10204082 16.89795918],0
p12,1,0.267031,1.231936,[ 1 30] ; [ 2 16],[ 1.89795918 29.10204082] ; [ 1.10204082 16.89795918],0
u2,1,0.375399,0.785714,[3 8] ; [5 6],[4. 7.] ; [4. 7.],0
a4,1,0.376462,0.782222,[ 8 22] ; [ 7 11],[ 9.375 20.625] ; [ 5.625 12.375],0
p10,1,0.381832,0.764796,[15 16] ; [ 6 11],[13.5625 17.4375] ; [7.4375 9.5625],0
s5,1,0.394859,0.723927,[ 4 27] ; [ 4 14],[ 5.06122449 25.93877551] ; [ 2.93877551 15.06122449],0
s4,1,0.394859,0.723927,[ 4 27] ; [ 4 14],[ 5.06122449 25.93877551] ; [ 2.93877551 15.06122449],0
p8,1,0.412262,0.672269,[10 20] ; [ 4 14],[ 8.75 21.25] ; [ 5.25 12.75],0
d5,1,0.441361,0.592742,[19 12] ; [9 9],[17.71428571 13.28571429] ; [10.28571429  7.71428571],0
s6,1,0.45039,0.56967,[ 7 23] ; [ 6 12],[ 8.125 21.875] ; [ 4.875 13.125],0
v2,1,0.464018,0.536185,[ 6 24] ; [ 5 12],[ 7.0212766 22.9787234] ; [ 3.9787234 13.0212766],0
a2,1,0.471828,0.517692,[ 3 28] ; [ 3 15],[ 3.79591837 27.20408163] ; [ 2.20408163 15.79591837],0
n3,1,0.483231,0.491562,[7 9] ; [3 7],[6.15384615 9.84615385] ; [3.84615385 6.15384615],0
p2,1,0.498962,0.457143,[12 18] ; [9 9],[13.125 16.875] ; [ 7.875 10.125],0
b4,1,0.519308,0.415267,[16 15] ; [11  7],[17.08163265 13.91836735] ; [9.91836735 8.08163265],0
b1,1,0.551323,0.354952,[18 13] ; [12  6],[18.97959184 12.02040816] ; [11.02040816  6.97959184],0
r1,1,0.551323,0.354952,[13 18] ; [ 6 12],[12.02040816 18.97959184] ; [ 6.97959184 11.02040816],0
p3,1,0.557177,0.344615,[ 9 21] ; [ 4 14],[ 8.125 21.875] ; [ 4.875 13.125],0
s8,1,0.589639,0.290909,[ 2 28] ; [ 2 16],[ 2.5 27.5] ; [ 1.5 16.5],0
a1,1,0.628449,0.23417,[ 5 26] ; [ 2 16],[ 4.42857143 26.57142857] ; [ 2.57142857 15.42857143],0
u3,1,0.647141,0.209524,[4 7] ; [3 8],[3.5 7.5] ; [3.5 7.5],0
p6,1,0.656057,0.198348,[ 4 27] ; [ 3 14],[ 4.52083333 26.47916667] ; [ 2.47916667 14.52083333],0
a7,1,0.668854,0.182945,[14 17] ; [ 7 11],[13.28571429 17.71428571] ; [ 7.71428571 10.28571429],0
u1,1,0.691118,0.157878,[ 1 30] ; [ 1 17],[ 1.26530612 29.73469388] ; [ 0.73469388 17.26530612],0
v3,1,0.730647,0.118519,[ 8 22] ; [ 4 14],[ 7.5 22.5] ; [ 4.5 13.5],0
b5,1,0.743528,0.10705,[14 17] ; [9 9],[14.55102041 16.44897959] ; [8.44897959 9.55102041],0
p4,1,0.752819,0.099178,[ 9 22] ; [ 6 12],[ 9.48979592 21.51020408] ; [ 5.51020408 12.48979592],0
b3,1,0.75706,0.095694,[ 8 11] ; [4 7],[ 7.6 11.4] ; [4.4 6.6],0
b2,1,0.75706,0.095694,[ 8 11] ; [4 7],[ 7.6 11.4] ; [4.4 6.6],0
d2,1,0.815163,0.054649,[11 19] ; [ 6 12],[10.625 19.375] ; [ 6.375 11.625],0
n6,1,0.822912,0.050087,[16 14] ; [9 9],[15.625 14.375] ; [9.375 8.625],0
p1,1,0.873015,0.025546,[ 3 28] ; [ 2 16],[ 3.16326531 27.83673469] ; [ 1.83673469 16.16326531],0
n2,1,0.882577,0.021816,[8 9] ; [5 5],[8.18518519 8.81481481] ; [4.81481481 5.18518519],0
p5,1,0.9029,0.014884,[ 3 27] ; [ 2 16],[ 3.125 26.875] ; [ 1.875 16.125],0
d3,1,0.913298,0.011855,[15 16] ; [9 9],[15.18367347 15.81632653] ; [8.81632653 9.18367347],0
n5,1,0.92534,0.008781,[22  9] ; [13  5],[22.14285714  8.85714286] ; [12.85714286  5.14285714],0
d1,1,0.938323,0.005987,[10 21] ; [ 6 12],[10.12244898 20.87755102] ; [ 5.87755102 12.12244898],0
v1,1,0.938323,0.005987,[10 21] ; [ 6 12],[10.12244898 20.87755102] ; [ 5.87755102 12.12244898],0
p11,1,0.938323,0.005987,[10 21] ; [ 6 12],[10.12244898 20.87755102] ; [ 5.87755102 12.12244898],0
p7,1,1.0,0.0,[10 20] ; [ 6 12],[10. 20.] ; [ 6. 12.],0
