Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,62.208633,[37 72] ; [240  77],[70.87558685 38.12441315] ; [206.12441315 110.87558685],1
d3,1,0.0,34.356364,[54 55] ; [251  67],[77.85714286 31.14285714] ; [227.14285714  90.85714286],1
b5,1,0.0,25.705564,[44 65] ; [217 103],[66.31468531 42.68531469] ; [194.68531469 125.31468531],1
a2,1,4e-06,21.338547,[12 97] ; [109 211],[30.74358974 78.25641026] ; [ 90.25641026 229.74358974],1
u1,1,1.7e-05,18.522809,[  9 100] ; [ 91 229],[25.40792541 83.59207459] ; [ 74.59207459 245.40792541],1
s8,1,0.002177,9.393929,[82 27] ; [187 131],[68.66744731 40.33255269] ; [200.33255269 117.66744731],0
p2,1,0.008572,6.909975,[81 26] ; [276  43],[89.66901408 17.33098592] ; [267.33098592  51.66901408],0
d1,1,0.033214,4.534733,[62 47] ; [218 102],[71.14219114 37.85780886] ; [208.85780886 111.14219114],0
s7,1,0.035271,4.432023,[82 22] ; [208  98],[73.56097561 30.43902439] ; [216.43902439  89.56097561],0
b1,1,0.052718,3.752843,[52 57] ; [119 201],[43.44755245 65.55244755] ; [127.55244755 192.44755245],0
p9,1,0.058267,3.586037,[90 17] ; [284  29],[95.28095238 11.71904762] ; [278.71904762  34.28095238],0
b4,1,0.061857,3.486888,[56 53] ; [197 123],[64.28205128 44.71794872] ; [188.71794872 131.28205128],0
n1,1,0.079615,3.072736,[16 11] ; [23 36],[12.24418605 14.75581395] ; [26.75581395 32.24418605],0
a1,1,0.084166,2.982553,[10 99] ; [ 15 305],[  6.35198135 102.64801865] ; [ 18.64801865 301.35198135],0
n3,1,0.101324,2.684585,[19 10] ; [48 11],[22.07954545  6.92045455] ; [44.92045455 14.07954545],0
p4,1,0.105534,2.619852,[64 44] ; [215 102],[70.89882353 37.10117647] ; [208.10117647 108.89882353],0
b3,1,0.117927,2.444646,[37 41] ; [ 69 117],[31.31818182 46.68181818] ; [ 74.68181818 111.31818182],0
b2,1,0.117927,2.444646,[37 41] ; [ 69 117],[31.31818182 46.68181818] ; [ 74.68181818 111.31818182],0
r1,1,0.121867,2.393163,[90 19] ; [281  37],[94.70491803 14.29508197] ; [276.29508197  41.70491803],0
a5,1,0.202091,1.627199,[79 30] ; [251  69],[83.84615385 25.15384615] ; [246.15384615  73.84615385],0
v1,1,0.211662,1.56002,[69 38] ; [178 131],[63.53125 43.46875] ; [183.46875 125.53125],0
v3,1,0.223935,1.478977,[52 54] ; [128 175],[46.65036675 59.34963325] ; [133.34963325 169.65036675],0
p10,1,0.240718,1.376382,[89 18] ; [277  39],[92.58156028 14.41843972] ; [273.41843972  42.58156028],0
a3,1,0.245867,1.346637,[87 22] ; [237  82],[82.51401869 26.48598131] ; [241.48598131  77.51401869],0
p12,1,0.25817,1.278543,[ 9 97] ; [ 40 279],[12.22117647 93.77882353] ; [ 36.77882353 282.22117647],0
s5,1,0.266426,1.235058,[56 47] ; [147 159],[51.12224939 51.87775061] ; [151.87775061 154.12224939],0
d4,1,0.310043,1.030491,[91 17] ; [280  38],[94.05633803 13.94366197] ; [276.94366197  41.05633803],0
p1,1,0.32255,0.97858,[  8 100] ; [ 34 284],[10.64788732 97.35211268] ; [ 31.35211268 286.64788732],0
p11,1,0.402024,0.702265,[88 21] ; [246  74],[84.86247086 24.13752914] ; [249.13752914  70.86247086],0
d2,1,0.423501,0.640579,[55 54] ; [174 143],[58.59389671 50.40610329] ; [170.40610329 146.59389671],0
n6,1,0.426193,0.633174,[91 16] ; [279  38],[93.37264151 13.62735849] ; [276.62735849  40.37264151],0
r2,1,0.453091,0.562907,[107   2] ; [316   3],[107.72663551   1.27336449] ; [315.27336449   3.72663551],0
p7,1,0.484226,0.489331,[73 32] ; [202 105],[70.08495146 34.91504854] ; [204.91504854 102.08495146],0
a8,1,0.538253,0.378788,[15 88] ; [ 50 241],[16.99238579 86.00761421] ; [ 48.00761421 242.99238579],0
u4,1,0.584325,0.299295,[  5 104] ; [ 11 309],[  4.06526807 104.93473193] ; [ 11.93473193 308.06526807],0
s4,1,0.600998,0.273494,[27 81] ; [ 71 244],[25.0212766 82.9787234] ; [ 72.9787234 242.0212766],0
p3,1,0.605063,0.267427,[60 48] ; [167 150],[57.68470588 50.31529412] ; [169.31529412 147.68470588],0
u3,1,0.623983,0.240309,[14  8] ; [56 25],[14.95145631  7.04854369] ; [55.04854369 25.95145631],0
s3,1,0.745049,0.105738,[95 14] ; [280  37],[95.95070423 13.04929577] ; [279.04929577  37.95070423],0
v2,1,0.767453,0.087443,[60 44] ; [181 124],[61.28117359 42.71882641] ; [179.71882641 125.28117359],0
v4,1,0.779936,0.078066,[108   1] ; [316   4],[107.72960373   1.27039627] ; [316.27039627   3.72960373],0
n4,1,0.781248,0.077113,[87 21] ; [253  66],[85.99531616 22.00468384] ; [254.00468384  64.99531616],0
r3,1,0.818234,0.052816,[107   2] ; [311   7],[106.70257611   2.29742389] ; [311.29742389   6.70257611],0
p5,1,0.822669,0.050227,[15 91] ; [ 42 274],[14.31753555 91.68246445] ; [ 42.68246445 273.31753555],0
s6,1,0.828911,0.046699,[91 13] ; [279  37],[91.61904762 12.38095238] ; [278.38095238  37.61904762],0
s1,1,0.852693,0.034478,[  5 103] ; [ 16 299],[  5.36170213 102.63829787] ; [ 15.63829787 299.36170213],0
p8,1,0.862815,0.029857,[56 50] ; [170 146],[56.76777251 49.23222749] ; [169.23222749 146.76777251],0
u2,1,0.870035,0.02677,[14  8] ; [50 31],[13.66990291  8.33009709] ; [50.33009709 30.66990291],0
d5,1,0.878181,0.023494,[90 18] ; [267  51],[90.50704225 17.49295775] ; [266.49295775  51.50704225],0
a4,1,0.886503,0.020372,[54 55] ; [156 164],[53.35664336 55.64335664] ; [156.64335664 163.35664336],0
n2,1,0.906693,0.013738,[22  6] ; [47 12],[22.20689655  5.79310345] ; [46.79310345 12.20689655],0
