Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.6e-05,18.647851,[13 20] ; [83 22],[22.95652174 10.04347826] ; [73.04347826 31.95652174],1
d3,1,0.000207,13.765619,[15 18] ; [83 22],[23.43478261  9.56521739] ; [74.56521739 30.43478261],1
p2,1,0.000303,13.050426,[17 16] ; [86 18],[24.81021898  8.18978102] ; [78.18978102 25.81021898],1
r1,1,0.001426,10.172086,[17 16] ; [83 21],[24.08759124  8.91240876] ; [75.91240876 28.08759124],0
a1,1,0.012062,6.301692,[ 4 29] ; [  2 103],[ 1.43478261 31.56521739] ; [  4.56521739 100.43478261],0
v2,1,0.031565,4.62196,[12 20] ; [57 39],[17.25 14.75] ; [51.75 44.25],0
v4,1,0.046561,3.961195,[28  5] ; [99  5],[30.59124088  2.40875912] ; [96.40875912  7.59124088],0
n1,1,0.047155,3.939865,[7 7] ; [ 8 29],[4.11764706 9.88235294] ; [10.88235294 26.11764706],0
p1,1,0.087262,2.924176,[ 5 28] ; [ 6 97],[ 2.66911765 30.33088235] ; [ 8.33088235 94.66911765],0
b5,1,0.094681,2.792936,[16 17] ; [68 37],[20.08695652 12.91304348] ; [63.91304348 41.08695652],0
s3,1,0.104633,2.63347,[18 15] ; [72 31],[21.83823529 11.16176471] ; [68.16176471 34.83823529],0
s5,1,0.110473,2.54744,[18 14] ; [41 61],[14.08955224 17.91044776] ; [44.91044776 57.08955224],0
d1,1,0.112168,2.523407,[13 20] ; [58 47],[16.97826087 16.02173913] ; [54.02173913 50.97826087],0
p6,1,0.112617,2.517101,[12 20] ; [24 79],[ 8.53333333 23.46666667] ; [27.46666667 75.53333333],0
d4,1,0.117414,2.451486,[24  9] ; [89 16],[27.02173913  5.97826087] ; [85.97826087 19.02173913],0
v3,1,0.121889,2.392875,[ 6 25] ; [34 66],[ 9.46564885 21.53435115] ; [30.53435115 69.46564885],0
u3,1,0.139071,2.188207,[8 8] ; [27 11],[10.37037037  5.62962963] ; [24.62962963 13.37037037],0
a2,1,0.14925,2.079904,[ 3 30] ; [21 84],[ 5.73913043 27.26086957] ; [18.26086957 86.73913043],0
u2,1,0.187842,1.734462,[7 9] ; [24 14],[9.18518519 6.81481481] ; [21.81481481 16.18518519],0
s7,1,0.191968,1.70245,[11 21] ; [48 53],[14.19548872 17.80451128] ; [44.80451128 56.19548872],0
r2,1,0.221633,1.493766,[29  4] ; [98  6],[30.59124088  2.40875912] ; [96.40875912  7.59124088],0
p9,1,0.229517,1.44385,[24  9] ; [84 18],[26.4  6.6] ; [81.6 20.4],0
b1,1,0.244978,1.351719,[14 19] ; [33 72],[11.23913043 21.76086957] ; [35.76086957 69.23913043],0
n2,1,0.25873,1.275538,[12  2] ; [26 11],[10.43137255  3.56862745] ; [27.56862745  9.43137255],0
p3,1,0.285659,1.139967,[17 16] ; [43 62],[14.34782609 18.65217391] ; [45.65217391 59.34782609],0
a3,1,0.289052,1.124033,[17 16] ; [65 40],[19.60869565 13.39130435] ; [62.39130435 42.60869565],0
b4,1,0.339864,0.910943,[18 15] ; [67 38],[20.32608696 12.67391304] ; [64.67391304 40.32608696],0
b3,1,0.341478,0.904874,[ 4 13] ; [17 30],[ 5.578125 11.421875] ; [15.421875 31.578125],0
b2,1,0.341478,0.904874,[ 4 13] ; [17 30],[ 5.578125 11.421875] ; [15.421875 31.578125],0
s1,1,0.387971,0.745292,[ 1 32] ; [  1 103],[ 0.48175182 32.51824818] ; [  1.51824818 102.48175182],0
r4,1,0.398896,0.711652,[27  6] ; [92 13],[28.45652174  4.54347826] ; [90.54347826 14.45652174],0
p10,1,0.418855,0.653526,[23 10] ; [79 24],[24.75  8.25] ; [77.25 25.75],0
a8,1,0.429421,0.62439,[ 2 30] ; [ 3 93],[ 1.25 30.75] ; [ 3.75 92.25],0
s4,1,0.458376,0.549856,[13 20] ; [34 71],[11.23913043 21.76086957] ; [35.76086957 69.23913043],0
a4,1,0.458376,0.549856,[13 20] ; [34 71],[11.23913043 21.76086957] ; [35.76086957 69.23913043],0
a5,1,0.473859,0.512963,[23 10] ; [66 39],[21.2826087 11.7173913] ; [67.7173913 37.2826087],0
p8,1,0.485655,0.486139,[18 15] ; [49 54],[16.25735294 16.74264706] ; [50.74264706 52.25735294],0
s8,1,0.523664,0.406671,[13 20] ; [48 57],[14.58695652 18.41304348] ; [46.41304348 58.58695652],0
v1,1,0.54279,0.370393,[14 19] ; [49 52],[15.51492537 17.48507463] ; [47.48507463 53.51492537],0
n6,1,0.571456,0.320252,[21 12] ; [71 32],[22.32352941 10.67647059] ; [69.67647059 33.32352941],0
d5,1,0.60396,0.269064,[24  9] ; [81 24],[25.10869565  7.89130435] ; [79.89130435 25.10869565],0
p12,1,0.670489,0.181031,[ 1 32] ; [  5 100],[ 1.43478261 31.56521739] ; [  4.56521739 100.43478261],0
p4,1,0.683287,0.166449,[18 15] ; [53 52],[16.97826087 16.02173913] ; [54.02173913 50.97826087],0
p5,1,0.692006,0.156922,[ 1 31] ; [  5 100],[ 1.40145985 30.59854015] ; [  4.59854015 100.40145985],0
d2,1,0.739469,0.110594,[13 20] ; [38 67],[12.19565217 20.80434783] ; [38.80434783 66.19565217],0
