Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.00246,9.170023,[ 8 85] ; [ 7 14],[12.23684211 80.76315789] ; [ 2.76315789 18.23684211],0
v2,1,0.002585,9.079383,[20 72] ; [11  9],[25.46428571 66.53571429] ; [ 5.53571429 14.46428571],0
n4,1,0.008936,6.835584,[51 42] ; [18  3],[56.28947368 36.71052632] ; [12.71052632  8.28947368],0
a3,1,0.012708,6.209361,[47 45] ; [17  4],[52.10619469 39.89380531] ; [11.89380531  9.10619469],0
b4,1,0.045757,3.990522,[44 49] ; [15  6],[48.13157895 44.86842105] ; [10.86842105 10.13157895],0
r2,1,0.051517,3.7914,[62 27] ; [19  2],[65.53636364 23.46363636] ; [15.46363636  5.53636364],0
a1,1,0.085169,2.963398,[ 4 89] ; [ 3 18],[ 5.71052632 87.28947368] ; [ 1.28947368 19.71052632],0
b3,1,0.102789,2.661728,[22 32] ; [8 4],[24.54545455 29.45454545] ; [5.45454545 6.54545455],0
b2,1,0.102789,2.661728,[22 32] ; [8 4],[24.54545455 29.45454545] ; [5.45454545 6.54545455],0
s8,1,0.109878,2.555974,[10 83] ; [ 5 16],[12.23684211 80.76315789] ; [ 2.76315789 18.23684211],0
d4,1,0.139689,2.18138,[50 43] ; [15  6],[53.02631579 39.97368421] ; [11.97368421  9.02631579],0
d2,1,0.143678,2.138118,[32 59] ; [11 10],[34.9375 56.0625] ; [ 8.0625 12.9375],0
r4,1,0.146706,2.106166,[37 56] ; [12  9],[39.97368421 53.02631579] ; [ 9.02631579 11.97368421],0
d1,1,0.151578,2.056302,[29 64] ; [10 11],[31.81578947 61.18421053] ; [ 7.18421053 13.81578947],0
b1,1,0.153822,2.033931,[47 46] ; [ 7 14],[44.05263158 48.94736842] ; [ 9.94736842 11.05263158],0
p4,1,0.166819,1.911302,[35 58] ; [ 4 15],[32.38392857 60.61607143] ; [ 6.61607143 12.38392857],0
n2,1,0.194924,1.68,[21 14] ; [6 1],[22.5 12.5] ; [4.5 2.5],0
r3,1,0.221481,1.494748,[62 30] ; [17  4],[64.31858407 27.68141593] ; [14.68141593  6.31858407],0
n3,1,0.241567,1.371429,[22 13] ; [6 1],[23.33333333 11.66666667] ; [4.66666667 2.33333333],0
v1,1,0.298191,1.082265,[20 69] ; [ 7 14],[21.84545455 67.15454545] ; [ 5.15454545 15.84545455],0
s2,1,0.330836,0.945622,[17 76] ; [ 2 19],[15.5 77.5] ; [ 3.5 17.5],0
a7,1,0.370076,0.803409,[47 45] ; [13  8],[48.84955752 43.15044248] ; [11.15044248  9.84955752],0
p8,1,0.396989,0.717427,[25 67] ; [ 7 12],[26.52252252 65.47747748] ; [ 5.47747748 13.52252252],0
b5,1,0.397841,0.714842,[58 35] ; [11 10],[56.28947368 36.71052632] ; [12.71052632  8.28947368],0
p2,1,0.421706,0.645556,[55 37] ; [10 10],[53.39285714 38.60714286] ; [11.60714286  8.39285714],0
a8,1,0.44298,0.58855,[ 9 80] ; [ 1 20],[ 8.09090909 80.90909091] ; [ 1.90909091 19.09090909],0
s3,1,0.490983,0.47437,[25 66] ; [ 4 16],[23.77477477 67.22522523] ; [ 5.22522523 14.77477477],0
p6,1,0.534561,0.385714,[19 71] ; [ 5 13],[20. 70.] ; [ 4. 14.],0
p7,1,0.55938,0.340779,[37 55] ; [ 7 14],[35.82300885 56.17699115] ; [ 8.17699115 12.82300885],0
p9,1,0.56275,0.334966,[57 31] ; [15  6],[58.12844037 29.87155963] ; [13.87155963  7.12844037],0
s5,1,0.566,0.329422,[ 8 82] ; [ 1 19],[ 7.36363636 82.63636364] ; [ 1.63636364 18.36363636],0
s4,1,0.585442,0.297519,[13 80] ; [ 2 19],[12.23684211 80.76315789] ; [ 2.76315789 18.23684211],0
d5,1,0.621512,0.243748,[56 36] ; [14  7],[56.99115044 35.00884956] ; [13.00884956  7.99115044],0
p10,1,0.622797,0.241956,[51 40] ; [10 10],[50.00900901 40.99099099] ; [10.99099099  9.00900901],0
d3,1,0.6247,0.239316,[38 53] ; [10 11],[39. 52.] ; [ 9. 12.],0
v4,1,0.630458,0.23144,[66 27] ; [16  5],[66.89473684 26.10526316] ; [15.10526316  5.89473684],0
u2,1,0.63276,0.228336,[17 29] ; [1 3],[16.56 29.44] ; [1.44 2.56],0
a4,1,0.720127,0.128371,[30 62] ; [ 6 15],[29.30973451 62.69026549] ; [ 6.69026549 14.30973451],0
u3,1,0.754357,0.097906,[15 31] ; [1 3],[14.72 31.28] ; [1.28 2.72],0
p11,1,0.778839,0.078867,[50 43] ; [12  9],[50.57894737 42.42105263] ; [11.42105263  9.57894737],0
a5,1,0.778839,0.078867,[43 50] ; [ 9 12],[42.42105263 50.57894737] ; [ 9.57894737 11.42105263],0
a6,1,0.778839,0.078867,[50 43] ; [12  9],[50.57894737 42.42105263] ; [11.42105263  9.57894737],0
n5,1,0.780843,0.077406,[59 34] ; [14  7],[59.55263158 33.44736842] ; [13.44736842  7.55263158],0
p5,1,0.90125,0.015397,[ 5 87] ; [ 1 20],[ 4.88495575 87.11504425] ; [ 1.11504425 19.88495575],0
n1,1,0.926033,0.008619,[12 22] ; [2 4],[11.9 22.1] ; [2.1 3.9],0
s7,1,0.944556,0.004837,[16 71] ; [ 4 17],[16.11111111 70.88888889] ; [ 3.88888889 17.11111111],0
s1,1,0.94571,0.004637,[ 5 88] ; [ 1 19],[ 4.9380531 88.0619469] ; [ 1.0619469 18.9380531],0
p3,1,0.953761,0.003362,[27 65] ; [ 6 14],[27.10714286 64.89285714] ; [ 5.89285714 14.10714286],0
n6,1,0.974702,0.001006,[61 31] ; [14  7],[61.0619469 30.9380531] ; [13.9380531  7.0619469],0
a2,1,0.98282,0.000464,[ 9 84] ; [ 2 19],[ 8.97368421 84.02631579] ; [ 2.02631579 18.97368421],0
