Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,95.591498,[ 3 34] ; [144  21],[26.92574257 10.07425743] ; [120.07425743  44.92574257],1
p2,1,3.3e-05,17.245622,[16 22] ; [126  39],[26.58128079 11.41871921] ; [115.41871921  49.58128079],1
v4,1,0.000134,14.590962,[30  8] ; [159   6],[35.37931034  2.62068966] ; [153.62068966  11.37931034],1
p11,1,0.00017,14.140004,[17 21] ; [125  40],[26.58128079 11.41871921] ; [115.41871921  49.58128079],1
b1,1,0.00121,10.475032,[21 17] ; [ 46 119],[12.54187192 25.45812808] ; [ 54.45812808 110.54187192],0
r4,1,0.024644,5.048701,[30  8] ; [151  14],[33.8817734  4.1182266] ; [147.1182266  17.8817734],0
p8,1,0.028409,4.803056,[ 4 34] ; [ 45 119],[ 9.21782178 28.78217822] ; [ 39.78217822 124.21782178],0
r2,1,0.059259,3.558009,[33  5] ; [157   8],[35.56650246  2.43349754] ; [154.43349754  10.56650246],0
n5,1,0.060056,3.535834,[22 16] ; [121  44],[26.76847291 11.23152709] ; [116.23152709  48.76847291],0
n4,1,0.078663,3.092317,[24 14] ; [127  38],[28.26600985  9.73399015] ; [122.73399015  42.26600985],0
d2,1,0.084548,2.975224,[25 13] ; [83 82],[20.21674877 17.78325123] ; [87.78325123 77.21674877],0
a6,1,0.088025,2.910127,[21 17] ; [115  50],[25.45812808 12.54187192] ; [110.54187192  54.45812808],0
s3,1,0.094175,2.801524,[20 17] ; [111  51],[24.35678392 12.64321608] ; [106.64321608  55.35678392],0
a1,1,0.09567,2.776276,[ 3 35] ; [  4 161],[ 1.31034483 36.68965517] ; [  5.68965517 159.31034483],0
s8,1,0.110073,2.553175,[14 24] ; [84 80],[18.43564356 19.56435644] ; [79.56435644 84.43564356],0
p3,1,0.116085,2.469368,[10 28] ; [66 99],[14.22660099 23.77339901] ; [ 61.77339901 103.22660099],0
s4,1,0.123448,2.373018,[11 26] ; [ 30 133],[ 7.585 29.415] ; [ 33.415 129.585],0
s1,1,0.131021,2.280361,[ 4 34] ; [  7 155],[ 2.09 35.91] ; [  8.91 153.09],0
r3,1,0.1316,2.273523,[33  5] ; [155  10],[35.19211823  2.80788177] ; [152.80788177  12.19211823],0
n1,1,0.154552,2.026742,[ 4 10] ; [25 25],[6.34375 7.65625] ; [22.65625 27.34375],0
a5,1,0.182414,1.777846,[24 14] ; [122  43],[27.33004926 10.66995074] ; [118.66995074  46.33004926],0
u3,1,0.194867,1.680435,[10  3] ; [31 23],[7.95522388 5.04477612] ; [33.04477612 20.95522388],0
p6,1,0.196958,1.664789,[ 4 34] ; [ 32 133],[ 6.73891626 31.26108374] ; [ 29.26108374 135.73891626],0
v1,1,0.207196,1.59091,[16 22] ; [84 73],[19.48717949 18.51282051] ; [80.51282051 76.48717949],0
n6,1,0.271761,1.207836,[30  8] ; [142  23],[32.19704433  5.80295567] ; [139.80295567  25.19704433],0
s7,1,0.295524,1.094284,[16 20] ; [86 73],[18.83076923 17.16923077] ; [83.16923077 75.83076923],0
