Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,25.229315,[240  39] ; [22 19],[228.43125  50.56875] ; [33.56875  7.43125],1
n4,1,1e-06,23.235675,[239  40] ; [23 19],[227.71962617  51.28037383] ; [34.28037383  7.71962617],1
p10,1,3.9e-05,16.919616,[243  32] ; [24 14],[234.58466454  40.41533546] ; [32.41533546  5.58466454],1
p11,1,0.000609,11.749589,[239  40] ; [27 15],[231.19626168  47.80373832] ; [34.80373832  7.19626168],1
r4,1,0.000684,11.533267,[262  17] ; [33  9],[256.40186916  22.59813084] ; [38.59813084  3.40186916],1
p4,1,0.001384,10.227153,[195  82] ; [18 22],[186.12302839  90.87697161] ; [26.87697161 13.12302839],0
b1,1,0.001679,9.870778,[ 90 189] ; [24 18],[ 99.08411215 179.91588785] ; [14.91588785 27.08411215],0
p9,1,0.002986,8.816262,[249  26] ; [29 10],[243.47133758  31.52866242] ; [34.52866242  4.47133758],0
p7,1,0.004511,8.065757,[199  72] ; [20 19],[191.4483871  79.5516129] ; [27.5516129 11.4483871],0
p3,1,0.005379,7.74726,[172 106] ; [15 24],[163.99369085 114.00630915] ; [23.00630915 15.99369085],0
s8,1,0.011805,6.339893,[149 126] ; [14 28],[141.40378549 133.59621451] ; [21.59621451 20.40378549],0
p8,1,0.032826,4.554841,[168 105] ; [17 22],[161.875 111.125] ; [23.125 15.875],0
p2,1,0.034793,4.455285,[248  30] ; [31  9],[243.90566038  34.09433962] ; [35.09433962  4.90566038],0
r2,1,0.038134,4.299043,[263  12] ; [36  5],[260.2056962  14.7943038] ; [38.7943038  2.2056962],0
v3,1,0.048609,3.888818,[170 102] ; [19 22],[164.2428115 107.7571885] ; [24.7571885 16.2428115],0
s7,1,0.049886,3.845274,[153 112] ; [16 23],[147.31907895 117.68092105] ; [21.68092105 17.31907895],0
u2,1,0.061843,3.487262,[33 31] ; [9 2],[35.84 28.16] ; [6.16 4.84],0
s6,1,0.068768,3.312183,[197  75] ; [24 17],[192.05111821  79.94888179] ; [28.94888179 12.05111821],0
s5,1,0.070593,3.269175,[105 164] ; [10 31],[ 99.79032258 169.20967742] ; [15.20967742 25.79032258],0
u1,1,0.095525,2.778704,[ 65 214] ; [ 5 37],[ 60.8411215 218.1588785] ; [ 9.1588785 32.8411215],0
s3,1,0.097389,2.747795,[151 122] ; [17 24],[146.06369427 126.93630573] ; [21.93630573 19.06369427],0
d1,1,0.119281,2.426738,[187  92] ; [23 19],[182.52336449  96.47663551] ; [27.47663551 14.52336449],0
s2,1,0.13186,2.270468,[151 122] ; [18 24],[146.46666667 126.53333333] ; [22.53333333 19.46666667],0
a7,1,0.134754,2.23686,[209  69] ; [27 15],[205.025  72.975] ; [30.975 11.025],0
a4,1,0.138305,2.196714,[140 138] ; [16 26],[135.525 142.475] ; [20.475 21.525],0
p5,1,0.165481,1.923415,[ 43 235] ; [ 3 38],[ 40.08777429 237.91222571] ; [ 5.91222571 35.08777429],0
p6,1,0.193043,1.694238,[130 143] ; [13 23],[126.33980583 146.66019417] ; [16.66019417 19.33980583],0
d2,1,0.194034,1.68672,[149 129] ; [18 24],[145.08125 132.91875] ; [21.91875 20.08125],0
v4,1,0.199961,1.642662,[269   9] ; [38  3],[267.54231975  10.45768025] ; [39.45768025  1.54231975],0
a8,1,0.201016,1.634975,[ 41 206] ; [ 3 33],[ 38.40282686 208.59717314] ; [ 5.59717314 30.40282686],0
r3,1,0.207184,1.590996,[274   5] ; [39  2],[272.896875   6.103125] ; [40.103125  0.896875],0
a5,1,0.23114,1.433833,[222  57] ; [30 12],[219.02803738  59.97196262] ; [32.97196262  9.02803738],0
a2,1,0.24163,1.371059,[ 77 202] ; [ 8 34],[ 73.87850467 205.12149533] ; [11.12149533 30.87850467],0
