Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,89.400043,[106   3] ; [ 5 22],[88.96323529 20.03676471] ; [22.03676471  4.96323529],1
p2,1,0.001052,10.734511,[92 17] ; [15 12],[85.75735294 23.24264706] ; [21.24264706  5.75735294],0
v4,1,0.005459,7.720853,[105   4] ; [22  5],[101.78676471   7.21323529] ; [25.21323529  1.78676471],0
p11,1,0.008237,6.981113,[91 19] ; [16 11],[85.91240876 24.08759124] ; [21.08759124  5.91240876],0
a7,1,0.009661,6.696429,[89 19] ; [16 11],[84. 24.] ; [21.  6.],0
s5,1,0.023833,5.106778,[40 66] ; [ 4 23],[35.06766917 70.93233083] ; [ 8.93233083 18.06766917],0
r4,1,0.028164,4.818002,[99 11] ; [20  7],[95.54744526 14.45255474] ; [23.45255474  3.54744526],0
s3,1,0.033767,4.506456,[90 20] ; [17 10],[85.91240876 24.08759124] ; [21.08759124  5.91240876],0
r2,1,0.047265,3.935915,[102   7] ; [22  5],[99.38235294  9.61764706] ; [24.61764706  2.38235294],0
n5,1,0.064366,3.421145,[74 36] ; [13 14],[69.8540146 40.1459854] ; [17.1459854  9.8540146],0
s4,1,0.089202,2.888718,[24 83] ; [ 2 24],[20.91729323 86.08270677] ; [ 5.08270677 20.91729323],0
v1,1,0.091454,2.848599,[58 47] ; [10 17],[54.09090909 50.90909091] ; [13.90909091 13.09090909],0
n6,1,0.11452,2.490705,[88 21] ; [18  9],[84.95588235 24.04411765] ; [21.04411765  5.95588235],0
a4,1,0.119338,2.425993,[42 68] ; [ 6 21],[38.54014599 71.45985401] ; [ 9.45985401 17.54014599],0
s8,1,0.148552,2.087055,[36 74] ; [ 5 22],[32.91970803 77.08029197] ; [ 8.08029197 18.91970803],0
d5,1,0.179764,1.799577,[86 23] ; [18  9],[83.35294118 25.64705882] ; [20.64705882  6.35294118],0
a5,1,0.18205,1.780808,[76 34] ; [15 12],[73.06569343 36.93430657] ; [17.93430657  9.06569343],0
p4,1,0.198103,1.656308,[64 46] ; [12 15],[61.02189781 48.97810219] ; [14.97810219 12.02189781],0
d1,1,0.23014,1.439995,[63 47] ; [12 15],[60.2189781 49.7810219] ; [14.7810219 12.2189781],0
p6,1,0.240883,1.37542,[37 72] ; [ 6 21],[34.46323529 74.53676471] ; [ 8.53676471 18.46323529],0
n4,1,0.259909,1.269244,[70 40] ; [14 13],[67.44525547 42.55474453] ; [16.55474453 10.44525547],0
a2,1,0.283928,1.14819,[22 88] ; [ 3 24],[20.0729927 89.9270073] ; [ 4.9270073 22.0729927],0
a6,1,0.284152,1.147123,[77 33] ; [16 11],[74.67153285 35.32846715] ; [18.32846715  8.67153285],0
s1,1,0.285248,1.141917,[  1 107] ; [ 1 26],[  1.6 106.4] ; [ 0.4 26.6],0
s6,1,0.313094,1.017578,[83 26] ; [18  9],[80.94852941 28.05147059] ; [20.05147059  6.94852941],0
u3,1,0.314486,1.011742,[27 20] ; [4 6],[25.56140351 21.43859649] ; [5.43859649 4.56140351],0
d3,1,0.34519,0.891061,[75 34] ; [16 11],[72.93382353 36.06617647] ; [18.06617647  8.93382353],0
b5,1,0.386555,0.749753,[71 39] ; [15 12],[69.05109489 40.94890511] ; [16.94890511 10.05109489],0
v3,1,0.404235,0.695692,[37 67] ; [ 7 19],[35.2 68.8] ; [ 8.8 17.2],0
u2,1,0.414745,0.665159,[26 22] ; [4 6],[24.82758621 23.17241379] ; [5.17241379 4.82758621],0
n1,1,0.458902,0.548571,[ 7 18] ; [1 6],[ 6.25 18.75] ; [1.75 5.25],0
a3,1,0.480179,0.498456,[61 49] ; [17 10],[62.62773723 47.37226277] ; [15.37226277 11.62773723],0
d4,1,0.519714,0.414462,[95 15] ; [22  5],[93.94160584 16.05839416] ; [23.05839416  3.94160584],0
v2,1,0.531582,0.391366,[52 50] ; [11 14],[50.5984252 51.4015748] ; [12.4015748 12.5984252],0
r3,1,0.545063,0.366236,[105   5] ; [25  2],[104.37956204   5.62043796] ; [25.62043796  1.37956204],0
b1,1,0.5473,0.362177,[38 72] ; [11 16],[39.34306569 70.65693431] ; [ 9.65693431 17.34306569],0
d2,1,0.550705,0.356056,[42 68] ; [12 15],[43.35766423 66.64233577] ; [10.64233577 16.35766423],0
b4,1,0.551706,0.354269,[64 46] ; [14 13],[62.62773723 47.37226277] ; [15.37226277 11.62773723],0
n2,1,0.582647,0.301976,[19  6] ; [6 1],[19.53125  5.46875] ; [5.46875 1.53125],0
p8,1,0.5989,0.276659,[51 59] ; [11 16],[49.7810219 60.2189781] ; [12.2189781 14.7810219],0
p7,1,0.60995,0.260248,[61 45] ; [17 10],[62.16541353 43.83458647] ; [15.83458647 11.16541353],0
r1,1,0.657016,0.197168,[76 33] ; [20  7],[76.94117647 32.05882353] ; [19.05882353  7.94117647],0
a8,1,0.770017,0.08547,[10 94] ; [ 3 23],[10.4 93.6] ; [ 2.6 23.4],0
n3,1,0.773938,0.0825,[17  8] ; [5 3],[16.66666667  8.33333333] ; [5.33333333 2.66666667],0
p3,1,0.785411,0.074133,[48 62] ; [11 16],[47.37226277 62.62773723] ; [11.62773723 15.37226277],0
p1,1,0.841383,0.04005,[  5 104] ; [ 1 26],[  4.80882353 104.19117647] ; [ 1.19117647 25.80882353],0
u1,1,0.87386,0.025204,[15 95] ; [ 4 23],[15.25547445 94.74452555] ; [ 3.74452555 23.25547445],0
b2,1,0.991078,0.000125,[17 40] ; [3 7],[17.01492537 39.98507463] ; [2.98507463 7.01492537],0
b3,1,0.991078,0.000125,[17 40] ; [3 7],[17.01492537 39.98507463] ; [2.98507463 7.01492537],0
