Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,42.0,[ 5 65] ; [27 15],[20. 50.] ; [12. 30.],1
s6,1,0.0,25.508159,[24 45] ; [36  7],[36.96428571 32.03571429] ; [23.03571429 19.96428571],1
s2,1,1e-05,19.524488,[16 53] ; [28 15],[27.10714286 41.89285714] ; [16.89285714 26.10714286],1
s3,1,5.1e-05,16.396021,[22 47] ; [30 12],[32.32432432 36.67567568] ; [19.67567568 22.32432432],1
d1,1,6.1e-05,16.056193,[32 38] ; [36  7],[42.12389381 27.87610619] ; [25.87610619 17.12389381],1
u1,1,0.002642,9.039637,[ 8 62] ; [15 28],[14.24778761 55.75221239] ; [ 8.75221239 34.24778761],0
d3,1,0.003067,8.767096,[43 27] ; [36  5],[49.81981982 20.18018018] ; [29.18018018 11.81981982],0
d4,1,0.003845,8.355665,[51 19] ; [39  2],[56.75675676 13.24324324] ; [33.24324324  7.75675676],0
d5,1,0.00408,8.248031,[46 24] ; [37  4],[52.34234234 17.65765766] ; [30.65765766 10.34234234],0
s5,1,0.005761,7.623529,[11 57] ; [16 24],[17. 51.] ; [10. 30.],0
p6,1,0.00661,7.375918,[ 8 61] ; [14 29],[13.55357143 55.44642857] ; [ 8.44642857 34.55357143],0
a2,1,0.007062,7.257256,[13 57] ; [18 25],[19.20353982 50.79646018] ; [11.79646018 31.20353982],0
v3,1,0.009847,6.662379,[18 50] ; [20 19],[24.14953271 43.85046729] ; [13.85046729 25.14953271],0
v1,1,0.012534,6.233778,[20 50] ; [21 19],[26.09090909 43.90909091] ; [14.90909091 25.09090909],0
d2,1,0.012989,6.170586,[29 41] ; [27 14],[35.31531532 34.68468468] ; [20.68468468 20.31531532],0
v2,1,0.014272,6.004203,[30 38] ; [28 13],[36.18348624 31.81651376] ; [21.81651376 19.18348624],0
p9,1,0.015426,5.867167,[38 31] ; [32  9],[43.90909091 25.09090909] ; [26.09090909 14.90909091],0
p10,1,0.023649,5.120207,[36 32] ; [32 11],[41.65765766 26.34234234] ; [26.34234234 16.65765766],0
r2,1,0.025648,4.979586,[58 11] ; [41  1],[61.54054054  7.45945946] ; [37.45945946  4.54054054],0
a6,1,0.049264,3.866331,[48 22] ; [35  6],[52.34234234 17.65765766] ; [30.65765766 10.34234234],0
a5,1,0.052131,3.771573,[45 25] ; [35  8],[49.55752212 20.44247788] ; [30.44247788 12.55752212],0
r1,1,0.052131,3.771573,[45 25] ; [35  8],[49.55752212 20.44247788] ; [30.44247788 12.55752212],0
v4,1,0.060094,3.534793,[56 14] ; [40  3],[59.46902655 10.53097345] ; [36.53097345  6.46902655],0
