Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,4e-06,21.482685,[13 59] ; [20 11],[23.06796117 48.93203883] ; [ 9.93203883 21.06796117],1
s6,1,0.000103,15.073101,[27 48] ; [24  7],[36.08490566 38.91509434] ; [14.91509434 16.08490566],1
s2,1,0.000294,13.107108,[17 57] ; [18 12],[24.90384615 49.09615385] ; [10.09615385 19.90384615],1
v3,1,0.000718,11.442895,[14 60] ; [16 15],[21.14285714 52.85714286] ; [ 8.85714286 22.14285714],1
s3,1,0.002166,9.402894,[25 49] ; [20 10],[32.01923077 41.98076923] ; [12.98076923 17.01923077],0
p8,1,0.004082,8.24701,[19 55] ; [17 14],[25.37142857 48.62857143] ; [10.62857143 20.37142857],0
u3,1,0.004244,8.176389,[13 17] ; [11  1],[17.14285714 12.85714286] ; [6.85714286 5.14285714],0
p3,1,0.004886,7.921213,[14 61] ; [14 17],[19.81132075 55.18867925] ; [ 8.18867925 22.81132075],0
p4,1,0.008421,6.94168,[23 52] ; [18 13],[29.00943396 45.99056604] ; [11.99056604 19.00943396],0
a8,1,0.009869,6.658319,[ 6 62] ; [ 8 19],[10.02105263 57.97894737] ; [ 3.97894737 23.02105263],0
p6,1,0.016701,5.727529,[17 57] ; [14 16],[22.05769231 51.94230769] ; [ 8.94230769 21.05769231],0
n4,1,0.017443,5.651223,[45 30] ; [26  5],[50.23584906 24.76415094] ; [20.76415094 10.23584906],0
u2,1,0.030729,4.668042,[11 18] ; [9 3],[14.14634146 14.85365854] ; [5.85365854 6.14634146],0
d5,1,0.031975,4.599811,[47 28] ; [26  5],[51.6509434 23.3490566] ; [21.3490566  9.6509434],0
p9,1,0.038835,4.26806,[26 46] ; [18 13],[30.75728155 41.24271845] ; [13.24271845 17.75728155],0
a5,1,0.041395,4.159767,[37 38] ; [22  9],[41.74528302 33.25471698] ; [17.25471698 13.74528302],0
d1,1,0.061162,3.505588,[31 44] ; [19 12],[35.37735849 39.62264151] ; [14.62264151 16.37735849],0
n5,1,0.063673,3.439041,[36 39] ; [21 10],[40.33018868 34.66981132] ; [16.66981132 14.33018868],0
d4,1,0.068432,3.320244,[52 22] ; [27  4],[55.67619048 18.32380952] ; [23.32380952  7.67619048],0
v1,1,0.086608,2.936311,[26 48] ; [16 14],[29.88461538 44.11538462] ; [12.11538462 17.88461538],0
v4,1,0.090818,2.859809,[64 11] ; [30  1],[66.50943396  8.49056604] ; [27.49056604  3.50943396],0
d3,1,0.093716,2.809353,[40 35] ; [22  9],[43.86792453 31.13207547] ; [18.13207547 12.86792453],0
r4,1,0.119985,2.41751,[58 17] ; [28  3],[60.8490566 14.1509434] ; [25.1509434  5.8490566],0
