Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,134.705665,[282   4] ; [85 68],[239.09339408  46.90660592] ; [127.90660592  25.09339408],1
d2,1,0.0,132.787973,[213  73] ; [ 26 127],[155.70387244 130.29612756] ; [83.29612756 69.70387244],1
d3,1,0.0,122.903151,[257  30] ; [61 92],[207.42272727  79.57727273] ; [110.57727273  42.42272727],1
d5,1,0.0,96.973406,[279   7] ; [96 57],[244.30523918  41.69476082] ; [130.69476082  22.30523918],1
u1,1,0.0,52.36118,[ 94 193] ; [  4 149],[ 63.92272727 223.07727273] ; [ 34.07727273 118.92272727],1
a2,1,0.0,47.698147,[109 178] ; [ 11 142],[ 78.27272727 208.72727273] ; [ 41.72727273 111.27272727],1
a5,1,0.0,43.039987,[252  35] ; [93 60],[225.03409091  61.96590909] ; [119.96590909  33.03409091],1
a4,1,0.0,37.972526,[175 111] ; [ 46 106],[144.30593607 141.69406393] ; [76.69406393 75.30593607],1
a3,1,0.0,36.36828,[241  45] ; [89 64],[214.98861048  71.01138952] ; [115.01138952  37.98861048],1
n4,1,0.000196,13.873255,[271  16] ; [127  25],[260.19589977  26.80410023] ; [137.80410023  14.19589977],1
s2,1,0.000237,13.508807,[179 102] ; [69 83],[160.94226328 120.05773672] ; [87.05773672 64.94226328],1
r1,1,0.000547,11.948106,[250  36] ; [113  39],[237.02739726  48.97260274] ; [125.97260274  26.02739726],1
r2,1,0.00358,8.485665,[274   9] ; [137  15],[267.3862069  15.6137931] ; [143.6137931   8.3862069],0
v1,1,0.003581,8.48481,[192  88] ; [81 68],[178.18181818 101.81818182] ; [94.81818182 54.18181818],0
s8,1,0.007259,7.207666,[162 121] ; [67 86],[148.63990826 134.36009174] ; [80.36009174 72.63990826],0
a7,1,0.009137,6.795907,[222  65] ; [100  52],[210.51025057  76.48974943] ; [111.48974943  40.51025057],0
v3,1,0.009592,6.709138,[136 135] ; [56 95],[123.2985782 147.7014218] ; [68.7014218 82.2985782],0
s5,1,0.009649,6.698501,[119 153] ; [ 46 103],[106.60332542 165.39667458] ; [58.39667458 90.60332542],0
a6,1,0.011201,6.433074,[210  77] ; [94 59],[198.29090909  88.70909091] ; [105.70909091  47.29090909],0
r4,1,0.020573,5.362574,[271  16] ; [135  18],[264.82272727  22.17727273] ; [141.17727273  11.82272727],0
n6,1,0.022979,5.170124,[271  15] ; [135  17],[265.10502283  20.89497717] ; [140.89497717  11.10502283],0
s3,1,0.030988,4.653644,[179 101] ; [81 71],[168.51851852 111.48148148] ; [91.48148148 60.51851852],0
p12,1,0.052217,3.768801,[ 36 251] ; [ 10 142],[ 30.07289294 256.92710706] ; [ 15.92710706 136.07289294],0
v4,1,0.058791,3.57117,[277   8] ; [142  10],[273.26086957  11.73913043] ; [145.73913043   6.26086957],0
v2,1,0.059055,3.563728,[176 103] ; [80 69],[166.87850467 112.12149533] ; [89.12149533 59.87850467],0
a1,1,0.072188,3.232564,[ 19 268] ; [  4 149],[ 15.00227273 271.99772727] ; [  7.99772727 145.00227273],0
u4,1,0.075126,3.167303,[ 13 273] ; [  2 151],[  9.77220957 276.22779043] ; [  5.22779043 147.77220957],0
p9,1,0.080274,3.059352,[264  21] ; [134  19],[258.97260274  26.02739726] ; [139.02739726  13.97260274],0
s6,1,0.095211,2.783986,[217  62] ; [105  44],[209.90186916  69.09813084] ; [112.09813084  36.90186916],0
p11,1,0.112123,2.524045,[249  38] ; [124  29],[243.29772727  43.70227273] ; [129.70227273  23.29772727],0
p3,1,0.116909,2.458248,[204  82] ; [98 55],[196.74715262  89.25284738] ; [105.25284738  47.74715262],0
u3,1,0.153286,2.039241,[30 16] ; [33 31],[26.34545455 19.65454545] ; [36.65454545 27.34545455],0
p6,1,0.155881,2.01374,[150 132] ; [70 82],[142.94930876 139.05069124] ; [77.05069124 74.94930876],0
p8,1,0.251918,1.312634,[196  89] ; [95 55],[190.65517241  94.34482759] ; [100.34482759  49.65517241],0
r3,1,0.337727,0.919039,[273  11] ; [144   9],[271.00228833  12.99771167] ; [145.99771167   7.00228833],0
b4,1,0.349093,0.876751,[169 118] ; [83 70],[164.37272727 122.62727273] ; [87.62727273 65.37272727],0
s7,1,0.441417,0.592597,[165 107] ; [80 61],[161.3559322 110.6440678] ; [83.6440678 57.3559322],0
s4,1,0.496703,0.461973,[ 52 229] ; [ 24 127],[ 49.43518519 231.56481481] ; [ 26.56481481 124.43518519],0
p10,1,0.509566,0.434958,[256  30] ; [132  19],[253.93135011  32.06864989] ; [134.06864989  16.93135011],0
p2,1,0.517992,0.41789,[263  23] ; [137  15],[261.18721461  24.81278539] ; [138.81278539  13.18721461],0
n3,1,0.529903,0.394577,[28 13] ; [24  8],[29.20547945 11.79452055] ; [22.79452055  9.20547945],0
b1,1,0.574277,0.315579,[114 173] ; [65 88],[116.75681818 170.24318182] ; [62.24318182 90.75681818],0
n1,1,0.589956,0.290413,[19 23] ; [16 15],[20.1369863 21.8630137] ; [14.8630137 16.1369863],0
b5,1,0.637876,0.221531,[168 119] ; [86 67],[165.67727273 121.32272727] ; [88.32272727 64.67727273],0
p7,1,0.665289,0.187162,[209  75] ; [114  37],[210.87816092  73.12183908] ; [112.12183908  38.87816092],0
b3,1,0.6804,0.169675,[ 80 115] ; [35 56],[ 78.40909091 116.59090909] ; [36.59090909 54.40909091],0
b2,1,0.6804,0.169675,[ 80 115] ; [35 56],[ 78.40909091 116.59090909] ; [36.59090909 54.40909091],0
u2,1,0.696319,0.152329,[27 18] ; [36 28],[26.00917431 18.99082569] ; [36.99082569 27.00917431],0
p1,1,0.761386,0.09221,[ 31 256] ; [ 15 137],[ 30.07289294 256.92710706] ; [ 15.92710706 136.07289294],0
n2,1,0.84462,0.038411,[32 10] ; [25  7],[32.35135135  9.64864865] ; [24.64864865  7.35135135],0
p5,1,0.897783,0.016503,[ 56 228] ; [ 29 122],[ 55.49425287 228.50574713] ; [ 29.50574713 121.49425287],0
s1,1,0.918873,0.010374,[ 10 274] ; [  5 145],[  9.8156682 274.1843318] ; [  5.1843318 144.8156682],0
a8,1,0.987711,0.000237,[ 36 215] ; [ 20 120],[ 35.9488491 215.0511509] ; [ 20.0511509 119.9488491],0
