Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,83.830448,[266  54] ; [116 132],[215.21126761 104.78873239] ; [166.78873239  81.21126761],1
p4,1,0.0,43.684494,[250  74] ; [128 124],[212.625 111.375] ; [165.375  86.625],1
p3,1,0.0,42.459573,[221 103] ; [103 148],[182.56695652 141.43304348] ; [141.43304348 109.56695652],1
p6,1,0.0,34.603416,[167 158] ; [ 68 183],[132.59548611 192.40451389] ; [102.40451389 148.59548611],1
p11,1,0.0,27.041294,[294  31] ; [187  65],[270.92720971  54.07279029] ; [210.07279029  41.92720971],1
p5,1,0.0,26.860713,[ 66 259] ; [ 13 235],[ 44.80802792 280.19197208] ; [ 34.19197208 213.80802792],1
p2,1,0.0,26.684873,[301  23] ; [195  55],[279.97212544  44.02787456] ; [216.02787456  33.97212544],1
v1,1,0.000119,14.807914,[206 112] ; [117 124],[183.74597496 134.25402504] ; [139.25402504 101.74597496],1
r4,1,0.001415,10.18584,[308  17] ; [220  32],[297.40034662  27.59965338] ; [230.59965338  21.40034662],0
p10,1,0.002107,9.453544,[308  16] ; [221  30],[298.08  25.92] ; [230.92  20.08],0
b5,1,0.00555,7.690901,[181 144] ; [169  83],[197.14038128 127.85961872] ; [152.85961872  99.14038128],0
v3,1,0.006417,7.429187,[148 168] ; [ 84 154],[132.33212996 183.66787004] ; [ 99.66787004 138.33212996],0
s5,1,0.007121,7.242299,[137 174] ; [ 79 162],[121.69565217 189.30434783] ; [ 94.30434783 146.69565217],0
v4,1,0.00724,7.212512,[314   8] ; [232  18],[307.36363636  14.63636364] ; [238.63636364  11.36363636],0
p1,1,0.007336,7.188742,[ 39 284] ; [ 14 238],[ 29.77217391 293.22782609] ; [ 23.22782609 228.77217391],0
r1,1,0.009057,6.811455,[282  41] ; [198  52],[270.57591623  52.42408377] ; [209.42408377  40.57591623],0
n6,1,0.0208,5.343432,[291  31] ; [209  40],[281.9614711  40.0385289] ; [218.0385289  30.9614711],0
n5,1,0.032018,4.597557,[266  57] ; [186  62],[255.68476357  67.31523643] ; [196.31523643  51.68476357],0
p12,1,0.038397,4.28734,[ 40 283] ; [ 18 234],[ 32.58086957 290.41913043] ; [ 25.41913043 226.58086957],0
a2,1,0.082548,3.014002,[ 94 231] ; [ 90 162],[103.63951473 221.36048527] ; [ 80.36048527 171.63951473],0
a6,1,0.090174,2.871269,[228  95] ; [193  58],[236.90418118  86.09581882] ; [184.09581882  66.90418118],0
s8,1,0.112798,2.514576,[173 148] ; [119 133],[163.58115183 157.41884817] ; [128.41884817 123.58115183],0
a3,1,0.137395,2.206897,[254  70] ; [210  42],[261.  63.] ; [203.  49.],0
u1,1,0.173883,1.849146,[ 67 258] ; [ 64 188],[ 73.78682842 251.21317158] ; [ 57.21317158 194.78682842],0
v2,1,0.175059,1.839075,[199 116] ; [138 102],[191.27027027 123.72972973] ; [145.72972973  94.27027027],0
d5,1,0.175617,1.834326,[273  50] ; [222  29],[278.54529617  44.45470383] ; [216.45470383  34.54529617],0
n3,1,0.177595,1.817639,[32 15] ; [60 16],[35.15447154 11.84552846] ; [56.84552846 19.15447154],0
d3,1,0.215175,1.536265,[241  83] ; [175  76],[234.40695652  89.59304348] ; [181.59304348  69.40695652],0
s4,1,0.220362,1.50201,[ 49 271] ; [ 48 202],[ 54.45614035 265.54385965] ; [ 42.54385965 207.45614035],0
a4,1,0.233699,1.418204,[169 155] ; [144 108],[176.0625 147.9375] ; [136.9375 115.0625],0
d1,1,0.256345,1.28839,[226  99] ; [164  88],[219.67071057 105.32928943] ; [170.32928943  81.67071057],0
n4,1,0.277346,1.180048,[269  56] ; [198  52],[263.95652174  61.04347826] ; [203.04347826  46.95652174],0
a7,1,0.35526,0.854579,[247  78] ; [183  69],[242.20103986  82.79896014] ; [187.79896014  64.20103986],0
n1,1,0.373083,0.793371,[16 31] ; [32 44],[18.34146341 28.65853659] ; [29.65853659 46.34146341],0
r3,1,0.399042,0.711211,[312  11] ; [238  12],[310.03490401  12.96509599] ; [239.96509599  10.03490401],0
d2,1,0.423041,0.641853,[181 143] ; [148 102],[185.70731707 138.29268293] ; [143.29268293 106.70731707],0
s2,1,0.488494,0.479841,[173 148] ; [142 108],[177.08406305 143.91593695] ; [137.91593695 112.08406305],0
d4,1,0.492192,0.47173,[283  40] ; [215  36],[280.23344948  42.76655052] ; [217.76655052  33.23344948],0
a1,1,0.509812,0.434452,[ 21 304] ; [ 13 239],[ 19.1507799 305.8492201] ; [ 14.8492201 237.1507799],0
s3,1,0.532334,0.389935,[180 139] ; [147 102],[183.64964789 135.35035211] ; [143.35035211 105.64964789],0
s6,1,0.534464,0.385898,[229  84] ; [177  73],[225.71580817  87.28419183] ; [180.28419183  69.71580817],0
b4,1,0.544709,0.366882,[184 141] ; [149 103],[187.56499133 137.43500867] ; [145.43500867 106.56499133],0
u2,1,0.571234,0.320623,[42 29] ; [22 19],[40.57142857 30.42857143] ; [23.42857143 17.57142857],0
b1,1,0.668697,0.18313,[123 202] ; [ 91 161],[120.5372617 204.4627383] ; [ 93.4627383 158.5372617],0
r2,1,0.753754,0.098404,[305  15] ; [234  13],[304.19753086  15.80246914] ; [234.80246914  12.19753086],0
b2,1,0.770168,0.085354,[ 88 116] ; [67 94],[ 86.63013699 117.36986301] ; [68.36986301 92.63013699],0
b3,1,0.770168,0.085354,[ 88 116] ; [67 94],[ 86.63013699 117.36986301] ; [68.36986301 92.63013699],0
n2,1,0.791888,0.069622,[37 11] ; [57 19],[36.38709677 11.61290323] ; [57.61290323 18.38709677],0
s1,1,0.803991,0.061596,[  8 315] ; [  7 242],[  8.47027972 314.52972028] ; [  6.52972028 242.47027972],0
u4,1,0.828111,0.047143,[ 10 314] ; [  7 245],[  9.5625 314.4375] ; [  7.4375 244.5625],0
u3,1,0.888204,0.019762,[42 27] ; [25 17],[41.64864865 27.35135135] ; [25.35135135 16.64864865],0
s7,1,0.937156,0.006216,[172 137] ; [135 109],[171.54249548 137.45750452] ; [135.45750452 108.54249548],0
a8,1,0.960081,0.002505,[ 45 251] ; [ 34 192],[ 44.79693487 251.20306513] ; [ 34.20306513 191.79693487],0
