Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,56.90671,[ 45 677] ; [27 62],[ 64.09864365 657.90135635] ; [ 7.90135635 81.09864365],1
p12,1,0.0,54.541489,[ 40 681] ; [25 64],[ 57.85802469 663.14197531] ; [ 7.14197531 81.85802469],1
s5,1,0.0,47.975404,[217 484] ; [57 25],[245.30523627 455.69476373] ; [28.69476373 53.30523627],1
p4,1,0.0,36.767232,[404 319] ; [78  9],[430.22962963 292.77037037] ; [51.77037037 35.22962963],1
p3,1,0.0,35.975815,[340 386] ; [71 17],[366.56756757 359.43243243] ; [44.43243243 43.56756757],1
p6,1,0.0,35.119475,[240 475] ; [58 30],[265.34246575 449.65753425] ; [32.65753425 55.34246575],1
p8,1,0.0,33.112153,[353 362] ; [72 16],[378.42465753 336.57534247] ; [46.57534247 41.42465753],1
s7,1,1e-06,24.891362,[321 374] ; [63 21],[342.59306804 352.40693196] ; [41.40693196 42.59306804],1
a1,1,1e-05,19.492871,[ 24 703] ; [12 77],[ 32.07352941 694.92647059] ; [ 3.92647059 85.07352941],1
v3,1,2e-05,18.15911,[263 434] ; [53 33],[281.29246488 415.70753512] ; [34.70753512 51.29246488],1
s8,1,4.9e-05,16.474183,[308 415] ; [57 30],[325.7962963 397.2037037] ; [39.2037037 47.7962963],1
s6,1,6.1e-05,16.06262,[474 240] ; [73 10],[490.03513174 223.96486826] ; [56.96486826 26.03513174],1
n5,1,0.000163,14.210669,[524 198] ; [81  8],[538.60665845 183.39334155] ; [66.39334155 22.60665845],1
p7,1,0.000303,13.052026,[439 270] ; [71 16],[454.25879397 254.74120603] ; [55.74120603 31.25879397],1
n4,1,0.000419,12.446366,[547 177] ; [82  7],[560.14268143 163.85731857] ; [68.85731857 20.14268143],1
v1,1,0.001959,9.587727,[374 337] ; [61 26],[387.57518797 323.42481203] ; [47.42481203 39.57518797],0
b5,1,0.003083,8.757665,[453 274] ; [41 48],[440.12009804 286.87990196] ; [53.87990196 35.12009804],0
p9,1,0.006302,7.461965,[595 121] ; [83  5],[603.79104478 112.20895522] ; [74.20895522 13.79104478],0
p10,1,0.009963,6.641469,[571 148] ; [80  8],[580.01115242 138.98884758] ; [70.98884758 17.01115242],0
n6,1,0.010882,6.484465,[609 115] ; [83  5],[617.00492611 106.99507389] ; [74.99507389 13.00492611],0
s1,1,0.012579,6.227446,[ 20 693] ; [ 7 82],[ 24.00374065 688.99625935] ; [ 2.99625935 86.00374065],0
u4,1,0.029244,4.7532,[ 14 713] ; [ 5 84],[ 16.92769608 710.07230392] ; [ 2.07230392 86.92769608],0
s2,1,0.043968,4.057782,[363 356] ; [55 34],[371.95792079 347.04207921] ; [46.04207921 42.95792079],0
p2,1,0.077178,3.123346,[598 127] ; [80  9],[603.86977887 121.13022113] ; [74.13022113 14.86977887],0
s3,1,0.080641,3.051945,[402 314] ; [58 30],[409.65174129 306.34825871] ; [50.34825871 37.65174129],0
b2,1,0.091309,2.851149,[154 272] ; [31 35],[160.18292683 265.81707317] ; [24.81707317 41.18292683],0
b3,1,0.091309,2.851149,[154 272] ; [31 35],[160.18292683 265.81707317] ; [24.81707317 41.18292683],0
a6,1,0.100786,2.693058,[507 218] ; [54 34],[500.27675277 224.72324723] ; [60.72324723 27.27675277],0
n1,1,0.1067,2.602426,[61 97] ; [9 6],[63.93063584 94.06936416] ; [6.06936416 8.93063584],0
a3,1,0.111555,2.532046,[511 213] ; [70 19],[517.39729397 206.60270603] ; [63.60270603 25.39729397],0
a2,1,0.135731,2.225701,[183 544] ; [16 73],[177.29534314 549.70465686] ; [21.70465686 67.29534314],0
n3,1,0.168056,1.900204,[123  35] ; [10  6],[120.77011494  37.22988506] ; [12.22988506  3.77011494],0
p11,1,0.172304,1.862779,[567 160] ; [75 14],[571.97794118 155.02205882] ; [70.02205882 18.97794118],0
r3,1,0.311589,1.023927,[712  13] ; [86  3],[710.74938575  14.25061425] ; [87.25061425  1.74938575],0
b1,1,0.386078,0.751259,[268 459] ; [37 52],[271.73406863 455.26593137] ; [33.26593137 55.73406863],0
r1,1,0.401364,0.704235,[618 105] ; [79 10],[620.6046798 102.3953202] ; [76.3953202 12.6046798],0
v4,1,0.422859,0.642355,[707  18] ; [88  1],[708.07739558  16.92260442] ; [86.92260442  2.07739558],0
a5,1,0.439582,0.597372,[536 191] ; [69 20],[539.01348039 187.98651961] ; [65.98651961 23.01348039],0
d5,1,0.444449,0.584768,[592 132] ; [69 19],[589.36453202 134.63546798] ; [71.63546798 16.36453202],0
u2,1,0.489135,0.478428,[117  96] ; [12  7],[118.43534483  94.56465517] ; [10.56465517  8.43534483],0
s4,1,0.543575,0.368954,[126 592] ; [13 74],[123.97763975 594.02236025] ; [15.02236025 71.97763975],0
d2,1,0.586326,0.296119,[348 376] ; [45 43],[350.408867 373.591133] ; [42.591133 45.408867],0
d1,1,0.59606,0.28098,[428 299] ; [55 34],[430.31985294 296.68014706] ; [52.68014706 36.31985294],0
a8,1,0.622891,0.241825,[ 91 566] ; [13 69],[ 92.46008119 564.53991881] ; [11.53991881 70.46008119],0
v2,1,0.641999,0.216137,[395 302] ; [51 35],[397.01404853 299.98595147] ; [48.98595147 37.01404853],0
n2,1,0.651906,0.203505,[122  38] ; [13  3],[122.72727273  37.27272727] ; [12.27272727  3.72727273],0
u1,1,0.681771,0.16814,[134 593] ; [18 71],[135.42156863 591.57843137] ; [16.57843137 72.42156863],0
a4,1,0.771768,0.084137,[329 395] ; [39 50],[327.71463715 396.28536285] ; [40.28536285 48.71463715],0
u3,1,0.776187,0.080821,[131  83] ; [11  8],[130.42060086  83.57939914] ; [11.57939914  7.42060086],0
d3,1,0.797452,0.065867,[504 221] ; [60 28],[502.95202952 222.04797048] ; [61.04797048 26.95202952],0
a7,1,0.855771,0.033037,[536 189] ; [65 24],[535.28869779 189.71130221] ; [65.71130221 23.28869779],0
d4,1,0.882771,0.021744,[596 128] ; [73 15],[596.49753695 127.50246305] ; [72.50246305 15.49753695],0
b4,1,0.995321,3.4e-05,[425 302] ; [52 37],[424.97426471 302.02573529] ; [52.02573529 36.97426471],0
